 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),62409,276033,229854,150546,37298,206907,183371,132009,48614,286049,207113,149833,55732,283657,216375,150566,48770,319874,283373,192582,62697,398650,276958,195206,355705,323119,231926, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),594,552,1223,719,219,727,664,417,253,1015,1036,599,179,1222,666,361,135,2778,854,425,204,2523,2145,295,2081,1662,1660, 
 收到的其他与经营活动有关的现金(万元),2603,22899,10394,7332,3443,3982,8831,7373,3621,19463,24431,19791,4371,9204,15890,9233,3506,11308,14937,8499,5724,9657,6572,6035,2909,16362,11503, 
 经营活动现金流入小计(万元),65607,299484,241471,158597,40961,211615,192866,139799,52488,306527,232579,170223,60282,294082,232931,160160,52411,333960,299164,201505,68625,410830,285675,201537,360694,341143,245089, 
 购买商品、接受劳务支付的现金(万元),40683,158442,145390,107129,39516,81592,102840,65303,39713,125104,109006,84315,37121,160311,136906,91767,39798,194580,220686,122050,59338,238282,172236,108113,220894,222700,134758, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),12987,47634,32829,22258,10470,39022,29857,20498,10375,47932,38044,26881,16502,40380,27623,19792,10835,42632,29823,20484,11657,38805,26079,17151,28860,19251,9802, 
 支付的各项税费(万元),6408,21797,17754,11082,4535,24017,18851,12385,7362,26561,20589,13084,6905,32511,24861,15455,7569,24465,21942,13298,6878,36199,27488,17258,32138,19302,11299, 
 支付的其他与经营活动有关的现金(万元),18485,61662,71904,45343,17371,47023,49589,34748,18933,57010,69551,36309,24713,48808,63623,32754,20072,41422,59637,40313,21220,37843,48589,32092,40430,48386,40629, 
 经营活动现金流出小计(万元),78564,289535,267877,185812,71892,191653,201138,132934,76382,256607,237190,160588,85241,282009,253014,159768,78274,303099,332087,196145,99094,351128,274391,174615,322323,309640,196488, 
 经营活动产生的现金流量净额(万元),-12957,9948,-26406,-27215,-30931,19962,-8271,6865,-23893,49921,-4611,9635,-24958,12073,-20083,392,-25864,30861,-32923,5361,-30469,59702,11284,26921,38372,31503,48601, 
 收回投资所收到的现金(万元),182340,277384,359776,196806,118194,174920,142018,100150,125250,27250,101562,94641,137012,42000,114798,76158,115106,--,--,--,--,--,--,--,59000,--,200, 
 取得投资收益所收到的现金(万元),1755,9798,7378,6650,2386,13147,9574,7511,2505,9847,7516,4782,3199,8201,7873,2739,1387,1231,177,62,--,8,--,--,102,8,13, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),213,211,12,12,12,615,46,36,7,2852,2842,2831,0,23,83,29,23,9,19,17,4,31,19,2,3,3858,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1000, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,1167,--,--,--,900,--,--,--,--,--,--,--,15000,--,--,--,--,--,--,1629,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),184308,287393,367167,203468,120592,189849,151638,107697,127762,40849,111920,102254,140210,50224,122753,78926,116516,16239,196,79,4,39,19,2,60733,3866,1214, 
