 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),128963,110031,38023,181366,105269,60974,43573,182708,137932,97561,40226,162437,88557,64952,23253,75626,25074,16650,10120,35863,24683,19083,13077,33792,12739,5026,2035,29837,10684,21484,9473,8047, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),2105,3278,1958,22681,23082,22666,14999,8474,6961,3634,918,6457,4700,3140,1512,6938,4416,2977,681,2840,1811,1313,750,6526,4629,379,136,2176,106,889,3236,925, 
 经营活动现金流入小计(万元),131068,113308,39980,204046,128351,83640,58572,191182,144893,101195,41144,168895,93257,68092,24765,82564,29490,19627,10801,38703,26494,20396,13826,40319,17368,5405,2171,32012,10790,22373,12710,8972, 
 购买商品、接受劳务支付的现金(万元),70223,49468,25043,157342,106486,81099,45663,196827,141732,78784,54567,149375,112551,81822,29271,68412,30197,20106,7927,31019,23271,15365,7106,36154,27071,16805,4553,21263,8471,11669,13085,7133, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7328,5293,2491,11563,8610,5647,2632,10356,6388,4411,2493,6932,5219,3465,1954,2444,1293,893,372,1349,984,672,266,978,810,565,229,659,260,414,208,179, 
 支付的各项税费(万元),2422,2442,1494,7055,4906,4112,386,2498,2024,1572,364,6385,5388,4230,2366,4452,3317,2338,1660,6453,4544,3265,2120,5696,3420,2300,1121,4480,1543,2205,400,464, 
 支付的其他与经营活动有关的现金(万元),13684,10729,6495,20991,12246,5805,2675,27703,27942,18458,7700,20583,14802,6394,2782,13018,8769,7535,2054,7147,6654,6057,5463,7472,5080,2461,1986,3708,1244,3621,1572,2148, 
 经营活动现金流出小计(万元),93656,67933,35524,196950,132248,96664,51355,237384,178086,103226,65124,183275,137961,95910,36373,88326,43576,30871,12013,45969,35452,25360,14954,50300,36381,22130,7888,30109,11518,17909,15264,9924, 
 经营活动产生的现金流量净额(万元),37412,45376,4457,7096,-3897,-13023,7217,-46202,-33194,-2031,-23979,-14380,-44704,-27818,-11608,-5762,-14086,-11244,-1212,-7266,-8959,-4964,-1128,-9981,-19014,-16725,-5718,1903,-728,4464,-2554,-953, 
 收回投资所收到的现金(万元),302257,182257,96257,330364,264337,149000,58600,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),1892,1490,741,1978,1515,752,258,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),15,12,11,293,276,267,--,--,--,--,--,--,--,--,--,2,0,0,--,37,--,--,--,--,-1,-1,-1,--,--,--,12,--, 
