 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),40955,28229,49091,28779,41658,34673, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),1718,1004,1725,1209,1670,1919, 
 收到的其他与经营活动有关的现金(万元),24,17,37,23,89,245, 
 经营活动现金流入小计(万元),42696,29249,50853,30011,43417,36837, 
 购买商品、接受劳务支付的现金(万元),29880,24303,40933,28922,27376,50218, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5634,3441,5936,3848,5303,4003, 
 支付的各项税费(万元),1634,1193,5043,2953,3004,243, 
 支付的其他与经营活动有关的现金(万元),629,294,827,1535,1111,1024, 
 经营活动现金流出小计(万元),37776,29232,52739,37258,36793,55489, 
 经营活动产生的现金流量净额(万元),4920,17,-1886,-7247,6623,-18652, 
 收回投资所收到的现金(万元),--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),7,4,17,17,0,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,27334,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),7,4,17,17,27335,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3580,2860,5775,3034,4886,6284, 
 投资所支付的现金(万元),--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,26805,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3580,2860,5775,3034,31692,6284, 
 投资活动产生的现金流量净额(万元),-3573,-2857,-5758,-3017,-4357,-6284, 
 吸收投资收到的现金(万元),--,--,--,--,18000,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--, 
 取得借款收到的现金(万元),11798,2979,27025,9354,27827,27606, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),5534,5430,--,--,2000,--, 
 筹资活动现金流入小计(万元),17332,8409,27025,9354,47827,27606, 
 偿还债务支付的现金(万元),13888,4281,27359,9661,27706,2508, 
 分配股利、利润或偿付利息所支付的现金(万元),910,617,1298,992,2613,540, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,1028,--, 
 支付其他与筹资活动有关的现金(万元),3269,2960,974,--,7172,2911, 
 筹资活动现金流出小计(万元),18068,7858,29632,10653,37491,5959, 
 筹资活动产生的现金流量净额(万元),-736,551,-2607,-1299,10336,21646, 
 汇率变动对现金及现金等价物的影响(万元),52,42,123,145,-12,-70, 
 现金及现金等价物净增加额(万元),663,-2246,-10128,-11417,12591,-3360, 
 加:期初现金及现金等价物余额(万元),5035,5035,15163,15163,2572,5932, 
 期末现金及现金等价物余额(万元),5698,2789,5035,3745,15163,2572, 
 净利润(万元),--,2583,5823,--,4012,2750, 
 少数股东损益(万元),--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--, 
 资产减值准备(万元),--,-28,189,--,287,184, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,630,1143,--,1181,1101, 
 无形资产摊销(万元),--,52,104,--,102,100, 
 长期待摊费用摊销(万元),--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-3,-3,--,655,19, 
 固定资产报废损失(万元),--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--, 
 财务费用(万元),--,647,1326,--,1573,595, 
 投资损失(万元),--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,18,-50,--,-134,-119, 
 递延所得税负债增加(万元),--,--,--,--,--,--, 
 存货的减少(万元),--,-7103,-3336,--,-1780,-23581, 
 经营性应收项目的减少(万元),--,356,-11806,--,-111,-7478, 
 经营性应付项目的增加(万元),--,2804,4679,--,1081,7892, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--, 
 其他(万元),--,60,46,--,-243,-116, 
 经营活动产生现金流量净额(万元),--,17,-1886,--,6623,-18652, 
 债务转为资本(万元),--,--,--,--,--,2503, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--, 
 现金的期末余额(万元),5698,2789,5035,3745,15163,2572, 
 现金的期初余额(万元),5035,5035,15163,15163,2572,5932, 
 现金等价物的期末余额(万元),--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),663,-2246,-10128,-11417,12591,-3360, 

