 报告日期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),154398,125699,38162,69469,53444,17788, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,7, 
 收到的其他与经营活动有关的现金(万元),1281,1508,4077,2455,6801,4982, 
 经营活动现金流入小计(万元),155679,127206,42239,71924,60245,22777, 
 购买商品、接受劳务支付的现金(万元),146435,95054,25845,50717,47717,13246, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1898,2880,1511,2310,2045,1964, 
 支付的各项税费(万元),4222,5353,3004,3567,2360,1613, 
 支付的其他与经营活动有关的现金(万元),3210,5576,4624,4432,5155,4250, 
 经营活动现金流出小计(万元),155765,108863,34985,61025,57277,21073, 
 经营活动产生的现金流量净额(万元),-86,18344,7255,10899,2968,1704, 
 收回投资所收到的现金(万元),6430,28200,18000,13200,771,17529, 
 取得投资收益所收到的现金(万元),17,120,69,69,215,52, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),50,22,17,3282,405,104, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),100,132,132,150,--,120, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),6598,28474,18218,16702,1391,17805, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),99,1144,428,2011,1629,13657, 
 投资所支付的现金(万元),5500,28200,18000,12972,300,17720, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),5599,29344,18428,14983,1929,31377, 
 投资活动产生的现金流量净额(万元),999,-870,-210,1719,-538,-13572, 
 吸收投资收到的现金(万元),--,140,140,5000,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,2480,2480,--,--,--, 
 筹资活动现金流入小计(万元),0,2620,2620,5000,0,0, 
 偿还债务支付的现金(万元),--,--,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),--,7500,--,11500,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,2480,2480,--,--,--, 
 筹资活动现金流出小计(万元),0,9980,2480,11500,0,0, 
 筹资活动产生的现金流量净额(万元),0,-7360,140,-6500,0,0, 
 汇率变动对现金及现金等价物的影响(万元),-120,286,75,162,4,-315, 
 现金及现金等价物净增加额(万元),792,10400,7259,6280,2434,-12183, 
 加:期初现金及现金等价物余额(万元),22607,12207,12207,5927,3493,15676, 
 期末现金及现金等价物余额(万元),23400,22607,19466,12207,5927,3493, 
 净利润(万元),11309,14529,7117,10246,5692,3093, 
 少数股东损益(万元),--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--, 
 资产减值准备(万元),32,-146,-14,675,-31,-3, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),745,1559,799,1932,1944,1602, 
 无形资产摊销(万元),67,135,67,119,107,42, 
 长期待摊费用摊销(万元),9,44,23,53,52,171, 
 待摊费用的减少(万元),--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),17,35,29,0,59,-28, 
 固定资产报废损失(万元),--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--, 
 财务费用(万元),120,-286,-75,-162,-4,315, 
 投资损失(万元),-18,-123,-69,-56,-237,-154, 
