 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),24489,15103,5784,38249,22503,16528,5887,33415,32073,28404,26789, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),564,480,98,240,86,47,49,39,122,131,50, 
 经营活动现金流入小计(万元),25053,15583,5883,38489,22589,16575,5935,33454,32194,28536,26839, 
 购买商品、接受劳务支付的现金(万元),9040,5026,3132,12687,8890,6749,3128,11319,10743,8302,10429, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3474,2525,906,4450,3413,2348,976,4024,3929,3344,2755, 
 支付的各项税费(万元),5045,3880,3402,4732,4247,2579,1979,5765,5749,5007,4591, 
 支付的其他与经营活动有关的现金(万元),9283,4531,2369,9449,8754,4015,3657,9496,9502,7947,7452, 
 经营活动现金流出小计(万元),26842,15961,9809,31317,25304,15691,9739,30604,29922,24600,25227, 
 经营活动产生的现金流量净额(万元),-1789,-378,-3926,7172,-2715,883,-3804,2850,2272,3935,1612, 
 收回投资所收到的现金(万元),--,--,--,6000,--,3000,3000,14500,462810,89350,--, 
 取得投资收益所收到的现金(万元),--,--,--,11,7,2,2,46,52,142,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,0,0,0,--,1,1,2,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,50,--,--,--,9,1430,71,129, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,6060,7,3002,3002,14555,464293,89565,129, 
