 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),21801,15814,5837,22390,16731,10176,3818,14140,12806,6035,14032,13089,10656, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),750,364,157,872,504,231,--,616,688,291,43,--,--, 
 收到的其他与经营活动有关的现金(万元),2372,997,517,990,816,991,194,1074,418,361,125,340,181, 
 经营活动现金流入小计(万元),24923,17176,6511,24251,18051,11398,4012,15830,13912,6687,14200,13428,10837, 
 购买商品、接受劳务支付的现金(万元),16304,10453,5616,14293,10012,5944,2929,8903,4902,2515,8232,8940,8264, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3659,2109,958,4162,2970,1878,770,3280,2526,1155,2244,1589,980, 
 支付的各项税费(万元),3426,1637,608,2772,2028,1167,497,2051,2136,1038,1320,1100,616, 
 支付的其他与经营活动有关的现金(万元),3414,2444,1331,2116,2167,985,1046,2025,1843,590,1844,1594,883, 
 经营活动现金流出小计(万元),26803,16643,8512,23343,17178,9973,5242,16260,11408,5297,13640,13224,10743, 
 经营活动产生的现金流量净额(万元),-1881,533,-2001,908,873,1425,-1231,-430,2504,1389,560,204,94, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,1,1,1,--,--,2, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),500,500,--,596,596,596,546,200,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),500,500,0,596,596,596,546,201,1,1,0,0,2, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3389,2255,200,583,785,437,313,1978,3432,2529,1701,1794,2059, 
 投资所支付的现金(万元),300,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,500,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3689,2255,200,583,785,437,313,2478,3432,2529,1701,1794,2059, 
 投资活动产生的现金流量净额(万元),-3189,-1755,-200,13,-188,159,234,-2276,-3431,-2528,-1701,-1794,-2057, 
 吸收投资收到的现金(万元),17163,17163,17163,--,--,--,--,--,--,--,3050,--,2530, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),13028,9947,750,13264,13616,9466,5060,13202,6835,3880,4510,3830,870, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),1430,1407,1050,2062,1349,549,0,2594,--,--,--,--,--, 
 筹资活动现金流入小计(万元),31621,28518,18963,15326,14965,10015,5060,15796,6835,3880,7560,3830,3400, 
 偿还债务支付的现金(万元),7175,6450,350,12526,14386,9405,4590,10425,4280,2570,3660,1670,700, 
 分配股利、利润或偿付利息所支付的现金(万元),1422,642,261,1082,976,758,131,1093,1000,773,340,111,82, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),3378,2164,104,3241,1331,851,113,2533,1050,--,--,--,--, 
 筹资活动现金流出小计(万元),11975,9256,714,16849,16692,11013,4834,14051,6330,3343,4000,1781,782, 
 筹资活动产生的现金流量净额(万元),19646,19261,18249,-1523,-1727,-998,226,1745,505,537,3560,2049,2618, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,0,0,0,--,0,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),14577,18039,16048,-602,-1042,586,-771,-961,-422,-601,2420,460,654, 
 加:期初现金及现金等价物余额(万元),1987,1919,1919,2521,2521,2521,2521,3482,3904,3904,1484,1024,370, 
 期末现金及现金等价物余额(万元),16564,19959,17967,1919,1479,3107,1750,2521,3482,3303,3904,1484,1024, 
 净利润(万元),--,2148,--,4312,--,1835,--,2394,2701,1492,2790,2187,1495, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,577,--,955,--,489,--,369,104,-47,105,98,14, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,459,--,846,--,364,--,755,457,206,327,287,213, 
 无形资产摊销(万元),--,40,--,72,--,36,--,60,45,20,32,31,13, 
 长期待摊费用摊销(万元),--,22,--,44,--,22,--,41,67,33,67,4,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--,--,--,--,-1,0,0,--,--,1, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,299,--,587,--,343,--,611,440,213,340,111,82, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,0,--,--,--, 
 递延所得税资产减少(万元),--,-76,--,-143,--,-288,--,-281,-17,-29,-94,-86,-19, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-5293,--,-4717,--,-2512,--,-1614,3,-287,-541,-3928,-861, 
 经营性应收项目的减少(万元),--,-5221,--,-3273,--,-1901,--,-3565,-1436,-2455,-1899,172,-1157, 
