 报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),63937,27377,131170,105609,66773,30112,101431,80127,49602,21523,78939,50520,29115,16655,64011,45205,28732,14775,55528,37932,55901,55957, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),411,309,697,556,369,199,471,324,130,105,563,251,90,77,715,715,540,378,347,256,344,676, 
 收到的其他与经营活动有关的现金(万元),1231,1050,3014,3206,2609,1470,2363,2291,1670,1638,1879,5182,4027,609,1547,4362,615,1855,1352,3358,1298,1216, 
 经营活动现金流入小计(万元),65579,28737,134881,109371,69752,31781,104265,82742,51402,23266,81381,55953,33233,17342,66273,50283,29888,17008,57226,41546,57543,57849, 
 购买商品、接受劳务支付的现金(万元),49864,27305,93445,82157,53927,25940,67942,53892,32257,14339,53021,35996,22472,13130,49827,34191,22751,14939,43089,28894,41694,41207, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4546,2716,8499,6163,4546,3009,6579,5268,3897,2637,4413,3310,2304,1393,3060,2242,1669,606,2486,1942,2165,1602, 
 支付的各项税费(万元),2734,1688,6831,4993,3489,1553,5766,4238,2961,1698,3138,2363,1475,601,2083,1560,756,504,1668,1372,2520,2524, 
 支付的其他与经营活动有关的现金(万元),5676,2097,13046,9238,5664,2654,10571,7836,5030,3201,8537,10052,7447,2409,6638,7833,2560,2880,4958,5658,6302,4720, 
 经营活动现金流出小计(万元),62820,33806,121822,102552,67626,33156,90858,71234,44145,21875,69108,51721,33698,17533,61608,45827,27736,18929,52201,37865,52681,50052, 
 经营活动产生的现金流量净额(万元),2759,-5070,13059,6819,2125,-1375,13408,11508,7257,1391,12273,4232,-465,-191,4664,4456,2151,-1921,5025,3681,4862,7796, 
 收回投资所收到的现金(万元),503,503,373,102,--,--,2179,2180,2140,2122,14189,5031,5101,2000,51,--,--,--,--,--,800,7785, 
 取得投资收益所收到的现金(万元),--,--,22,--,--,--,0,--,--,--,--,--,--,20,--,127,127,42,422,148,4,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,9,9,9,--,--,--,--,--,--,--,1,1,16,20,16,--,--,--,0,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),12058,10001,629,203,203,--,--,--,--,--,297,--,--,--,576,576,76,--,--,--,1508,100, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),12562,10504,1033,314,212,0,2179,2180,2140,2122,14486,5031,5102,2021,642,723,219,42,422,148,2312,7885, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),8366,3214,28003,18296,10488,5449,16785,8221,4909,763,3211,2581,1381,691,5056,4325,2796,1895,5488,4280,5884,4611, 
 投资所支付的现金(万元),--,--,--,--,--,--,1684,1684,1684,120,12000,3044,2575,2181,5000,0,--,0,13,13,--,8580, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,10071,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),0,2000,--,--,--,--,10001,2,2,--,434,4,--,--,27,95,95,56,76,397,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),8366,5214,28003,18296,10488,5449,28470,9907,6596,883,25717,5628,3956,2872,10084,4421,2891,1951,5577,4690,5884,13191, 
 投资活动产生的现金流量净额(万元),4195,5290,-26970,-17983,-10276,-5449,-26292,-7727,-4456,1239,-11230,-598,1146,-850,-9442,-3697,-2672,-1909,-5155,-4542,-3572,-5306, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,45,45,45,45,10711,323,--,--,26550,25221,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,45,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),38300,23300,40149,31649,19200,5800,20000,4400,4400,2000,8981,7553,7372,4994,39413,34418,27172,15382,48018,40833,29368,26184, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,1785,5814,285,285,2060,2060,--,1747, 
 筹资活动现金流入小计(万元),38300,23300,40149,31649,19200,5800,20045,4445,4445,2045,19692,7876,7372,4994,67748,65453,27457,15667,50078,42893,29368,27931, 
 偿还债务支付的现金(万元),31590,16090,18200,8700,800,--,6300,6300,2371,700,12344,11337,8973,4952,52938,34315,23366,9265,44959,34485,28619,25315, 
 分配股利、利润或偿付利息所支付的现金(万元),3583,373,7274,6940,6422,212,2791,2777,2742,26,1407,1390,1316,57,4968,4790,4452,4136,3964,3735,875,3588, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),322,--,--,--,--,--,--,--,--,--,590,--,38,--,917,2804,70,--,1860,1577,2459,90, 
 筹资活动现金流出小计(万元),35495,16463,25474,15640,7222,212,9091,9077,5113,726,14341,12727,10326,5009,58824,41909,27888,13401,50784,39797,31953,28994, 
 筹资活动产生的现金流量净额(万元),2805,6837,14675,16009,11978,5588,10954,-4632,-668,1319,5351,-4851,-2954,-15,8925,23544,-431,2266,-706,3096,-2585,-1063, 
 汇率变动对现金及现金等价物的影响(万元),112,-516,-501,-325,-168,-59,599,366,319,1,585,50,77,72,38,-29,25,-13,-170,-133,-22,-64, 
