 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),21787,13553,34821,15981,48117,53034,29848, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),393,272,526,443,1090,1196,599, 
 收到的其他与经营活动有关的现金(万元),546,427,1253,842,3370,652,139, 
 经营活动现金流入小计(万元),22726,14252,36599,17266,52576,54883,30586, 
 购买商品、接受劳务支付的现金(万元),15265,10628,22286,17981,26121,25001,15048, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6167,4218,9266,6990,7885,6646,5151, 
 支付的各项税费(万元),2728,1562,3646,3179,4166,5579,3460, 
 支付的其他与经营活动有关的现金(万元),3012,1966,4377,3059,5128,8328,4322, 
 经营活动现金流出小计(万元),27171,18373,39576,31210,43300,45554,27981, 
 经营活动产生的现金流量净额(万元),-4445,-4121,-2976,-13944,9276,9328,2605, 
 收回投资所收到的现金(万元),--,--,--,--,180,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),4,3,1,--,1,1,5, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),4,3,1,0,181,1,5, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),121,13,656,374,557,942,1029, 
 投资所支付的现金(万元),--,--,--,--,479,20,274, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,695,--,175, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),121,13,656,374,1732,962,1478, 
 投资活动产生的现金流量净额(万元),-117,-10,-655,-374,-1551,-961,-1473, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,1370, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),1000,1000,3000,3000,2300,2700,2500, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,0,--,--,--, 
 筹资活动现金流入小计(万元),1000,1000,3000,3000,2300,2700,3870, 
 偿还债务支付的现金(万元),3000,1000,--,--,5000,2500,2700, 
 分配股利、利润或偿付利息所支付的现金(万元),157,122,1990,1382,181,1094,147, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),30,30,324,--,--,--,--, 
 筹资活动现金流出小计(万元),3187,1152,2314,1382,5181,3594,2847, 
 筹资活动产生的现金流量净额(万元),-2187,-152,686,1618,-2881,-894,1023, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,-0, 
 现金及现金等价物净增加额(万元),-6749,-4283,-2945,-12700,4844,7472,2154, 
 加:期初现金及现金等价物余额(万元),19327,19327,22273,22632,17428,9956,7802, 
 期末现金及现金等价物余额(万元),12579,15044,19327,9933,22273,17428,9956, 
 净利润(万元),--,2256,4872,--,9104,8053,--, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),--,292,754,--,480,845,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,295,818,--,856,897,--, 
 无形资产摊销(万元),--,13,26,--,25,23,--, 
 长期待摊费用摊销(万元),--,62,266,--,279,243,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-0,34,--,2,-32,--, 
 固定资产报废损失(万元),--,--,--,--,2,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),--,68,62,--,181,171,--, 
 投资损失(万元),--,--,--,--,-281,--,--, 
 递延所得税资产减少(万元),--,-37,-176,--,-17,246,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--, 
 存货的减少(万元),--,-722,2915,--,-2795,-675,--, 
 经营性应收项目的减少(万元),--,-6075,-3380,--,3400,-3668,--, 
 经营性应付项目的增加(万元),--,-271,-9167,--,-1958,1063,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,2161,--, 
 经营活动产生现金流量净额(万元),--,-4121,-2976,--,9276,9328,--, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),12579,15044,19327,9933,22273,17428,9956, 
 现金的期初余额(万元),19327,19327,22273,22632,17428,9956,7802, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-6749,-4283,-2945,-12700,4844,7472,2154, 

