 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),16906,33158,35265,18456,10902,34717,35080,19103,13643,28581,27405,18478,11084,56158,40625,24376,8675,37078,31292,26547, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,91,28,--,--,37,--,--,--,--,--,--,0,141,78,53,0,--,--,6, 
 收到的其他与经营活动有关的现金(万元),761,4762,2111,1191,237,4163,3324,1998,783,8415,4612,1556,1697,5972,4800,1799,703,3112,3705,362, 
 经营活动现金流入小计(万元),17668,38011,37404,19646,11139,38918,38404,21101,14426,36995,32017,20034,12781,62272,45504,26229,9377,40190,34997,26914, 
 购买商品、接受劳务支付的现金(万元),10470,20180,24116,11580,6051,18492,17679,10309,5184,25689,20829,14113,7575,31486,25536,16047,6514,21997,23512,13012, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1465,4091,4241,2837,1338,3767,3305,2264,1349,3802,3791,3008,1514,4224,3185,2291,1228,3438,3109,1848, 
 支付的各项税费(万元),1687,5151,2748,1897,658,4818,3986,3532,2392,4610,3023,2027,709,5336,3767,2693,1383,4105,3123,1903, 
 支付的其他与经营活动有关的现金(万元),2156,6086,4827,2854,1554,6827,6098,3768,2499,8994,8085,3981,1875,7778,6022,3419,2543,4984,6382,1539, 
 经营活动现金流出小计(万元),15778,35508,35933,19168,9601,33904,31068,19873,11425,43095,35728,23128,11673,48824,38511,24450,11668,34524,36126,18302, 
 经营活动产生的现金流量净额(万元),1889,2503,1471,478,1538,5013,7335,1229,3002,-6100,-3711,-3094,1108,13448,6993,1779,-2290,5666,-1129,8612, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--, 
 取得投资收益所收到的现金(万元),--,720,660,--,123,836,565,--,1,368,202,70,27,112,79,41,40,24,71,52, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,11,23,23,23,19,--,--,0,--,--,--,0,--,--,12, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--, 
 收到的其他与投资活动有关的现金(万元),282,140600,--,171,--,107428,13000,13494,64,61323,--,--,0,15000,14000,7000,0,17920,23309,56688, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),282,141320,660,171,123,108275,13588,13517,88,61709,202,70,27,15112,14079,7041,40,17944,23380,56752, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),253,808,219,136,83,660,338,198,88,870,457,326,151,532,398,363,219,913,1099,1696, 
 投资所支付的现金(万元),4004,16000,7,--,--,818,--,--,--,--,--,--,0,--,--,--,0,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,102,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,140600,--,--,--,107400,13000,13000,--,74200,13000,13000,0,15000,15000,12000,350,17920,20250,56590, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),4257,157408,328,136,83,108878,13338,13198,88,75070,13457,13326,151,15532,15398,12363,569,18833,21349,58286, 
 投资活动产生的现金流量净额(万元),-3975,-16088,333,35,40,-603,250,320,0,-13361,-13255,-13257,-123,-420,-1319,-5322,-529,-889,2031,-1534, 
 吸收投资收到的现金(万元),--,3111,3042,--,--,--,--,--,--,31532,29882,26010,26010,--,--,--,0,--,--,2974, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--, 
 取得借款收到的现金(万元),5000,16500,8500,--,--,5500,2650,1150,--,2500,6000,2500,1577,7500,5000,2000,2000,11500,14500,16000, 
 发行债券收到的现金(万元),0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--, 
 收到其他与筹资活动有关的现金(万元),0,--,--,--,--,--,--,--,--,--,1650,1650,0,--,--,--,0,--,--,--, 
