 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),45911,158466,131376,78461,36121,123728,81660,54001,30279,62898,51197,39304,21558,64857,45793,30005,54013,46029,48051, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),603,2044,828,3253,454,1401,570,284,31,852,722,437,93,768,287,556,210,365,440, 
 经营活动现金流入小计(万元),46514,160509,132205,81714,36575,125128,82230,54285,30310,63750,51919,39741,21651,65625,46080,30562,54223,46394,48492, 
 购买商品、接受劳务支付的现金(万元),55955,136189,125858,74384,47782,85527,69251,41065,27096,68538,62219,37174,23101,56625,46583,30685,46759,42672,38189, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3251,10333,7041,4635,2409,7701,5093,3303,1698,6251,4270,2809,1494,4866,3685,2513,4479,4450,3928, 
 支付的各项税费(万元),2279,9204,6208,3721,1742,9027,7036,3668,1884,6529,5473,3798,1980,4665,4071,2237,4115,3698,3091, 
 支付的其他与经营活动有关的现金(万元),8719,17653,9281,6106,6702,15164,8607,6197,5762,9811,7870,4950,3954,6442,7378,5607,4225,3265,2384, 
 经营活动现金流出小计(万元),70205,173379,148388,88846,58636,117419,89988,54234,36440,91129,79833,48731,30528,72599,61717,41043,59579,54086,47592, 
 经营活动产生的现金流量净额(万元),-23691,-12869,-16183,-7132,-22060,7709,-7758,51,-6130,-27379,-27914,-8989,-8876,-6973,-15637,-10481,-5356,-7692,899, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,0,0,0,0,--,--,--,--,--,6,0,--,3,1,3,2,59,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,927, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,0,0,0,0,0,0,0,6,0,0,3,1,3,2,59,927, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),655,11351,11368,10785,277,1559,1918,1509,1013,1644,515,187,149,213,145,76,298,524,961, 
 投资所支付的现金(万元),--,1505,--,--,--,3031,1831,1431,1431,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),655,12856,11368,10785,277,4590,3749,2941,2444,1644,515,187,149,213,145,76,298,524,961, 
 投资活动产生的现金流量净额(万元),-655,-12856,-11368,-10785,-277,-4590,-3749,-2941,-2444,-1644,-509,-186,-149,-209,-144,-73,-296,-464,-34, 
 吸收投资收到的现金(万元),--,--,--,--,--,7552,7552,--,--,47290,46685,46685,--,--,--,--,--,--,5600, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),35000,63995,38995,38985,14000,64510,43010,34020,14000,36575,29575,16085,4000,32847,27170,19000,18696,5700,3000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,155,155,155,--,--,--,--,--,849,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),35000,64150,39150,39140,14000,72062,50562,34020,14000,84714,76260,62770,4000,32847,27170,19000,18696,5700,8600, 
