 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),15380,9681,4480,19913,13092,8925,3485,19214,18991,12914,7934,2957,16872,10538,6024,1626,14646,9591,5760,2782,16694,7837,15726,12201,12754, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,3,3,3,3,1,42,--,--,--,--,--,--,--,48,48,--,0,83,51,170,3,--, 
 收到的其他与经营活动有关的现金(万元),331,265,98,380,547,219,106,822,538,123,417,375,499,1221,993,307,1721,2441,1392,1103,2017,864,675,633,4, 
 经营活动现金流入小计(万元),15711,9946,4578,20296,13642,9147,3594,20037,19571,13037,8352,3332,17371,11759,7017,1933,16416,12080,7152,3885,18794,8751,16572,12837,12758, 
 购买商品、接受劳务支付的现金(万元),10959,7004,2474,11627,7299,5200,2601,10009,7316,4703,2997,850,8754,7038,5192,2189,10002,7706,4746,1568,12300,7403,11780,9356,10758, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2419,1623,894,3026,2131,1665,791,3072,3760,2326,1567,771,3285,1854,1195,551,2113,1437,871,333,1589,749,914,640,431, 
 支付的各项税费(万元),1270,854,630,2055,1612,1132,813,2657,1832,1380,888,374,2830,1677,1020,644,1132,782,524,358,826,404,412,312,590, 
 支付的其他与经营活动有关的现金(万元),1158,781,356,1517,1084,842,344,1840,1966,1553,1440,1083,2448,2025,1255,336,2242,2116,1069,753,3649,742,3628,2375,581, 
 经营活动现金流出小计(万元),15807,10262,4355,18224,12126,8840,4549,17578,14875,9961,6892,3078,17317,12593,8662,3720,15489,12041,7210,3013,18365,9297,16734,12683,12360, 
 经营活动产生的现金流量净额(万元),-95,-316,223,2072,1516,307,-955,2459,4696,3075,1460,254,54,-834,-1645,-1787,926,39,-58,872,428,-546,-162,154,399, 
 收回投资所收到的现金(万元),4300,500,--,2000,2000,2000,1500,4100,10740,9440,4700,500,1000,--,--,--,41,41,41,41,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),12,3,--,3,3,3,3,6,13,11,5,1,23,18,14,4,--,--,--,--,--,--,--,1,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),9,7,--,24,19,19,8,28,16,5,1,--,--,--,--,--,511,3,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,171,--,--,--,--,--,1000,1000,1000,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),4321,510,0,2027,2022,2022,1511,4305,10770,9456,4706,501,1023,1018,1014,1004,552,44,41,41,0,0,0,1,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),482,386,203,325,136,64,25,1392,838,768,654,239,805,588,445,254,1938,1767,1250,1022,4262,2164,3934,802,130, 
 投资所支付的现金(万元),4300,500,--,2000,2000,2000,1500,4100,10758,10150,4710,600,1000,--,--,--,--,--,--,--,--,--,590,50,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,4,4,--,--,1000,1000,1000,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),4782,886,203,2325,2136,2064,1525,5492,11596,10923,5368,839,1805,1588,1445,1254,1938,1767,1250,1022,4262,2164,4524,851,130, 
 投资活动产生的现金流量净额(万元),-460,-376,-203,-298,-113,-41,-15,-1187,-826,-1467,-663,-339,-782,-571,-432,-249,-1385,-1722,-1208,-980,-4262,-2164,-4524,-851,-130, 
 吸收投资收到的现金(万元),12500,12500,12500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1680,1680,1539,1310,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),2000,1000,--,5800,800,800,800,6320,15470,10000,10000,10000,9724,7855,6721,4400,6262,5179,4979,660,1700,1700,2945,1550,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2400,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,597,--,--,--,--,--,--,--,--,--,--,--,--,0,--,675,--, 
 筹资活动现金流入小计(万元),14500,13500,12500,5800,800,800,800,6320,16067,10000,10000,10000,9724,7855,6721,4400,6262,5179,4979,660,5780,3380,4484,3535,0, 
 偿还债务支付的现金(万元),5800,5800,800,6320,1320,1320,800,5470,18764,11195,10495,10495,9054,7733,6139,4086,4583,4240,2740,80,605,--,1550,--,360, 
 分配股利、利润或偿付利息所支付的现金(万元),149,127,75,324,248,170,86,549,519,287,200,107,539,315,217,107,415,237,147,63,267,99,99,73,28, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),883,851,102,157,58,34,30,317,21,1,--,--,322,--,--,--,302,15,15,--,259,--,--,--,--, 
 筹资活动现金流出小计(万元),6832,6778,977,6800,1626,1524,916,6337,19304,11483,10696,10602,9916,8048,6356,4193,5300,4492,2902,143,1130,99,1649,73,388, 
 筹资活动产生的现金流量净额(万元),7668,6722,11523,-1000,-826,-724,-116,-17,-3237,-1483,-696,-602,-192,-192,365,207,962,687,2077,517,4650,3281,2834,3462,-388, 
 汇率变动对现金及现金等价物的影响(万元),-37,-19,-5,52,21,16,3,81,-12,1,13,5,-2,-12,-11,-5,-0,0,0,0,0,--,--,--,--, 
 现金及现金等价物净增加额(万元),7075,6011,11538,826,598,-442,-1083,1336,622,126,115,-682,-923,-1608,-1722,-1834,503,-996,811,409,816,571,-1851,2765,-119, 
 加:期初现金及现金等价物余额(万元),4367,4367,4367,3541,3541,3541,3541,2205,1584,--,--,--,2507,--,--,--,2004,--,--,--,1188,1188,3039,274,393, 
 期末现金及现金等价物余额(万元),11442,10377,15905,4367,4139,3099,2458,3541,2205,--,--,--,1584,--,--,--,2507,--,--,--,2004,1759,1188,3039,274, 
 净利润(万元),--,737,--,2682,--,732,--,2202,1959,780,338,131,2800,1963,891,240,2049,1262,656,56,2174,--,1786,1119,252, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-53,--,542,--,109,--,681,461,--,--,--,207,--,--,--,176,53,48,--,29,--,71,-18,94, 
