 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),143195,95617,48179,194946,133939,95461,47008,186942,152315,140210,144272, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),10848,6086,2670,10512,8896,5408,3035,9829,11485,11044,8679, 
 收到的其他与经营活动有关的现金(万元),914,623,1357,1616,1223,851,650,4472,15405,2659,10002, 
 经营活动现金流入小计(万元),154957,102326,52206,207074,144057,101720,50693,201243,179205,153913,162953, 
 购买商品、接受劳务支付的现金(万元),149659,103821,39767,147434,102594,71630,37095,143215,136454,102135,95689, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),15773,10734,5478,21632,15601,10548,5000,19046,16658,14585,15152, 
 支付的各项税费(万元),5227,3163,2261,10446,7078,3939,2012,4533,5732,4791,3586, 
 支付的其他与经营活动有关的现金(万元),10459,6574,3308,11163,8107,4984,2514,8594,9229,21545,5805, 
 经营活动现金流出小计(万元),181118,124292,50814,190675,133380,91101,46621,175389,168073,143056,120232, 
 经营活动产生的现金流量净额(万元),-26161,-21966,1392,16399,10677,10619,4072,25854,11132,10856,42722, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,327,--,--, 
 取得投资收益所收到的现金(万元),8,8,--,--,--,--,--,151,--,2,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,28,4,1,--,666,1138,575,691, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,45, 
 收到的其他与投资活动有关的现金(万元),9654,8392,774,2541,1698,1378,615,1545,1211,1194,2984, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),9662,8400,774,2569,1701,1379,615,2362,2676,1771,3720, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),25003,17603,2135,20207,14138,8697,5732,12793,16800,22533,29173, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,5970, 
 支付的其他与投资活动有关的现金(万元),--,0,528,626,406,354,243,1024,510,885,389, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),25003,17603,2663,20832,14543,9051,5975,13817,17309,23418,35532, 
 投资活动产生的现金流量净额(万元),-15340,-9203,-1889,-18263,-12842,-7673,-5360,-11455,-14634,-21647,-31812, 
 吸收投资收到的现金(万元),25941,25941,--,--,--,--,--,--,--,--,375, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,375, 
 取得借款收到的现金(万元),143384,135934,70087,184678,167012,112823,59995,210051,254502,224783,226045, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),6943,825,1810,11858,9435,10627,5124,1335,--,--,--, 
 筹资活动现金流入小计(万元),176268,162700,71897,196536,176447,123450,65119,211386,254502,224783,226420, 
 偿还债务支付的现金(万元),116868,110388,64562,196703,171388,125133,65957,217289,235111,186894,221879, 
 分配股利、利润或偿付利息所支付的现金(万元),5528,3526,1481,6673,4483,3340,1860,7999,11542,9883,9872, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),2529,1972,3611,925,742,--,--,611,6170,6832,7877, 
 筹资活动现金流出小计(万元),124925,115887,69654,204302,176614,128473,67817,225899,252823,203609,239628, 
 筹资活动产生的现金流量净额(万元),51343,46814,2243,-7766,-166,-5023,-2698,-14513,1680,21173,-13209, 
 汇率变动对现金及现金等价物的影响(万元),-699,-113,-54,-188,141,87,-59,809,-108,-90,-198, 
 现金及现金等价物净增加额(万元),9143,15532,1692,-9818,-2189,-1990,-4045,695,-1930,10293,-2498, 
 加:期初现金及现金等价物余额(万元),6822,6822,8783,16640,16640,16640,16081,15945,17874,7581,10079, 
 期末现金及现金等价物余额(万元),15964,22353,10475,6822,14450,14650,12036,16640,15945,17874,7581, 
 净利润(万元),--,3380,--,7598,--,3284,--,5921,5732,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-23,--,182,--,319,--,-99,168,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,5509,--,10127,--,5144,--,9740,8809,--,--, 
 无形资产摊销(万元),--,223,--,382,--,189,--,324,322,--,--, 
 长期待摊费用摊销(万元),--,1685,--,3079,--,1348,--,2556,3237,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,0,--,-4,--,--,--,9,61,--,--, 
 固定资产报废损失(万元),--,0,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,12,--,-10,--,34,--,66,-68,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,3668,--,6415,--,4000,--,9640,11813,--,--, 
 投资损失(万元),--,-8,--,626,--,34,--,-151,-18,--,--, 
 递延所得税资产减少(万元),--,63,--,-513,--,-195,--,-21,50,--,--, 
 递延所得税负债增加(万元),--,1,--,295,--,113,--,42,-51,--,--, 
 存货的减少(万元),--,-29923,--,-6634,--,-6564,--,4864,-7634,--,--, 
 经营性应收项目的减少(万元),--,-9453,--,-16710,--,-1700,--,2551,13368,--,--, 
 经营性应付项目的增加(万元),--,2900,--,11619,--,4629,--,-9562,-24321,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,0,--,-53,--,-16,--,-26,-335,--,--, 
 经营活动产生现金流量净额(万元),--,-21966,--,16399,--,10619,--,25854,11132,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,4784,--,5855,--,--,--,--,--, 
 现金的期末余额(万元),15964,22353,10475,6822,14450,14650,12036,16640,15945,17874,7581, 
 现金的期初余额(万元),6822,6822,8783,16640,16640,16640,16081,15945,17874,7581,10079, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),9143,15532,1692,-9818,-2189,-1990,-4045,695,-1930,10293,-2498, 

