 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),885132,652319,245873,1292810,874042,487316,295321,936021,633809,418545,143784,639085,479105,292674,147557,522314,359825,224023,110045,424932,310586,222057,86432,382934,317583,178993,108766, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),795,225,--,2137,1481,823,28,1213,--,--,--,1011,--,--,--,2844,--,--,--,--,--,--,--,--,1586,2328,1076, 
 收到的其他与经营活动有关的现金(万元),2266,1626,1221,11451,2139,2138,710,10894,1596,1206,471,7729,10313,5784,2058,3167,3010,979,480,3364,3333,1899,1453,4521,5504,3828,1403, 
 经营活动现金流入小计(万元),888194,654170,247095,1306398,877662,490277,296060,948128,635405,419751,144255,647826,489418,298458,149615,528325,362834,225002,110525,428296,313919,223956,87885,387455,324673,185150,111244, 
 购买商品、接受劳务支付的现金(万元),867467,608920,232723,1227843,805692,465474,258698,910570,605663,381146,123975,560343,404889,250070,118366,517704,328791,209009,102039,366387,271031,149453,67748,382075,309684,181151,104678, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),9484,6256,3124,12421,8908,5488,2762,11424,7033,4642,2211,9003,6367,4274,2095,8970,6212,4102,2115,8649,6654,4554,1455,6590,5722,3345,933, 
 支付的各项税费(万元),9237,8047,3943,12929,12356,7190,5652,10670,4233,1820,791,10252,4697,4041,745,9956,2660,2312,582,8739,4471,3784,167,7216,11590,8650,3970, 
 支付的其他与经营活动有关的现金(万元),5006,4159,1647,15335,13588,3747,1814,15435,17249,8828,2070,18613,15019,5641,9145,15485,9292,5388,2357,14959,8396,5121,2538,10892,11532,6107,3431, 
 经营活动现金流出小计(万元),891194,627382,241436,1268528,840544,481899,268925,948098,634177,396436,129046,598211,430972,264027,130350,552116,346955,220812,107093,398733,290553,162913,71908,406773,338528,199253,113011, 
 经营活动产生的现金流量净额(万元),-3001,26787,5659,37869,37118,8377,27135,30,1228,23315,15208,49615,58446,34431,19265,-23791,15880,4190,3433,29562,23366,61043,15977,-19319,-13855,-14104,-1767, 
 收回投资所收到的现金(万元),8000,--,8000,900,2900,900,2000,--,5000,5000,5000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,9,1156,70,119,70,1916,230,230,230,0,--,--,--,110,--,--,--,446,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,1,--,--,1,1,51,753,--,--,--,7,--,--,--,128,128,--,--,--,--,--,0,49,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,8000,--,2290,--,2000,--,5000,--,--,--,4845,4680,4680,--,100,--,--,--,1039,--,--,--,1000,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),8001,8001,8009,4346,2970,3019,2121,7668,5230,5230,5230,4853,4680,4680,0,338,128,0,0,1485,0,0,0,1049,0,0,0, 
