 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),115175,392241,287329,182431,87768,384224,277505,180933,82413,286898,200344,133487,59979,275230,196372,123214,58028,204796,146009,90675,41528,116720,76644,47756,20104,51715,34257,19090,7319,36164,18711,10062,2253,28229,15773,8487,22679,14093,17035,6784, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 收到的税费返还(万元),477,1980,1452,728,351,1356,1062,627,296,317,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 收到的其他与经营活动有关的现金(万元),2028,14603,9918,7510,4945,11010,9171,6093,1536,8840,6850,2309,998,4046,1853,1138,393,3625,2621,1797,839,3453,1699,1096,655,2628,1726,1136,100,1188,837,595,503,1005,661,104,1710,13311,3401,259, 
 经营活动现金流入小计(万元),117680,408823,298699,190669,93064,396590,287738,187653,84245,296055,207194,135795,60977,279277,198225,124352,58421,208421,148630,92472,42367,120173,78342,48853,20759,54343,35984,20226,7418,37352,19548,10657,2756,29233,16434,8591,24388,27404,20436,7043, 
 购买商品、接受劳务支付的现金(万元),20123,88325,61891,41378,23540,89780,61756,44849,20739,48172,39585,28964,13952,57662,45094,24245,13229,41075,30249,18468,10150,25104,17724,11717,4700,17166,12728,9391,4110,10525,6626,4447,1447,3597,2537,1805,4760,3768,5059,1729, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),13203,51320,39094,26730,15004,49122,35897,24368,13637,37153,26953,18943,8974,25922,20620,14487,8703,18564,13529,9396,5783,10606,7684,4954,2523,7707,5821,3887,2086,5798,4279,2519,1021,3058,2122,1284,2240,1478,1361,1055, 
 支付的各项税费(万元),16297,57044,42986,29257,18791,68881,49197,33753,17541,63295,45668,28543,11513,53047,37782,23049,10786,36494,25341,15547,6273,21213,14096,7401,2381,10670,6929,4273,1927,6773,4535,2773,1443,4401,3029,1932,4368,2944,1786,904, 
 支付的其他与经营活动有关的现金(万元),46757,137896,103073,63854,26691,143999,105465,69416,25694,135335,83663,57108,18592,127652,87672,56822,24811,97928,68568,39997,14236,48029,27448,11095,3509,15236,9787,7189,3409,9631,6315,3167,1173,4672,3676,1785,5246,18153,5029,3233, 
 经营活动现金流出小计(万元),96381,334585,247044,161219,84026,351782,252315,172387,77610,283955,195869,133558,53031,264282,191169,118604,57529,194061,137687,83408,36441,104952,66952,35168,13113,50779,35266,24740,11532,32727,21755,12906,5084,15728,11363,6806,16615,26343,13235,6921, 
 经营活动产生的现金流量净额(万元),21299,74238,51655,29450,9038,44808,35423,15266,6634,12100,11325,2237,7946,14994,7056,5748,892,14360,10943,9064,5926,15221,11390,13685,7646,3564,718,-4514,-4113,4625,-2207,-2250,-2328,13506,5071,1785,7774,1061,7201,122, 
 收回投资所收到的现金(万元),594,4615,4565,4565,689,6374,3805,3805,1305,26516,13002,8437,3361,22979,17979,12360,7360,17947,15434,10747,6647,41965,38765,34161,33361,26340,18340,17310,5010,43800,21000,17000,1000,--,0,0,0,0,26,0, 
 取得投资收益所收到的现金(万元),10,187,216,216,10,450,429,427,408,1241,1082,138,61,630,354,252,200,386,292,220,249,1980,1978,1843,1748,352,208,202,51,615,209,159,1,--,0,0,0,0,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),11,4,1,0,--,16,1,1,1,30,0,0,0,7,3,3,--,110,116,100,0,35,25,25,20,28,0,0,0,1,1,0,--,0,0,0,82,25,0,8, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,89,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,29,29,29,29,9851,--,--,--,50,50,--,--,50,--,--,--,--,--,--,--,--,--,--,--,232,161,232,--,1204,1204,1204,3024,0,4400,3340, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 投资活动现金流入小计(万元),615,4806,4782,4781,699,6869,4264,4261,1742,37638,14084,8575,3422,23666,18387,12615,7560,18493,15841,11067,6896,43980,40768,36029,35129,26720,18547,17512,5061,44648,21371,17391,1001,1204,1204,1204,3106,25,4515,3349, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5012,38334,28383,20380,12513,41552,27183,18547,7486,22335,10986,5285,2786,17837,13755,5823,2724,10720,7635,5595,3144,22117,16645,11800,6701,26251,16781,13922,7253,11290,5708,2876,844,4982,2826,2161,4828,2206,587,312, 
 投资所支付的现金(万元),604,16054,14054,4054,4054,25303,17603,3103,1034,21800,21050,21050,5922,21276,13496,10484,5319,26572,20940,15362,5187,22151,22631,20085,17811,18782,5891,4830,4050,64510,43000,42800,36000,31000,0,0,12,0,408,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,863,--,--,--,577,--,577,--,5792,--,--,--,--,--,--,--,--,--,--,--,--,--,250,--,--,8895,4,4,71,--,0,--,--,0,0,0,0,0,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,577,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,36,28,--,--,0,0,2984,0,4370,3040, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0, 
