 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),22227,86347,59466,30446,15605,43958,32373,20394,11945,33032,24535,16778,9428,38931,26265,15880,34960,33140,36719, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),575,4084,2574,2165,1158,5242,3650,2644,1802,4212,2881,1659,860,3811,2766,1801,3260,2999,4074, 
 收到的其他与经营活动有关的现金(万元),241,737,542,69,28,397,100,94,63,308,193,50,74,1219,1178,199,281,366,329, 
 经营活动现金流入小计(万元),23043,91168,62582,32680,16791,49597,36123,23132,13810,37552,27608,18486,10363,43961,30208,17880,38501,36505,41123, 
 购买商品、接受劳务支付的现金(万元),15168,64271,39495,12236,8890,37065,28529,18311,10039,31566,25707,16702,10109,28852,24442,14489,27182,29225,36623, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1452,6497,5238,2493,1251,5314,4077,2592,1280,5477,3681,2426,1167,4590,3248,2072,3700,3460,2978, 
 支付的各项税费(万元),300,1916,1324,1060,338,1246,1256,768,295,1781,1123,919,465,1876,1450,1034,1100,1363,941, 
 支付的其他与经营活动有关的现金(万元),534,5488,4483,1930,682,2602,2071,1284,712,1932,1386,744,493,2009,1743,901,1654,1971,1948, 
 经营活动现金流出小计(万元),17454,78172,50540,17718,11161,46227,35933,22955,12326,40756,31898,20791,12235,37327,30883,18495,33635,36020,42490, 
 经营活动产生的现金流量净额(万元),5589,12996,12043,14962,5630,3370,190,177,1484,-3204,-4289,-2305,-1872,6634,-676,-615,4866,485,-1367, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,198, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,27,21,19,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,4817,4655,13,--,36,2,2,--,7202,--,--,--,38,38,38,--,--,79, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,4844,4676,32,0,36,2,2,0,7202,0,0,0,38,38,38,0,0,278, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1612,3065,2624,1688,812,2097,1079,1082,507,3390,3475,2729,803,4434,2857,2037,4398,2356,3233, 
 投资所支付的现金(万元),--,1456,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,3113,3100,--,--,148,--,--,--,7149,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),1612,7634,5724,1688,812,2244,1079,1082,507,10540,3475,2729,803,4434,2857,2037,4398,2356,3233, 
 投资活动产生的现金流量净额(万元),-1612,-2790,-1048,-1656,-812,-2209,-1077,-1080,-507,-3338,-3475,-2729,-803,-4396,-2819,-1998,-4398,-2356,-2955, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,23936,23936,23936,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),7827,51647,43647,19875,18095,33576,32762,20185,6795,51268,47268,38620,20591,72534,69051,49667,58964,43376,80410, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),6317,991,991,991,598,1127,1127,1127,1127,670,670,670,670,198,198,198,42,3081,254, 
 筹资活动现金流入小计(万元),14144,52638,44638,20866,18693,34702,33889,21312,7921,75873,71873,63226,21260,72732,69249,49866,59006,46457,80664, 
 偿还债务支付的现金(万元),5700,51454,42449,18340,7820,28762,31057,17525,14030,56988,56988,48604,11339,72345,55620,44390,55361,46683,68502, 
 分配股利、利润或偿付利息所支付的现金(万元),404,2049,1576,1349,328,4443,4258,4035,309,2041,1807,1539,1025,2256,1687,1044,2225,1712,1260, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
