 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),36623,23065,44879,34974,44124,41775,33218, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,181, 
 收到的其他与经营活动有关的现金(万元),628,654,370,336,522,1264,738, 
 经营活动现金流入小计(万元),37250,23719,45249,35310,44646,43040,34136, 
 购买商品、接受劳务支付的现金(万元),5502,4272,7050,4679,8750,7817,6566, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5662,3304,9002,5360,8734,8652,6650, 
 支付的各项税费(万元),4217,3190,4111,3591,4667,3966,3103, 
 支付的其他与经营活动有关的现金(万元),2724,1977,4116,2688,4082,4891,3886, 
 经营活动现金流出小计(万元),18105,12743,24280,16318,26233,25326,20205, 
 经营活动产生的现金流量净额(万元),19145,10976,20969,18992,18413,17713,13931, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),15,15,76,76,18,22,198, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,1,--,--,4,--,7, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),16,16,76,76,22,22,205, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3451,2388,4201,3831,5493,13598,24374, 
 投资所支付的现金(万元),--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3451,2388,4201,3831,5493,13598,24374, 
 投资活动产生的现金流量净额(万元),-3435,-2372,-4125,-3755,-5471,-13576,-24168, 
 吸收投资收到的现金(万元),36789,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),6600,3000,14000,7000,39600,30300,44366, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),43389,3000,14000,7000,39600,30300,44366, 
 偿还债务支付的现金(万元),18308,6829,24930,17980,50900,30025,23525, 
 分配股利、利润或偿付利息所支付的现金(万元),1673,1391,5533,4254,5542,8127,10925, 
 其中：子公司支付给少数股东的股利、利润(万元),--,186,186,--,186,115,115, 
