 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2017-03-01,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),27814,100891,80472,51293,30666,98022,74871,52168,26053,26053,72106,57760,35666,19610,55764,41108,23433,12252,47588,32474,21672,10587,35559,26101,--,25225,24826, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,110,110,110,110,41,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),413,3693,1960,1497,556,2649,1302,454,320,320,1745,878,706,226,1986,1455,1073,343,986,478,371,74,668,425,--,374,1837, 
 经营活动现金流入小计(万元),28226,104584,82432,52790,31223,100671,76173,52622,26373,26373,73851,58638,36371,19836,57750,42563,24506,12595,48683,33062,22153,10770,36268,26526,--,25599,26662, 
 购买商品、接受劳务支付的现金(万元),10362,34545,27863,18358,9828,30109,23995,17057,9678,9678,22574,18876,13613,6999,21485,16426,12423,6214,17871,14088,9225,4870,16913,11353,--,13115,17101, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7451,18970,15211,11803,8145,17696,13552,10345,7260,7260,13584,9883,7450,4894,10311,7341,5510,3371,7579,5466,3891,2282,4074,2828,--,2558,1994, 
 支付的各项税费(万元),1374,12397,9615,6807,3155,12384,8438,6251,2696,2696,11084,7161,4604,2155,10218,7115,5036,2306,5839,3939,2704,978,4602,3752,--,2272,2008, 
 支付的其他与经营活动有关的现金(万元),590,4047,513,269,119,4329,396,216,200,200,4484,636,396,79,3048,1092,650,207,2385,1351,1004,384,2222,1560,--,1503,1480, 
 经营活动现金流出小计(万元),19778,69958,53202,37237,21247,64517,46380,33869,19834,19834,51727,36556,26063,14127,45061,31974,23619,12098,33674,24844,16823,8514,27811,19493,--,19446,22583, 
 经营活动产生的现金流量净额(万元),8448,34625,29230,15553,9975,36153,29793,18753,6539,6539,22124,22083,10309,5709,12689,10589,887,497,15009,8217,5329,2256,8457,7033,4289,6153,4079, 
 收回投资所收到的现金(万元),81842,416649,312000,178000,64000,40332,24000,24000,4000,4000,77243,43800,16800,7800,40139,35900,35900,15000,--,--,--,--,--,--,--,--,300, 
 取得投资收益所收到的现金(万元),1,--,1712,1072,411,--,194,194,24,24,--,292,102,44,--,218,191,130,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,45,--,--,--,39,7,3,--,--,54,1,1,--,19,4,--,--,13,13,3,--,7,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,144,144,144,--,69,69,69,69,--,--,--,163,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),81843,416693,313712,179072,64411,40371,24201,24198,4024,4024,77297,44093,16903,7844,40302,36266,36235,15130,82,82,72,69,7,0,--,163,300, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1956,20943,16372,10769,3301,18654,11650,8772,3996,3996,15807,10878,7988,1955,7619,4230,2721,1600,7847,5185,4685,1334,6466,3774,--,6933,9124, 
 投资所支付的现金(万元),91063,456000,364000,220000,47000,82000,36000,20000,20000,20000,76800,51800,31300,12800,28900,24900,24900,3000,15000,--,1000,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,--,144,--,--,69,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),93019,476943,380372,230769,50301,100654,47650,28772,23996,23996,92607,62678,39288,14755,36519,29130,27621,4600,22847,5186,5685,1334,6610,3774,--,7002,9124, 
 投资活动产生的现金流量净额(万元),-11176,-60250,-66660,-51697,14110,-60284,-23449,-4574,-19972,-19972,-15310,-18585,-22385,-6911,3783,7136,8614,10530,-22765,-5104,-5613,-1265,-6603,-3774,-2084,-6839,-8824, 
 吸收投资收到的现金(万元),--,4932,4932,--,--,70228,70338,--,--,--,--,--,--,--,3799,--,--,--,40062,40500,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,3199,3027,3027,3027,3027,2879,2933,2933,2933,--,8348,8348,5597,18068,16706,9948,5497,13509,10200,--,7884,8691, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
