 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),12454,7249,22172,14781,12632,6632,3827, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),1519,1110,2345,1401,1259,437,467, 
 收到的其他与经营活动有关的现金(万元),1057,709,71,71,4,256,111, 
 经营活动现金流入小计(万元),15030,9068,24588,16253,13896,7326,4405, 
 购买商品、接受劳务支付的现金(万元),3930,2224,9601,8429,4016,967,513, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2491,2045,3300,2427,2006,1333,1059, 
 支付的各项税费(万元),2640,1366,6271,5083,2207,1024,626, 
 支付的其他与经营活动有关的现金(万元),2057,1843,4313,1877,2918,1752,1142, 
 经营活动现金流出小计(万元),11118,7478,23484,17816,11147,5077,3340, 
 经营活动产生的现金流量净额(万元),3912,1589,1104,-1563,2749,2249,1065, 
 收回投资所收到的现金(万元),--,--,--,--,410,--,26, 
 取得投资收益所收到的现金(万元),55,19,10,10,447,1,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,0,0,0,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),24910,9510,6500,6500,6400,200,150, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),24965,9529,6510,6510,7257,201,176, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),160,157,361,250,528,200,2025, 
 投资所支付的现金(万元),--,--,--,--,--,194,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),24910,9510,6500,6500,4500,2100,--, 
