 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),10892,78486,41503,21418,9423,64014,35159,22269,10481,63783,35052,20953,8094,56893,30417,19666,59203,64788,52450, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,3,--,--,--,--,19,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1698,4677,3057,1968,770,5275,3958,2617,981,6538,4245,2390,245,4792,3446,2041,3862,2635,3741, 
 经营活动现金流入小计(万元),12589,83163,44560,23386,10196,69289,39117,24886,11462,70340,39297,23343,8339,61685,33864,21707,63065,67424,56191, 
 购买商品、接受劳务支付的现金(万元),19604,54445,35443,23297,12938,45006,31129,22711,14908,46116,34150,21639,10539,36470,27523,18899,43906,50466,41092, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3741,8494,6695,4719,3053,8214,6234,4223,2374,6741,5385,3774,1768,6266,4938,3426,6246,6226,4440, 
 支付的各项税费(万元),1252,3402,3047,2167,1627,3435,2412,1882,1586,3289,2709,1970,1968,2973,2395,1593,3455,3006,2875, 
 支付的其他与经营活动有关的现金(万元),2320,9104,7320,4565,1980,8958,6554,4169,2055,10763,7737,5535,2237,9159,6382,4049,6246,6360,4705, 
