 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),32170,136844,101733,66646,32514,129548,96795,61609,29800,112747,87963,55456,22925,100160,71685,45296,--,93962,91184,70282,28400,62264,52772,42111, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),523,4977,3512,1630,735,6174,4363,3019,1311,1528,6,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),11088,50660,36136,22692,10106,46392,33258,21243,10546,34293,3669,1611,1735,4351,5976,4185,--,1095,1057,2152,1689,946,6074,1474, 
 经营活动现金流入小计(万元),43781,192481,141380,90968,43355,182114,134416,85871,41657,148568,91638,57067,24660,104511,77661,49481,--,95057,92241,72434,30089,63210,58846,43585, 
 购买商品、接受劳务支付的现金(万元),11218,39529,30167,20076,6768,37980,27388,17142,8325,22117,18737,10909,6448,17937,16971,10093,--,22109,21597,18665,5293,13405,11418,9142, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4849,22783,14539,9179,4718,20409,12925,8733,4347,17692,12234,7456,3735,16009,10584,6717,--,14597,13287,11738,3779,8195,6623,6044, 
 支付的各项税费(万元),3808,21096,15946,10525,3814,17709,12874,8852,4425,12497,9249,5627,2929,9090,6456,5210,--,9239,7563,6163,2855,5702,4111,5031, 
 支付的其他与经营活动有关的现金(万元),8406,49619,35651,22607,10645,45106,32583,21061,10609,39466,6348,5633,1336,9919,5742,3961,--,7484,7372,6078,1757,5758,4723,3090, 
 经营活动现金流出小计(万元),28280,133028,96303,62387,25945,121204,85770,55788,27707,91772,46568,29624,14448,52956,39753,25980,--,53429,49819,42645,13684,33060,26875,23307, 
