 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),300099,189610,88844,351471,278139,178417,78819,307167,189497,99197,34123,150483,106828,68100,27875,98499,60843,30677,12149,60269,46055,28788,12988,51849,36796,22961,10943,50703,34088,18449,34893,24499,18933, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,-66,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),5525,2948,2207,8151,5874,2843,1099,5756,4624,3082,1260,4731,2948,2003,650,1772,1279,886,557,1350,690,381,159,1024,820,489,64,448,264,195,356,368,530, 
 收到的其他与经营活动有关的现金(万元),14608,10726,2681,14873,14670,9323,2921,5658,17834,14243,4878,6553,6684,4028,2084,6244,4338,2228,643,3225,4850,2269,775,1052,2046,794,510,1365,1621,125,308,249,324, 
 经营活动现金流入小计(万元),320232,203284,93732,374430,298683,190583,82839,318581,211955,116522,40262,161767,116460,74132,30608,106514,66459,33791,13349,64844,51596,31439,13922,53925,39662,24244,11517,52516,35974,18769,35557,25117,19787, 
 购买商品、接受劳务支付的现金(万元),239934,157319,70833,243159,212027,133360,59626,198676,139357,71727,25690,92493,74320,46297,21890,61587,42067,26478,11944,46126,34804,25334,12099,40308,30258,21389,12145,35930,26138,12632,24473,18047,15364, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,-66,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),33546,22779,12352,38916,27566,17406,8898,30691,19936,11567,5056,21328,13033,8571,3810,11328,7598,4558,1953,7949,5143,3275,1642,7495,4883,3189,1536,5690,4001,2567,3548,2134,1364, 
 支付的各项税费(万元),14139,8782,4261,21104,14309,10171,5005,17646,13028,7452,2315,10596,8084,5396,3045,7694,4842,3226,1530,2139,1717,1034,555,3936,2783,2041,823,1697,1121,462,1845,659,534, 
 支付的其他与经营活动有关的现金(万元),37022,21882,10048,41014,31602,20126,13135,26287,19535,13887,3714,14334,13521,8920,2887,7530,7438,4492,2432,7514,8553,4523,1668,5078,4896,2774,1574,4445,3213,1723,3722,2066,1615, 
 经营活动现金流出小计(万元),324640,210761,97495,344127,285504,181062,86665,273301,191857,104633,36774,138750,108957,69184,31632,88140,61946,38755,17859,63728,50216,34166,15963,56818,42819,29392,16077,47762,34472,17384,33588,22906,18877, 
 经营活动产生的现金流量净额(万元),-4409,-7477,-3763,30303,13179,9521,-3826,45280,20098,11889,3488,23017,7503,4948,-1024,18374,4513,-4964,-4510,1116,1379,-2726,-2041,-2892,-3157,-5148,-4561,4754,1502,1385,1969,2211,910, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,4536,6831,3072,--,--,--,--,--,295,295,913,--,2738,2738,2738,--,--,--,--,--,--,--,--,--,--,233, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,7,--,5,--,--,--,--,--,34,618,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),750,493,410,85,9,9,11,58,11,--,--,91,7,--,--,37,9,9,9,--,--,--,--,--,--,--,--,29,--,--,3,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,-70,-53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),5279,4275,--,--,--,--,--,257,--,159,--,3582,3590,1990,--,850,350,--,--,1000,--,--,--,87,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),6029,4768,410,85,-61,-45,11,4859,6842,3236,0,3673,3596,1990,0,1216,1272,922,9,3738,2738,2738,0,100,0,0,0,29,0,0,3,0,251, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5461,3820,820,12971,6447,4614,2505,75289,73200,3700,608,1814,1415,1009,523,3682,1694,1346,786,3466,2370,2073,718,4269,2581,1088,537,2156,1155,2244,4417,2692,603, 
 投资所支付的现金(万元),--,--,1640,13330,10740,10740,1620,6797,2340,--,--,24231,21054,3274,6393,--,--,95,--,455,227,--,--,2738,--,--,--,--,--,--,1400,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,2870,71070,32564,16844,-1346,112685,111636,79328,15887,17541,17541,16025,--,21561,20380,20380,--,--,--,--,--,300,--,--,--,--,--,--,19,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,5740,34,263,146,118,2968,275,1275,1000,3169,4559,4559,4191,4620,3710,2283,--,143,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
