 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),26462,73663,40111,20253,8821,46177,23954,14344,9577,37248,27778,17239,5848,26231,11884,10727,3088,20404,15937,19046, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,0,336,166,144,108,718,429,--,--,146,146,146,49,190,17,--, 
 收到的其他与经营活动有关的现金(万元),7175,15235,27697,13961,992,8010,26427,9820,7767,9267,5748,2803,837,5231,3049,2617,1814,2281,1719,1175, 
 经营活动现金流入小计(万元),33637,88899,67808,34214,9813,54523,50547,24308,17452,47232,33955,20042,6686,31608,15079,13491,4952,22876,17672,20221, 
 购买商品、接受劳务支付的现金(万元),29540,62328,45268,22842,13592,30985,25634,17830,10398,31225,22640,12394,8166,20291,11800,10415,3633,14207,13365,12806, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5309,12161,8421,5598,3131,6420,4226,2919,1775,4637,3360,2457,1351,3384,2337,1763,1016,2392,1978,1653, 
 支付的各项税费(万元),2774,9861,6066,5107,3741,3578,2394,1236,690,3222,2051,1105,732,1851,1407,987,838,1330,1609,1352, 
 支付的其他与经营活动有关的现金(万元),14916,19573,25964,13120,6004,19130,30036,8007,6273,15636,15211,10360,2318,6023,3517,3057,2201,6018,3554,2275, 
 经营活动现金流出小计(万元),52539,103922,85718,46667,26467,60112,62291,29992,19137,54721,43263,26316,12567,31549,19062,16222,7687,23947,20506,18086, 
 经营活动产生的现金流量净额(万元),-18902,-15023,-17911,-12453,-16654,-5590,-11744,-5684,-1685,-7489,-9307,-6274,-5881,59,-3983,-2731,-2735,-1071,-2834,2135, 
 收回投资所收到的现金(万元),--,32600,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,46,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,637,10,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,15606,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1,48252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,10,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),22229,69455,44592,28086,16074,37101,21674,15945,4504,13231,3362,1832,529,3886,3466,1025,432,1536,1163,532, 
 投资所支付的现金(万元),15249,48522,--,--,--,--,6322,--,--,--,--,--,--,--,--,--,--,--,--,1000, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,6600,6618,6487,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,71,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),37478,124649,51209,34573,16074,37101,27996,15945,4504,13231,3362,1832,529,3886,3466,1025,432,1536,1163,1532, 
