 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),12576,44919,31827,26346,9960,33795,25358,20808,13707,35752,28833,17920,10389,34052,26266,20422,9432,34087,27592,25208,13459,20914,13089,11761, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1382,2546,2184,1869,847,2916,2587,2164,1026,2779,2600,1991,459,2227,1901,1208,288,2196,1704,1227,641,1073,593,487, 
 收到的其他与经营活动有关的现金(万元),22369,1109,1931,1317,267,1009,1623,884,1377,731,1042,576,954,1521,1059,945,443,891,292,630,87,409,445,471, 
 经营活动现金流入小计(万元),36327,48574,35942,29532,11073,37720,29567,23855,16109,39262,32475,20487,11802,37800,29226,22576,10163,37174,29587,27066,14187,22395,14127,12718, 
 购买商品、接受劳务支付的现金(万元),12172,30191,24005,19260,12455,25530,20393,15832,13025,28094,20978,12364,11259,24576,20429,15175,7632,28769,20432,19079,9479,16834,9746,8596, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),948,4151,2750,1881,858,4094,2313,2009,940,3871,2350,1919,982,3876,2951,1971,1090,3294,2496,2216,1053,1859,1114,1188, 
 支付的各项税费(万元),487,1197,1241,994,486,1700,1213,1186,693,2102,1811,1575,818,2593,1883,1832,971,1767,1751,1265,714,845,670,424, 
 支付的其他与经营活动有关的现金(万元),1685,4930,4714,3047,1433,4510,4514,2833,270,4180,4812,2421,702,4633,3495,3086,2083,2974,2671,2161,1181,1771,1094,1228, 
 经营活动现金流出小计(万元),15293,40469,32710,25182,15232,35834,28433,21861,14929,38246,29951,18279,13760,35678,28759,22065,11776,36804,27350,24721,12426,21310,12624,11435, 
 经营活动产生的现金流量净额(万元),21033,8105,3232,4350,-4159,1886,1134,1995,1181,1016,2524,2208,-1958,2123,468,511,-1613,370,2237,2345,1761,1085,1502,1283, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
