 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),280067,1155612,778677,501475,235527,1082857,765466,475028,218766,1100153,755736,467017,211278,1071567,792660,465021,208997,940508,680109,421251,194053,882563,630972,374859,152053,858927,547605,328796,135400,747888,522609,288163,127433,635929,443220,258349,97911,449848,331331,222663,96502,436000,297749,149609,67304,330837,238547,122948,54906, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 收到的税费返还(万元),58,0,--,--,0,2111,--,--,--,--,21,--,--,--,28,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 收到的其他与经营活动有关的现金(万元),9588,29520,27191,26954,--,25729,20895,19324,--,13276,5237,4073,50,6730,3990,3952,--,14674,9765,7144,5339,4625,2392,2392,--,6439,2065,2065,--,4168,1681,1681,--,2637,1996,1183,--,1192,1173,1173,--,602,0,0,--,0,0,0,--, 
 经营活动现金流入小计(万元),289713,1185132,805868,528429,235527,1110697,786361,494352,218766,1113429,760994,471090,211328,1078297,796679,468978,208997,955182,689873,428395,199392,887187,633364,377251,152053,865365,549671,330862,135400,752057,524291,289844,127433,638565,445216,259531,97911,451040,332504,223835,96502,436602,297749,149609,67304,330837,238547,122948,54906, 
 购买商品、接受劳务支付的现金(万元),245244,1040320,585449,403243,187024,803496,568835,369863,183611,878929,615318,381440,183217,857445,664798,373983,183969,744266,546967,338472,156345,738594,533014,310099,133535,684592,425014,247931,104182,502895,359897,196251,100061,513516,350872,204245,72124,362560,266557,165980,72378,328637,226888,117236,51668,287943,224623,118720,52245, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 支付给职工以及为职工支付的现金(万元),28777,93289,57201,40369,24814,90312,55459,39532,16467,75276,41520,35605,15628,65028,37925,28259,16325,58004,34569,25237,15625,42681,30025,21505,11239,38360,26355,17522,8213,30261,23505,16420,7826,22131,19524,12032,5022,22783,17026,11622,4532,12568,9232,6194,3502,7815,6021,4055,2025, 
 支付的各项税费(万元),13867,47751,33539,27883,14344,46775,50263,29228,9218,40807,34787,26150,8054,40949,29331,25425,5410,42846,31412,26642,6467,35719,26498,22662,5643,40441,30441,25831,13259,35265,28612,24201,11099,23354,18855,12251,4122,18759,15268,11962,4015,14016,9888,6166,1502,7866,6193,4086,1782, 
 支付的其他与经营活动有关的现金(万元),15285,82352,76812,27431,9231,75371,66299,24547,7142,67390,48541,24423,6873,62453,41144,28880,8225,60600,40025,21349,9825,45161,34520,19658,8021,40864,25651,16688,7855,35463,24159,13806,7913,20881,20240,13683,6822,23862,18698,11822,6025,14057,12025,7425,4201,7528,8032,5396,1825, 
 经营活动现金流出小计(万元),303172,1263713,753001,498926,235413,1015954,740856,463170,216438,1062403,740166,467617,213772,1025874,773199,456547,213929,905717,652973,411699,188262,862156,624058,373924,158438,804257,507462,307972,133508,603884,436172,250679,126899,579882,409491,242212,88089,427964,317549,201386,86951,369278,258034,137021,60873,311152,244870,132256,57877, 
 经营活动产生的现金流量净额(万元),-13460,-78581,52867,29504,114,94743,45505,31181,2328,51026,20828,3472,-2443,52423,23480,12432,-4932,49465,36901,16696,11130,25032,9306,3327,-6385,61109,42209,22890,1892,148173,88118,39165,534,58683,35726,17319,9822,23076,14955,22450,9551,67325,39715,12588,6431,19685,-6323,-9308,-2971, 
 收回投资所收到的现金(万元),--,--,--,--,--,31,--,--,--,11,--,--,--,840,840,840,840,382,--,--,--,5322,1966,1966,983,740,354,--,176,7536,1154,1154,7012,2678,10226,7716,968,--,--,0,--,5677,0,2801,--,12618,16802,3672,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,626,914,914,456,3000,98,98,31,1933,1539,1448,1107,5701,5353,2925,--,67,1024,2340,786,0,5426,0,1429,0,73,0,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,110,80,80,-76,117,40,5,--,361,269,263,234,1771,282,282,195,1665,1303,888,235,1931,625,326,187,1181,105,55,57,4880,3058,59,21,3143,1521,1203,156,626,341,341,16,126,98,80,23,214,31,25,55, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,442,486,455,500,--,--,--,--,13335,13207,--,--,5100,--,--,--,-10700,-10479,--,--,--,--,--,--,--,--,--,--,4620,--,0,--,994,--,0,--,0,0,0,--,0,0,0,--, 
 收到的其他与投资活动有关的现金(万元),--,66229,20000,20000,--,10626,--,--,--,3990,--,--,--,--,--,--,1500,750,6615,6615,--,4154,18620,16530,--,4079,10000,4955,--,5130,5130,5130,--,16800,8500,2500,--,--,900,0,--,0,0,0,--,0,0,2843,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 投资活动现金流入小计(万元),0,66339,20080,20080,-76,11216,527,460,500,4362,269,263,234,15945,14328,1122,2535,7897,7918,7503,235,1332,11646,19735,1626,9000,10558,5108,264,19479,10881,7790,8140,32942,25600,14343,1124,1687,2264,2681,802,5802,5524,2881,1452,12832,16905,6540,55, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),23756,56739,68425,52197,19948,112152,75073,50835,13802,69808,59489,32012,18833,53913,34011,15891,10700,45180,47179,41108,31990,64085,49214,68859,37256,107831,73954,32028,8587,44482,16059,9101,5613,9659,10659,8025,3976,20390,16503,14717,12856,45382,30091,23681,14026,12136,8904,7916,2602, 
 投资所支付的现金(万元),--,6867,6880,492,392,19600,19600,19600,--,1619,1500,--,--,37976,37932,4900,4900,55498,15990,15990,--,--,1104,--,--,939,918,918,129,10534,3166,2816,9026,5239,5239,0,--,6569,4827,5975,845,1907,4589,1418,1309,9057,400,1468,943, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,1566,0,0,-3050,0,0,0,--, 
 支付的其他与投资活动有关的现金(万元),--,--,20000,20000,20000,--,--,--,--,--,--,--,--,--,--,--,--,6,--,--,--,--,--,--,--,5179,1849,1500,9045,48855,24990,13640,2000,34764,13790,0,--,--,--,100,3100,0,2400,2400,--,0,0,0,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,0,0,--,0,0,0,--, 
 投资活动现金流出小计(万元),23756,63606,95305,72689,40340,131752,94673,70435,13802,71427,60989,32012,18833,91888,71943,20791,15600,105784,63170,57099,31990,64085,50318,68859,37256,113949,76720,34445,17761,103871,44215,25557,16639,49661,29687,8025,3976,26959,21330,20792,16801,48855,37080,27499,12286,21193,9304,9383,3545, 
