 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),20837,11877,18655,15337,9310,13561,6743,5816, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),247,194,9,5,5,12,5,0, 
 收到的其他与经营活动有关的现金(万元),888,698,514,153,175,499,281,135, 
 经营活动现金流入小计(万元),21972,12769,19178,15495,9489,14072,7029,5951, 
 购买商品、接受劳务支付的现金(万元),7314,5195,6955,6660,3640,5527,1770,1332, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5329,3739,6206,4534,2931,3496,2549,1684, 
 支付的各项税费(万元),1609,1002,1505,1087,754,1111,712,562, 
 支付的其他与经营活动有关的现金(万元),2631,1075,2237,1677,999,1186,807,541, 
 经营活动现金流出小计(万元),16883,11012,16902,13957,8325,11320,5838,4119, 
 经营活动产生的现金流量净额(万元),5089,1757,2276,1538,1165,2752,1191,1832, 
 收回投资所收到的现金(万元),--,--,198,198,122,5572,2000,6750, 
 取得投资收益所收到的现金(万元),--,--,25,25,25,35,25,53, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),68,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),350,350,350,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),418,350,573,223,147,5607,2025,6803, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),4606,2491,3826,2082,1268,970,948,623, 
 投资所支付的现金(万元),--,--,--,--,--,4869,2100,6850, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,2656,2656,2656,135,35,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,4,8,--,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),4606,2491,6482,4738,3928,5982,3083,7473, 
 投资活动产生的现金流量净额(万元),-4188,-2141,-5910,-4515,-3781,-375,-1059,-670, 
 吸收投资收到的现金(万元),--,--,5020,5020,20,3190,--,16, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,380,380,380,50,800,600, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,0,5400,5400,400,3240,800,616, 
 偿还债务支付的现金(万元),380,380,380,380,380,50,800,800, 
 分配股利、利润或偿付利息所支付的现金(万元),4,4,51,14,9,1001,685,45, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),452,175,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),836,559,431,394,389,1051,1485,845, 
 筹资活动产生的现金流量净额(万元),-836,-559,4969,5005,10,2189,-685,-229, 
 汇率变动对现金及现金等价物的影响(万元),-239,-159,352,122,33,165,-1,-36, 
 现金及现金等价物净增加额(万元),-174,-1102,1688,2150,-2573,4731,-554,896, 
 加:期初现金及现金等价物余额(万元),7805,7805,6118,6118,6118,1386,1941,1044, 
 期末现金及现金等价物余额(万元),7632,6704,7805,8267,3545,6118,1386,1941, 
 净利润(万元),--,3177,3504,2588,2413,1986,2246,1825, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,148,399,240,91,21,79,-22, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,532,818,568,366,416,344,306, 
 无形资产摊销(万元),--,24,37,26,14,8,6,5, 
 长期待摊费用摊销(万元),--,51,27,13,6,--,--,25, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,7,3,6,--,-3,11,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,-10, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--, 
 财务费用(万元),--,158,-346,-114,-57,-166,37,79, 
 投资损失(万元),--,68,-41,-41,-43,-14,-26,-6, 
 递延所得税资产减少(万元),--,-78,-192,-36,-12,-40,-19,-4, 
 递延所得税负债增加(万元),--,-7,-18,-15,-11,--,--,--, 
 存货的减少(万元),--,-2286,-3871,-2682,-1111,-1265,-1158,-480, 
 经营性应收项目的减少(万元),--,-1924,-1168,43,-270,-1756,-213,-270, 
 经营性应付项目的增加(万元),--,1886,1757,-481,-522,1654,-122,390, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--, 
