 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),20773,11106,2988,31124,19035,9145,2736,27348,11678,28559,4843,166, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,331,--,--,--, 
 收到的其他与经营活动有关的现金(万元),2736,1708,431,3075,2018,1563,371,2782,904,1713,1098,235, 
 经营活动现金流入小计(万元),23509,12814,3420,34198,21054,10708,3107,30130,12913,30272,5941,401, 
 购买商品、接受劳务支付的现金(万元),16067,9831,4818,19545,12238,6556,3400,17866,8516,18471,3264,116, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2144,1497,835,2418,1800,1267,717,2052,1050,1622,589,64, 
 支付的各项税费(万元),1437,730,246,3250,2063,972,556,2270,1096,2855,369,57, 
 支付的其他与经营活动有关的现金(万元),4700,3066,929,5111,3823,2861,695,4444,1729,3526,2179,71, 
 经营活动现金流出小计(万元),24347,15124,6828,30324,19924,11656,5368,26632,12391,26473,6401,308, 
 经营活动产生的现金流量净额(万元),-838,-2310,-3409,3874,1129,-948,-2261,3499,522,3798,-459,94, 
 收回投资所收到的现金(万元),--,--,--,220,20,19,2,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),269,88,54,138,108,70,37,147,51,89,94,10, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,0,--,--,--,--,--,--,2,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),50617,28300,19400,51611,39900,28442,15205,56817,23800,42580,24370,1700, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),50886,28388,19454,51969,40028,28531,15245,56964,23851,42669,24467,1710, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1344,775,678,1244,996,1024,754,3750,2711,2791,1049,5, 
 投资所支付的现金(万元),--,--,--,205,136,106,111,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,417,417,--,--,940, 
 支付的其他与投资活动有关的现金(万元),75682,25500,13900,52641,35430,23953,10695,59687,23100,44480,24870,4200, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),77026,26275,14578,54090,36563,25083,11560,63854,26228,47271,25919,5145, 
 投资活动产生的现金流量净额(万元),-26140,2113,4876,-2122,3465,3448,3684,-6890,-2377,-4603,-1452,-3435, 
 吸收投资收到的现金(万元),27740,27740,--,--,--,--,--,3200,3200,--,2500,3000, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,700,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,800,800,--,--,--, 
 筹资活动现金流入小计(万元),27740,27740,0,0,0,0,0,4000,4000,700,2500,3000, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,700,700,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,--,--,--,--,2,2,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),74,14,--,--,--,--,--,--,--,800,--,--, 
 筹资活动现金流出小计(万元),74,14,0,0,0,0,0,702,702,800,0,0, 
 筹资活动产生的现金流量净额(万元),27666,27726,0,0,0,0,0,3298,3298,-100,2500,3000, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),688,27530,1467,1753,4595,2500,1423,-93,1442,-904,588,-342, 
 加:期初现金及现金等价物余额(万元),4258,2002,2002,249,1881,249,249,342,342,1247,658,1000, 
 期末现金及现金等价物余额(万元),4946,29531,3469,2002,6476,2749,1672,249,1785,342,1247,658, 
 净利润(万元),--,2069,--,5439,--,1793,--,5015,--,3799,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,131,--,162,--,118,--,55,--,661,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,200,--,398,--,194,--,233,--,58,--,--, 
 无形资产摊销(万元),--,78,--,158,--,79,--,132,--,101,--,--, 
 长期待摊费用摊销(万元),--,15,--,31,--,15,--,56,--,26,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,0,--,--,--,--,--,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
