 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),8126,51397,32964,21097,8137,50456,22945,11425,4213,42662,14261,9068,5345,55539,21648,12283,4157,53975,45243,38964, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),292,1139,815,316,222,1714,1248,994,745,1616,1184,756,642,855,716,504,318,1189,1191,486, 
 收到的其他与经营活动有关的现金(万元),338,5730,2203,1595,450,1782,344,241,71,265,170,112,51,376,264,236,80,444,604,317, 
 经营活动现金流入小计(万元),8756,58267,35982,23008,8810,53952,24538,12660,5028,44543,15616,9936,6038,56770,22628,13023,4555,55608,47038,39767, 
 购买商品、接受劳务支付的现金(万元),9633,60065,45205,31370,16295,50237,31340,21073,9087,44587,33652,24722,19531,35833,28103,21998,18168,36473,26536,26394, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1661,5744,4231,2964,1684,7150,5433,3708,2027,7109,5425,3768,2084,7503,6041,4318,2581,7937,6634,4195, 
 支付的各项税费(万元),1337,3361,2725,1806,892,4410,3743,2610,1685,4441,3835,2482,1782,4439,3012,1946,1236,4179,3728,2602, 
 支付的其他与经营活动有关的现金(万元),3101,9430,7371,3653,1678,7358,5517,3364,2022,5111,3552,2039,1554,3624,3230,2311,1671,4924,5824,4137, 
 经营活动现金流出小计(万元),15732,78599,59533,39793,20549,69155,46033,30755,14821,61248,46464,33011,24951,51399,40386,30573,23656,53514,42723,37329, 
 经营活动产生的现金流量净额(万元),-6975,-20332,-23550,-16785,-11739,-15203,-21496,-18095,-9793,-16705,-30849,-23075,-18913,5371,-17758,-17550,-19101,2094,4315,2439, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5,12,10,10,0,1,0,0,0,2,2,2,--,0,--,0,--,2,94,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,1762,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),5,12,1772,10,0,1,0,0,0,2,2,2,0,0,0,0,0,2,94,1, 
