 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),114539,79778,41551,123895,85782,38466,10420,32108,24104,34140,28810,23945,20979, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,5,923,235,--, 
 收到的其他与经营活动有关的现金(万元),4384,2507,679,2491,1408,553,1343,2097,1349,1566,1180,3848,1931, 
 经营活动现金流入小计(万元),118923,82285,42230,126386,87190,39019,11764,34205,25453,35711,30913,28029,22910, 
 购买商品、接受劳务支付的现金(万元),8236,5264,2375,2997,3295,1755,107,1222,339,696,122,131,122, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),27355,21356,15910,16436,10347,5813,3955,8263,7261,7795,5595,5396,5362, 
 支付的各项税费(万元),15439,12275,7328,13679,6825,2905,1090,3540,2703,3631,3807,2608,980, 
 支付的其他与经营活动有关的现金(万元),14009,9716,5427,14037,6380,3127,1592,2516,1777,3210,2889,2990,408, 
 经营活动现金流出小计(万元),65038,48611,31040,47149,26847,13599,6744,15541,12080,15332,12413,11125,6873, 
 经营活动产生的现金流量净额(万元),53885,33674,11191,79237,60343,25421,5020,18664,13373,20379,18500,16904,16037, 
 收回投资所收到的现金(万元),99055,32185,95,--,--,--,--,--,--,--,--,350,--, 
 取得投资收益所收到的现金(万元),1161,382,--,--,--,--,--,70,70,--,--,0,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),8,8,1,28,46,9,2,1,0,118,128,638,2, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),100224,32575,96,28,46,9,2,71,70,118,128,988,2, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),29860,18113,4923,15557,6248,1141,688,2848,1806,932,998,693,1105, 
 投资所支付的现金(万元),238250,140388,--,633,450,--,--,2022,1336,1200,1000,350,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,544,--,108,--,5,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),268110,158502,4923,16190,6698,1141,688,5414,3142,2240,1998,1049,1105, 
 投资活动产生的现金流量净额(万元),-167886,-125927,-4827,-16162,-6652,-1132,-686,-5343,-3071,-2121,-1871,-61,-1103, 
 吸收投资收到的现金(万元),8039,8039,--,90878,--,--,--,559,559,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,559,559,--,--,--,--, 
 取得借款收到的现金(万元),13750,13750,4617,--,--,--,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,69, 
 筹资活动现金流入小计(万元),21789,21789,4617,90878,0,0,0,559,559,0,0,0,69, 
 偿还债务支付的现金(万元),1539,798,211,298,223,149,74,298,223,298,298,298,298, 
 分配股利、利润或偿付利息所支付的现金(万元),39923,35769,6439,4520,4516,4512,6,3038,3031,6060,2080,16102,3486, 
 其中：子公司支付给少数股东的股利、利润(万元),10400,6400,6400,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),857,857,826,80,38,--,--,--,--,--,27109,--,--, 
 筹资活动现金流出小计(万元),42318,37423,7476,4898,4778,4661,81,3336,3254,6357,29487,16400,3784, 
 筹资活动产生的现金流量净额(万元),-20530,-15634,-2859,85980,-4778,-4661,-81,-2777,-2695,-6357,-29487,-16400,-3715, 
 汇率变动对现金及现金等价物的影响(万元),-1072,-638,-162,895,114,27,78,7,3,1,-1,-0,-1, 
 现金及现金等价物净增加额(万元),-135603,-108525,3342,149950,49028,19655,4331,10551,7610,11901,-12859,443,11219, 
 加:期初现金及现金等价物余额(万元),194394,194394,194394,44444,44444,44444,44988,33893,33893,21992,34851,34408,23189, 
 期末现金及现金等价物余额(万元),58791,85868,197736,194394,93472,64099,49319,44444,41503,33893,21992,34851,34408, 
 净利润(万元),--,36720,--,70355,54403,33742,--,17405,--,19353,15754,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,991,--,1632,1435,1957,--,17,--,-2,9,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,243,--,515,403,289,--,594,--,554,483,--,--, 
 无形资产摊销(万元),--,59,--,93,67,43,--,78,--,74,48,--,--, 
 长期待摊费用摊销(万元),--,210,--,152,52,16,--,36,--,4,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,2,--,-2,-2,-2,--,11,--,-70,-97,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,1,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,803,--,-875,-98,4,--,78,--,175,174,--,--, 
 投资损失(万元),--,-915,--,365,336,351,--,356,--,112,--,--,--, 
