 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31, 
 销售商品、提供劳务收到的现金(万元),110764,393746,308804,236292,112126,362917,313458,208381,103723,395898,286484,181383,76320,583338,482739,323361,156317,578842,430707,258315,--,440476,249765,327881, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1581,4638,3647,2159,633,2208,1561,1010,594,4099,3416,1672,870,4273,3713,1972,519,2175,1488,661,--,372,2180,683, 
 收到的其他与经营活动有关的现金(万元),144,1375,526,647,340,511,528,150,42,903,234,158,46,1226,368,213,498,863,555,431,--,1110,1411,852, 
 经营活动现金流入小计(万元),112489,399760,312978,239098,113099,365637,315547,209541,104359,400900,290134,183213,77236,588837,486819,325547,157334,581881,432750,259407,--,441959,253356,329416, 
 购买商品、接受劳务支付的现金(万元),86376,347527,277407,207826,104807,315950,262857,170407,81540,323106,240469,147336,55180,519469,430999,288316,149262,512622,384916,237331,--,419270,218245,314212, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4671,14078,10647,7378,4364,12229,8969,5911,3437,10595,8120,5691,3068,10679,8297,5873,3174,9534,6653,4539,--,6942,5491,4643, 
 支付的各项税费(万元),3974,17045,12292,8028,2804,14046,11062,7491,3226,10316,7968,6350,1930,14210,9069,6360,2049,12753,6930,3931,--,5617,7188,5620, 
 支付的其他与经营活动有关的现金(万元),4093,12998,8213,5030,1963,8612,5528,3636,1683,10634,2006,1268,959,2715,5224,3373,203,3120,2980,2013,--,2869,2810,2707, 
 经营活动现金流出小计(万元),99114,391649,308558,228262,113937,350838,288416,187444,89885,354651,258562,160645,61137,547073,453589,303923,154688,538029,401479,247814,--,434697,233735,327183, 
 经营活动产生的现金流量净额(万元),13374,8111,4419,10836,-838,14799,27131,22096,14474,46249,31572,22568,16099,41764,33230,21623,2646,43852,31271,11592,17700,7261,19621,2234, 
 收回投资所收到的现金(万元),167425,311824,164100,52101,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1213,--,--, 
 取得投资收益所收到的现金(万元),272,339,163,69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),21,26,32,18,10,33,54,48,2,36,1,1,--,29,24,0,--,11,7,7,--,310,73,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,419,--, 
 收到的其他与投资活动有关的现金(万元),--,100,--,--,--,50,50,--,--,210,--,--,--,--,--,--,--,--,--,--,--,--,130,390, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
