 报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2005-12-31,2004-12-31, 
 销售商品、提供劳务收到的现金(万元),51444,25947,95341,70297,46283,21430,82358,61352,41001,21692,77400,57091,37520,17663,64959,46817,30395,14729,52750,35764,21885,12286,51651,39476,24246,10929,46190,32847,20449,9982,44206,32759,20803,10848,30127,21625,13481,5658,42624,27990,17638,7523,30529,20547,13512,37216,25432,25969, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 收到的税费返还(万元),324,324,1955,1640,919,471,2067,1595,1083,608,1578,1500,973,586,1209,1108,392,104,950,762,386,120,1699,1629,1184,557,1688,1197,586,389,414,142,113,73,274,214,--,--,123,14,14,14,284,221,73,289,173,458, 
 收到的其他与经营活动有关的现金(万元),749,498,1328,750,590,91,604,551,429,172,1258,694,580,93,599,431,252,142,548,459,255,135,693,445,337,103,1295,752,458,369,1152,655,404,92,1287,761,204,161,647,873,493,317,1118,963,556,1891,1736,375, 
 经营活动现金流入小计(万元),52517,26769,98624,72687,47792,21991,85029,63499,42513,22472,80235,59285,39073,18342,66767,48356,31039,14975,54248,36984,22525,12541,54042,41550,25767,11589,49173,34796,21493,10740,45772,33556,21321,11012,31688,22599,13685,5819,43394,28876,18145,7854,31930,21731,14141,39395,27340,26802, 
 购买商品、接受劳务支付的现金(万元),35858,18566,62272,44166,28780,13753,58979,44309,29243,14928,54846,39721,24659,11524,42428,30365,20093,10749,33194,24149,14712,8314,34291,26410,16409,6577,30170,21845,14290,6993,29422,21551,13065,6038,22230,14568,8592,4105,29401,18050,11232,5084,17273,13334,7796,20570,15634,17896, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),10880,5709,19991,14756,9878,4796,17680,12702,8606,4827,16844,12642,8475,4567,16041,11992,7923,4176,14018,10273,6530,3391,12463,9508,6332,3034,10732,7864,5146,2510,9097,6654,4299,2168,6355,4319,2626,1150,7317,5717,3657,1843,5766,3804,2420,5742,3342,2803, 
 支付的各项税费(万元),528,184,866,682,513,166,665,528,352,161,994,568,370,127,557,377,267,132,683,458,324,92,591,486,397,241,949,516,408,77,1040,681,214,96,858,763,583,146,1085,801,576,178,1086,922,758,966,536,283, 
 支付的其他与经营活动有关的现金(万元),1231,996,2427,1747,1163,979,2238,1865,1144,329,2585,1956,1337,701,2204,1506,956,399,2206,1705,1273,762,2672,1440,852,931,2203,1517,920,582,2293,1627,1015,468,2110,1607,980,399,1518,1487,968,444,1331,1224,784,2161,1444,788, 
 经营活动现金流出小计(万元),48498,25456,85556,61351,40334,19694,79561,59404,39346,20245,75270,54887,34841,16920,61230,44240,29239,15456,50100,36584,22839,12559,50018,37844,23991,10782,44054,31742,20763,10162,41852,30513,18592,8770,31554,21257,12782,5800,39321,26056,16434,7549,25456,19284,11758,29439,20956,21770, 
 经营活动产生的现金流量净额(万元),4020,1313,13068,11336,7458,2297,5468,4094,3167,2227,4966,4398,4232,1422,5537,4116,1800,-481,4148,400,-314,-18,4024,3706,1777,808,5118,3054,730,578,3920,3043,2728,2243,134,1342,904,19,4073,2820,1711,305,6474,2448,2383,9956,6384,5032, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,11,11,11,9,124,124,124,--,32,32,18,--,6,--,--,--,10,5,5,--,23,23,19,--,13,11,11,9,47,47,47,14,1,0,0,18,23,31, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,1,1,0,0,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,20,20,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 投资活动现金流入小计(万元),0,0,0,0,0,0,0,0,0,0,11,11,11,9,124,124,124,0,32,32,18,0,6,0,0,0,10,25,25,20,23,23,19,--,13,11,11,9,47,47,47,14,1,1,1,18,23,31, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2662,366,6003,5767,3485,2044,6260,6113,5486,4578,6056,4335,3975,1482,2198,1610,1088,611,3456,2798,2526,1590,7427,5987,5031,2585,8963,6363,4973,1569,5835,3877,2038,667,3534,2473,1323,486,7354,5532,4145,1164,3520,525,222,3125,3673,7681, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,9,7,7,7,--,--,--,0,--,--,--,--,--,0,0,--,--,0,--,--,0,0,--,--,--,--,0,--,0,300,0,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 投资活动现金流出小计(万元),2662,366,6003,5767,3485,2044,6260,6113,5486,4578,6056,4335,3975,1482,2207,1617,1095,619,3456,2798,2526,1590,7427,5987,5031,2585,8963,6363,4973,1569,5851,3877,2038,667,3534,2473,1323,486,7354,5532,4145,1164,3520,825,222,3125,3673,7681, 
 投资活动产生的现金流量净额(万元),-2662,-366,-6003,-5767,-3485,-2044,-6260,-6113,-5486,-4578,-6044,-4323,-3964,-1473,-2083,-1493,-971,-619,-3424,-2766,-2509,-1590,-7421,-5987,-5031,-2585,-8954,-6338,-4949,-1549,-5828,-3854,-2019,-667,-3521,-2463,-1313,-478,-7307,-5485,-4098,-1150,-3519,-825,-222,-3107,-3650,-7650, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,5000,5000,5000,5000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,450,450,450,--,--,--,0,--,24000,0,0,607,1353,165, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,5000,5000,--,5000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,450,450,--,--,--,0,--,0,0,0,0,0,0, 
 取得借款收到的现金(万元),5000,3000,5000,5000,5000,5000,7000,4000,--,--,5000,5000,3000,--,12000,5000,3000,--,7000,5000,3000,--,12000,5000,3000,--,10000,10000,8000,3000,9000,3000,--,--,6500,3500,1500,--,10000,3500,1500,--,11680,6280,5480,11101,8780,5130, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 收到其他与筹资活动有关的现金(万元),--,--,676,--,--,--,25,--,--,--,26,26,25,12,47,38,25,13,79,66,52,21,73,63,57,32,152,115,74,38,197,152,67,51,207,156,104,50,405,--,0,--,0,400,0,0,0,1000, 
 筹资活动现金流入小计(万元),5000,3000,5676,5000,5000,5000,7025,4000,0,0,10026,10026,8025,5012,12047,5038,3025,13,7079,5066,3052,21,12073,5063,3057,32,10152,10115,8074,3038,9197,3152,67,51,7157,4106,2054,50,10405,3500,1500,--,35680,6680,5480,11708,10134,6295, 
 偿还债务支付的现金(万元),--,--,7000,4000,--,--,10000,5000,3000,--,7000,7000,3000,--,12000,5000,3000,--,7000,5000,3000,--,12000,7000,5000,--,7000,6000,4000,--,10000,2000,--,--,6500,3500,1500,--,11680,6680,5480,3180,12810,7360,6160,13571,9480,1530, 
 分配股利、利润或偿付利息所支付的现金(万元),596,33,747,692,602,91,685,596,534,91,850,753,639,154,942,787,634,158,984,825,664,158,663,455,348,180,1127,847,703,87,466,331,223,110,1300,1145,634,133,1588,1332,1226,141,669,493,261,3551,672,344, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 支付其他与筹资活动有关的现金(万元),138,79,247,163,109,54,247,183,129,--,271,54,54,54,239,239,109,--,217,109,54,0,169,0,0,0,60,17,17,17,--,0,--,--,0,0,0,--,131,166,166,166,322,5,0,0,0,0, 
 筹资活动现金流出小计(万元),735,112,7994,4854,710,145,10932,5778,3662,91,8121,7808,3693,208,13181,6025,3743,158,8201,5933,3719,158,12832,7455,5348,180,8187,6864,4720,104,10466,2331,223,110,7800,4645,2134,133,13399,8178,6872,3487,13800,7858,6421,17122,10152,1874, 
 筹资活动产生的现金流量净额(万元),4265,2888,-2318,146,4290,4855,-3907,-1778,-3662,-91,1905,2218,4332,4804,-1134,-988,-717,-145,-1122,-867,-667,-136,-759,-2392,-2292,-148,1965,3251,3354,2934,-1269,821,-156,-60,-642,-538,-80,-83,-2994,-4678,-5372,-3487,21880,-1178,-941,-5414,-19,4421, 
 汇率变动对现金及现金等价物的影响(万元),29,-525,-1028,-762,-343,-22,673,166,123,6,512,449,198,143,40,129,126,41,-287,-184,-122,-62,-65,4,6,-8,-129,-105,-79,-61,-58,-30,-9,-20,-50,1,-19,-19,-13,--,-73,--,-45,0,-41,99,-140,-70, 
 现金及现金等价物净增加额(万元),5652,3309,3718,4953,7920,5086,-4026,-3631,-5858,-2436,1338,2742,4799,4896,2360,1764,237,-1203,-685,-3416,-3612,-1806,-4220,-4670,-5540,-1933,-1999,-138,-943,1901,-3236,-20,544,1495,-4078,-1659,-508,-561,-6241,-7342,-7831,-4333,24789,445,1179,1534,2576,1732, 
 加:期初现金及现金等价物余额(万元),15038,15038,11320,11320,11320,11320,15346,15346,15346,15346,14008,14008,14008,14008,11648,11648,11648,11648,12333,12333,12333,12333,16553,16553,16553,16553,18552,18552,18552,18552,21788,21788,21788,21788,25866,25866,25866,25866,32107,32107,32107,32107,7318,7318,7318,5784,3208,1476, 
 期末现金及现金等价物余额(万元),20690,18347,15038,16273,19240,16406,11320,11715,9488,12910,15346,16750,18806,18903,14008,13412,11884,10444,11648,8916,8721,10526,12333,11883,11013,14620,16553,18414,17609,20454,18552,21768,22332,23283,21788,24208,25358,25306,25866,24765,24276,27775,32107,7763,8497,7318,5784,3208, 
 净利润(万元),2292,--,2251,--,817,--,1471,--,403,--,1504,--,529,--,1314,--,278,--,964,--,-559,--,998,--,813,--,499,--,-209,--,1494,--,928,--,207,--,-978,0,2882,0,1310,--,3166,2500,1335,3412,2570,2555, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
 资产减值准备(万元),3,--,622,--,195,--,963,--,38,--,723,--,96,--,739,--,43,--,367,--,45,--,421,--,97,--,166,--,108,--,76,--,59,--,158,--,95,--,318,--,169,--,10,148,148,249,-51,-152, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),2410,--,4310,--,2070,--,4239,--,2134,--,4266,--,2121,--,4762,--,2445,--,5088,--,2587,--,4709,--,2238,--,4251,--,1986,--,3705,--,1820,--,3648,--,1745,0,3315,0,1551,--,3045,2223,1461,2893,2342,1592, 
 无形资产摊销(万元),50,--,101,--,50,--,101,--,50,--,61,--,17,--,36,--,19,--,50,--,25,--,51,--,25,--,51,--,25,--,40,--,17,--,34,--,17,--,33,--,17,--,12,0,0,0,0,0, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25,--,25,--,100,--,50,--,75,--,--,--,131,--,53,--,146,121,94,171,133,42, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0, 
