 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),542135,371928,653442,465556,276315,442971,178703,312957,208891,151929,112527, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,14,--,34,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),6743,4377,10040,8080,6027,7935,4679,5958,4297,3813,2118, 
 经营活动现金流入小计(万元),548879,376305,663495,473636,282375,450906,183381,318915,213189,155742,114645, 
 购买商品、接受劳务支付的现金(万元),511855,319759,608536,417284,278686,415615,153484,260494,172118,130426,107137, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),34943,23257,39030,29041,19362,30808,15094,24792,18667,12046,7756, 
 支付的各项税费(万元),9687,7034,8680,6794,5564,6552,3950,6659,6573,5096,5583, 
 支付的其他与经营活动有关的现金(万元),19298,10489,24777,19033,11409,21712,12282,16712,14643,9073,4882, 
 经营活动现金流出小计(万元),575783,360540,681023,472152,315022,474686,184810,308658,212001,156640,125358, 
 经营活动产生的现金流量净额(万元),-26904,15766,-17528,1484,-32646,-23781,-1429,10257,1187,-898,-10713, 
 收回投资所收到的现金(万元),--,--,500,--,--,3172,1000,5149,--,--,200, 
 取得投资收益所收到的现金(万元),50,--,--,--,--,--,2172,--,--,357,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),23,13,1,1,0,0,--,3,0,1,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,293,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,970,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),73,13,501,1,0,3465,3172,5152,0,1328,200, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),623,316,2316,1414,1167,1307,413,2732,1349,891,298, 
 投资所支付的现金(万元),2928,2353,6316,4842,4662,2300,400,2158,6273,818,5740, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
