 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),96749,67219,124538,89105,128654,61518,114863,106200,107537, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),17,17,391,321,135,117,607,664,465, 
 收到的其他与经营活动有关的现金(万元),5984,4715,6563,5933,5042,3373,3514,2014,5234, 
 经营活动现金流入小计(万元),102750,71951,131492,95359,133831,65007,118984,108878,113236, 
 购买商品、接受劳务支付的现金(万元),49388,35470,75989,50301,76008,36126,72846,71615,71380, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),19124,13901,28595,18398,28814,13687,22585,21807,18900, 
 支付的各项税费(万元),6361,4810,8604,7252,8779,4189,7217,6372,5929, 
 支付的其他与经营活动有关的现金(万元),8745,5637,5350,2798,5021,1356,4238,4553,5278, 
 经营活动现金流出小计(万元),83617,59819,118538,78749,118621,55358,106886,104347,101487, 
 经营活动产生的现金流量净额(万元),19133,12132,12954,16611,15210,9649,12098,4530,11749, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,154, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,36,329,7,41,41,12,43,15, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
