 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),163845,87944,171883,126158,141093,59203,124037,121016,117462,104844, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,136,136,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),2790,1765,2008,4121,2289,1135,1522,4343,1260,1655, 
 经营活动现金流入小计(万元),166635,89708,173891,130279,143518,60473,125559,125359,118722,106500, 
 购买商品、接受劳务支付的现金(万元),28162,22661,42759,36793,36234,19120,39791,31553,37825,43613, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),15183,9944,19439,13925,20939,9876,17670,17059,15497,9876, 
 支付的各项税费(万元),25366,17340,29856,22149,22331,11457,20355,18627,18151,16662, 
 支付的其他与经营活动有关的现金(万元),70484,25513,52640,38918,37389,13132,44990,49993,43940,28721, 
 经营活动现金流出小计(万元),139196,75458,144694,111785,116893,53585,122805,117233,115413,98872, 
 经营活动产生的现金流量净额(万元),27439,14250,29197,18493,26624,6889,2754,8126,3309,7628, 
 收回投资所收到的现金(万元),--,--,--,--,1020,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,68,68,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),31,29,45,--,238,275,45,40,162,106, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),3100,3100,1704,1699,1122,652,2320,6637,926,400, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),3130,3128,1816,1767,2380,927,2365,6677,1088,506, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1981,1716,4245,2567,1909,797,4868,22488,2885,13058, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,4325,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),53347,22300,6000,23000,6066,--,--,300,280,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
