 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),68466,44647,23293,87625,60837,38777,17862,72922,70421,60493, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1908,1083,624,3169,2322,1845,692,3869,3735,3519, 
 收到的其他与经营活动有关的现金(万元),738,409,206,871,565,249,254,317,223,372, 
 经营活动现金流入小计(万元),71111,46139,24124,91665,63725,40871,18808,77108,74379,64384, 
 购买商品、接受劳务支付的现金(万元),52627,32311,20561,62765,45814,30251,15729,55948,55323,44441, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),12097,8023,4502,16140,11312,7832,3890,13501,12518,11881, 
 支付的各项税费(万元),1399,881,146,1958,1632,725,430,921,499,612, 
 支付的其他与经营活动有关的现金(万元),5279,3588,1222,5582,4508,2495,1252,4697,3495,5748, 
 经营活动现金流出小计(万元),71402,44803,26431,86445,63266,41302,21300,75067,71836,62682, 
 经营活动产生的现金流量净额(万元),-291,1336,-2307,5220,459,-430,-2493,2041,2543,1702, 
 收回投资所收到的现金(万元),6000,6000,2600,24640,29636,12790,7100,36360,13110,--, 
 取得投资收益所收到的现金(万元),5,5,2,94,80,77,56,193,29,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,7,4,1,3,2,--,78,17, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),6005,6005,2609,24738,29718,12870,7157,36553,13217,17, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),11035,10091,3421,5081,2053,1630,846,897,704,1220, 
 投资所支付的现金(万元),15000,6000,4600,20339,16399,8839,5489,36700,14210,3000, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,1,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),26035,16091,8021,25420,18453,10469,6335,37597,14914,4220, 
 投资活动产生的现金流量净额(万元),-20030,-10085,-5413,-682,11265,2401,823,-1044,-1697,-4203, 
 吸收投资收到的现金(万元),25666,25666,--,--,200,--,--,37,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),7622,7622,3050,4221,2009,2026,1026,31327,2103,1584, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),1048,1048,--,10946,--,10946,--,2239,150,650, 
 筹资活动现金流入小计(万元),34336,34336,3050,15167,2209,12972,1026,33603,2253,2234, 
 偿还债务支付的现金(万元),151,102,58,15317,11148,14260,2960,18773,1967,1117, 
 分配股利、利润或偿付利息所支付的现金(万元),199,63,14,924,679,282,54,760,28,608, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),1372,26,--,625,0,--,--,10946,1639,--, 
 筹资活动现金流出小计(万元),1722,190,71,16866,11827,14541,3014,30479,3634,1726, 
 筹资活动产生的现金流量净额(万元),32614,34145,2979,-1700,-9618,-1570,-1989,3124,-1381,509, 
 汇率变动对现金及现金等价物的影响(万元),-306,-167,-45,869,-2941,280,-18,1285,116,-227, 
 现金及现金等价物净增加额(万元),11988,25230,-4787,3708,-835,680,-3677,5405,-419,-2219, 
 加:期初现金及现金等价物余额(万元),12715,12715,12091,8383,8383,8383,8383,2978,3397,5617, 
 期末现金及现金等价物余额(万元),24703,37945,7304,12091,7548,9063,4706,8383,2978,3397, 
 净利润(万元),--,3492,1519,6003,--,2457,876,4649,2321,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,163,-39,358,--,57,-25,196,151,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,305,152,587,--,292,156,589,628,--, 
 无形资产摊销(万元),--,49,6,24,--,49,6,107,96,--, 
 长期待摊费用摊销(万元),--,143,78,278,--,120,59,245,234,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,4,0,39,--,5,1,11,-3,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,-38,-161,--,--,-44,-159,-219,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,36,52,-718,--,-171,85,-952,-87,--, 
 投资损失(万元),--,-5,-2,-94,--,-77,-56,-193,-29,--, 
 递延所得税资产减少(万元),--,-15,20,-51,--,-8,7,-28,-15,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,342,-1329,-2092,--,-934,-1985,-36,-602,--, 
 经营性应收项目的减少(万元),--,-4413,2024,-3779,--,-609,703,-4933,-942,--, 
 经营性应付项目的增加(万元),--,1258,-4779,4720,--,-1581,-2303,2437,903,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,-22,--,--,--,-30,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,1336,-2307,5220,--,-430,-2493,2041,2543,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),24703,37945,7348,12091,7548,9063,4706,8383,2978,3397, 
 现金的期初余额(万元),12715,12715,12091,8383,8383,8383,8383,2978,3397,5617, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),11988,25230,-4743,3708,-835,680,-3677,5405,-419,-2219, 

