 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),141255,639192,422441,264646,91891,442428,304019,190116,86604,415193,252037,171500,52867,475277,270734,184629,594805,539381,271879,61802,145369,118433,76343, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到的税费返还(万元),962,7083,4882,3782,3106,4905,4179,2602,1533,11577,8426,5700,215,7131,5837,2190,37252,21957,13877,481,1041,1137,612, 
 收到的其他与经营活动有关的现金(万元),1078077,4637568,3716571,2192213,936591,4022184,3052051,1696604,797792,5024400,3768389,2096612,725845,4048828,3041910,1912554,1779241,793648,258045,74492,47644,28801,17507, 
 经营活动现金流入小计(万元),1220293,5283843,4143894,2460642,1031588,4469517,3360249,1889321,885929,5451170,4028852,2273812,778927,4531236,3318481,2099374,2411298,1354987,543801,136775,194054,148370,94462, 
 购买商品、接受劳务支付的现金(万元),131309,646619,459476,283462,132027,414407,290216,165914,91436,379880,268317,199305,54514,450215,267344,178173,632558,566775,262265,62408,142670,108925,83876, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),1873,5510,3911,2669,1545,4470,3127,2041,1162,3305,2317,1570,4103,2328,1757,1200,2136,1513,1107,353,389,243,92, 
 支付的各项税费(万元),2589,8299,5514,3145,876,9391,7211,5383,921,7365,5872,3700,1139,3759,2671,1904,6205,3175,1948,294,673,511,151, 
 支付的其他与经营活动有关的现金(万元),1161881,4586682,3740049,2195128,931573,4103103,3073890,1727940,792488,5045060,3773837,2093819,717499,4071366,3064986,1904855,1765386,789178,279882,80755,51241,37208,9116, 
 经营活动现金流出小计(万元),1297652,5247109,4208950,2484404,1066022,4531371,3374444,1901277,886007,5435610,4050344,2298394,777254,4527668,3336759,2086132,2406285,1360642,545201,143811,194973,146886,93234, 
 经营活动产生的现金流量净额(万元),-77359,36734,-65056,-23762,-34434,-61854,-14195,-11957,-77,15560,-21492,-24582,1673,3568,-18279,13242,5013,-5654,-1400,-7035,-918,1484,1227, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,57,0,0,0,0, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,10,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,-19,--,--,--,--,--,0,0,0,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 投资活动现金流入小计(万元),0,0,0,0,0,10,0,0,0,0,0,0,0,-19,0,0,0,0,57,0,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),6,105,74,61,10,324,65,36,7,125,79,67,38,28,15,7,290,46,150,286,31,6,3, 
 投资所支付的现金(万元),--,12500,12500,--,--,--,--,--,--,--,--,--,--,38,38,--,--,--,--,0,0,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 投资活动现金流出小计(万元),6,12605,12574,61,10,324,65,36,7,125,79,67,38,66,53,7,290,46,150,320,31,6,3, 
 投资活动产生的现金流量净额(万元),-6,-12605,-12574,-61,-10,-314,-65,-36,-7,-125,-79,-67,-38,-85,-53,-7,-290,-46,-92,-320,-31,-6,-3, 
 吸收投资收到的现金(万元),--,--,--,--,--,309,204,204,--,52597,45996,45996,--,--,--,--,--,--,4955,1,300,3000,750, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 取得借款收到的现金(万元),451191,1316852,828674,409927,186892,1285442,1203695,521841,604113,2670965,2024180,1247609,391281,1767694,1559424,827036,910065,494242,196860,87334,107247,59986,34263, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到其他与筹资活动有关的现金(万元),5052,38729,32001,15337,13773,123156,88229,66198,20107,90100,83642,64711,31950,50246,32503,5434,19913,9229,3914,1216,2551,681,0, 
 筹资活动现金流入小计(万元),456243,1355581,860675,425264,200664,1408908,1292129,588244,624220,2813662,2153818,1358316,423231,1817939,1591927,832469,929979,503472,205729,88551,110098,63667,35013, 
 偿还债务支付的现金(万元),464702,1212262,711440,345371,149564,1311214,1232863,552620,642674,2718005,2063101,1236583,423262,1806660,1548843,824368,845416,492954,187339,80901,106073,60759,35269, 
 分配股利、利润或偿付利息所支付的现金(万元),2052,18014,15853,8438,8790,55689,41530,28863,5929,69610,53836,35829,11874,43933,40570,25633,31869,5483,6502,1472,680,1665,1, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付其他与筹资活动有关的现金(万元),1568,5484,3329,2764,2030,10891,6905,4692,1945,9824,5616,3110,1618,6819,13701,12274,5283,2495,5506,463,1227,291,17, 
 筹资活动现金流出小计(万元),468322,1235760,730621,356573,160384,1377795,1281299,586175,650548,2797439,2122553,1275522,436753,1857412,1603114,862275,882568,500931,199347,82836,107980,62715,35288, 
 筹资活动产生的现金流量净额(万元),-12079,119821,130054,68691,40280,31113,10830,2070,-26329,16222,31265,82794,-13522,-39473,-11187,-29806,47411,2541,6382,5715,2118,952,-275, 
 汇率变动对现金及现金等价物的影响(万元),-4386,-46,-113,64,350,599,548,371,169,67,221,-12,-7,-99,5,--,-33,-28,-21,-6,1,-12,-4, 
 现金及现金等价物净增加额(万元),-93830,143905,52311,44932,6187,-30456,-2883,-9551,-26245,31724,9915,58133,-11893,-36089,-29513,-16571,52101,-3188,4869,-1656,1167,2407,936, 
 加:期初现金及现金等价物余额(万元),167463,23559,23559,23559,23559,54015,54015,54015,54015,22290,22290,22290,22290,58379,58379,58379,6278,9466,4597,4836,3668,1261,324, 
 期末现金及现金等价物余额(万元),73634,167463,75870,68491,29746,23559,51132,44464,27770,54015,32206,80423,10397,22290,28866,41808,58379,6278,9466,3180,4836,3668,1261, 
 净利润(万元),--,6825,--,9401,--,19091,--,11371,--,17094,--,7932,--,10797,--,4060,5047,4646,--,0,0,0,0, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 资产减值准备(万元),--,14400,--,237,--,596,--,33,--,496,--,29,--,317,--,361,2725,826,--,0,0,0,0, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,171,--,82,--,53,--,55,--,77,--,89,--,95,--,43,77,46,--,0,0,0,0, 
 无形资产摊销(万元),--,16,--,7,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,17,--,4,2,38,--,0,0,0,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--,--,-7,--,--,--,-0,--,-0,--,--,--,--,12,--,--,0,0,0,0, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 公允价值变动损失(万元),--,-8388,--,-5631,--,-6669,--,1024,--,6723,--,5522,--,-1443,--,-1153,-838,-89,--,0,0,0,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 财务费用(万元),--,19926,--,1088,--,22741,--,29248,--,-4652,--,30964,--,70382,--,23424,13839,1624,--,0,0,0,0, 
 投资损失(万元),--,-8658,--,-1185,--,-26406,--,-38141,--,-42320,--,-20859,--,-48608,--,-20446,-14707,-1644,--,0,0,0,0, 
 递延所得税资产减少(万元),--,-1343,--,-6,--,1672,--,-161,--,-1096,--,-732,--,-35,--,-49,-434,-80,--,0,0,0,0, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,217,--,-217,--,41,--,173,175,--,--,0,0,0,0, 
 存货的减少(万元),--,-2098,--,-16788,--,-2885,--,-5964,--,-292,--,477,--,-2518,--,655,136,2686,--,0,0,0,0, 
 经营性应收项目的减少(万元),--,-2173,--,-4224,--,-20193,--,-8748,--,-4285,--,13015,--,-31426,--,-8819,-33391,-23955,--,0,0,0,0, 
 经营性应付项目的增加(万元),--,69793,--,20336,--,-18386,--,-33150,--,8956,--,-16715,--,21164,--,14987,32369,23060,--,0,0,0,0, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 其他(万元),--,-51738,--,-27079,--,-31461,--,32476,--,34643,--,-44088,--,-15213,--,--,--,-12813,--,0,0,0,0, 
 经营活动产生现金流量净额(万元),--,36734,--,-23762,--,-61854,--,-11957,--,15560,--,-24582,--,3568,--,13242,5013,-5654,--,0,0,0,0, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
