 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),1623658,5548713,3572958,2271969,906028,3823686,2725175,1724748,645807,2633010,1791600,1072342,491838,2358479,1929701,1636911, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,135,62, 
 收到的其他与经营活动有关的现金(万元),259572,488009,133716,99643,187289,60466,266275,140316,182679,22151,361006,285287,44141,480236,104419,13049, 
 经营活动现金流入小计(万元),1883230,6036722,3706674,2371612,1093317,3884152,2991450,1865064,828486,2655161,2152606,1357629,535979,2838715,2034254,1650022, 
 购买商品、接受劳务支付的现金(万元),1493780,5943721,3322352,2633912,1417538,2156768,1858551,999397,469926,2266594,1554241,883980,572627,1577947,1700322,1042620, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),167429,198534,161590,115639,72721,132574,94205,64116,41489,94236,73103,51145,33588,77660,52822,42999, 
 支付的各项税费(万元),225640,454174,378751,290410,96663,277615,259557,199543,87650,296865,228629,177214,79461,261487,218736,191586, 
 支付的其他与经营活动有关的现金(万元),296242,488809,234880,77782,30944,507474,517111,498661,294351,93181,237610,249912,148322,572121,181574,151075, 
 经营活动现金流出小计(万元),2183092,7085238,4097574,3117743,1617866,3074432,2729424,1761716,893415,2750876,2093583,1362252,833998,2489215,2153455,1428280, 
 经营活动产生的现金流量净额(万元),-299861,-1048516,-390900,-746131,-524549,809720,262027,103348,-64929,-95716,59023,-4623,-298019,349500,-119201,221742, 
 收回投资所收到的现金(万元),--,158,--,--,--,412,412,185,380,1374,1374,409,409,356,17500,--, 
 取得投资收益所收到的现金(万元),261,1816,1750,1150,821,931,931,931,631,626,626,600,--,655,661,504, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),41,2403,4878,436,340,236,92,54,4,72,49,7,25,305,1558,89, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,206645,35172,34982,--,--,--,--,--,4384,8984,--, 
 收到的其他与投资活动有关的现金(万元),--,5625881,2389258,2314350,--,4499555,963137,688406,--,1167604,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),302,5630259,2395885,2315937,1160,4707779,999745,724558,1016,1169676,2048,1016,434,5701,28703,593, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),84381,478741,498050,441849,88902,295137,173495,166775,28513,320214,208847,152121,16419,223655,20370,57429, 
 投资所支付的现金(万元),39529,700851,568091,459277,138260,302865,220636,169393,104250,122063,96183,23723,9563,87625,5000,2519, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,19684,--,--,--,--,13609,7554,8715,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),657821,4426238,2031906,1568755,--,4980508,513029,516754,--,793583,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),781731,5605830,3098046,2469881,246847,5578510,907160,852922,132763,1249469,321298,184558,34696,311280,25370,59948, 
 投资活动产生的现金流量净额(万元),-781429,24429,-702161,-153945,-245686,-870731,92584,-128364,-131748,-79793,-319249,-183543,-34262,-305579,3334,-59355, 
