 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),21592,14739,32030,22908,32124,16600,37813,34253,34699, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),377,331,539,142,2489,460,356,742,576, 
 经营活动现金流入小计(万元),21969,15070,32569,23050,34613,17060,38169,34995,35274, 
 购买商品、接受劳务支付的现金(万元),9083,6167,13365,9670,12675,5813,20772,14617,12705, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2961,2110,3640,2773,3226,1858,3211,2611,2382, 
 支付的各项税费(万元),2867,2601,4259,3208,4757,2782,2317,4726,7260, 
 支付的其他与经营活动有关的现金(万元),3028,1734,2437,1802,2468,1083,2283,2381,2853, 
 经营活动现金流出小计(万元),17939,12612,23701,17453,23126,11536,28583,24336,25200, 
 经营活动产生的现金流量净额(万元),4030,2458,8868,5598,11486,5524,9585,10659,10075, 
 收回投资所收到的现金(万元),3300,3300,10700,6700,15000,4000,7000,7600,1800, 
 取得投资收益所收到的现金(万元),30,30,278,265,368,234,99,74,6, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,1,--,--,--,--,18,0,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),3331,3331,10978,6965,15368,4234,7117,7675,1806, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3638,3517,322,250,604,159,2105,3823,7746, 
 投资所支付的现金(万元),2000,2000,7000,3000,13000,7000,13000,6700,3700, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
