 报告日期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),17503,27692,11817,15158,6112,6640,3159, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),162,603,89,28,93,1,391, 
 经营活动现金流入小计(万元),17665,28295,11906,15186,6205,6640,3550, 
 购买商品、接受劳务支付的现金(万元),11087,20741,6834,11304,3742,5731,2791, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1400,1687,690,828,294,340,148, 
 支付的各项税费(万元),372,728,395,448,303,136,100, 
 支付的其他与经营活动有关的现金(万元),1117,1954,707,1194,368,451,346, 
 经营活动现金流出小计(万元),13976,25110,8626,13774,4707,6658,3386, 
 经营活动产生的现金流量净额(万元),3689,3185,3281,1413,1498,-17,164, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,0,0,0,1, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2461,9187,4275,4731,1666,1137,181, 
 投资所支付的现金(万元),--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),2461,9187,4275,4731,1666,1137,181, 
 投资活动产生的现金流量净额(万元),-2461,-9187,-4275,-4731,-1666,-1137,-181, 
 吸收投资收到的现金(万元),--,6881,6881,5325,--,900,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),1971,117,117,1199,719,400,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),1971,6998,6998,6524,719,1300,0, 
 偿还债务支付的现金(万元),117,--,--,1599,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),2,641,1,85,37,0,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),262,280,280,4,10,--,--, 
 筹资活动现金流出小计(万元),380,920,281,1688,47,0,0, 
 筹资活动产生的现金流量净额(万元),1591,6078,6717,4836,672,1300,0, 
 汇率变动对现金及现金等价物的影响(万元),-40,37,3,--,--,--,--, 
 现金及现金等价物净增加额(万元),2779,112,5725,1517,504,146,-17, 
 加:期初现金及现金等价物余额(万元),1797,1685,1685,167,167,21,38, 
