 报告日期,2017-06-30,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),57096,94092,9375,82532,72996,59177, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),488,1004,40,643,248,146, 
 经营活动现金流入小计(万元),57584,95096,9415,83176,73244,59324, 
 购买商品、接受劳务支付的现金(万元),28917,52232,10083,43542,39236,37925, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5537,9177,2633,7918,5675,4297, 
 支付的各项税费(万元),4330,9852,1904,7834,5877,5146, 
 支付的其他与经营活动有关的现金(万元),7449,9642,2429,7459,6827,4417, 
 经营活动现金流出小计(万元),46233,80904,17048,66754,57616,51786, 
 经营活动产生的现金流量净额(万元),11350,14192,-7633,16422,15629,7537, 
 收回投资所收到的现金(万元),--,--,--,415,640,--, 
 取得投资收益所收到的现金(万元),869,1076,93,1067,684,407, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),43,198,--,49,4,5, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),200,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1112,1274,93,1531,1329,412, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),712,7780,79,3126,264,561, 
 投资所支付的现金(万元),824,--,--,1100,400,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,200,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),1536,7980,79,4226,664,561, 
 投资活动产生的现金流量净额(万元),-424,-6706,14,-2696,665,-148, 
 吸收投资收到的现金(万元),--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,919,--,--, 
 筹资活动现金流入小计(万元),0,0,0,919,0,0, 
 偿还债务支付的现金(万元),--,--,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),66,1261,919,--,--,--, 
 筹资活动现金流出小计(万元),66,1261,919,0,0,0, 
 筹资活动产生的现金流量净额(万元),-66,-1261,-919,919,0,0, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),10860,6225,-8539,14646,16293,7389, 
 加:期初现金及现金等价物余额(万元),56923,50698,50698,36052,19759,12369, 
 期末现金及现金等价物余额(万元),67783,56923,42159,50698,36052,19759, 
 净利润(万元),7134,15198,1510,13336,11179,8420, 
 少数股东损益(万元),--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--, 
 资产减值准备(万元),244,187,-6,7,10,132, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),270,484,123,451,421,400, 
 无形资产摊销(万元),94,112,14,23,21,16, 
 长期待摊费用摊销(万元),222,154,29,185,188,187, 
