 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,19964,--,307047,264906,--,--,--,--,--,--,--,--,--,--,--,--,27253,--,--,1, 
 收取利息、手续费及佣金的现金(万元),86765,420462,282613,173664,82276,390757,273624,195337,97227,608746,454408,292128,101303,246608,145355,88898,45979,157543,65897,127005,138381,146408,158465,102122, 
 拆入资金净增加额(万元),384000,234000,115000,--,--,20000,--,--,--,--,-20700,113000,50000,209100,164100,--,40000,34600,155000,--,--,--,--,--, 
 回购业务资金净增加额(万元),183858,409910,384203,133260,311456,--,--,--,--,241634,88999,449488,200278,614842,67504,--,--,--,39096,100873,--,98950,12587,-8000, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),69298,3982,1340,945,45602,425348,229577,277160,88066,316864,109124,65772,29835,193550,223278,161930,97,36263,13083,1481,1244,6292,5697,1433, 
 经营活动现金流入小计(万元),834191,1068354,811928,377479,473341,1175026,1216938,1160269,541089,1686975,1326247,2527973,911639,1833252,885419,376591,181910,228405,273076,248987,166878,304945,843359,95556, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),28625,99769,74046,53165,21631,111212,86292,73276,26033,180048,131493,77112,32892,61316,27760,16735,9323,26343,13633,27617,36014,29596,24340,15209, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),26319,141140,109471,69387,27179,139140,107366,82581,23472,108858,70473,49918,30853,56856,44138,33610,23411,44739,26246,40435,40266,37215,24060,19965, 
 支付的各项税费(万元),5489,49422,36965,27347,9172,68644,60815,41993,13874,104186,85335,57930,17501,43747,33302,23018,6864,29588,16766,16200,12895,18747,19225,44794, 
 支付的其他与经营活动有关的现金(万元),49605,240788,346144,147700,37391,56745,41810,28028,17245,41055,52518,66674,10808,105103,90541,60631,42875,31291,138153,47385,38257,33141,23699,22631, 
 经营活动现金流出小计(万元),275917,1416423,1046895,600289,315470,2041391,1550035,936859,799386,1556471,1264426,2044126,823910,905095,471844,411961,193631,493426,448038,233377,863915,427782,210874,403792, 
 经营活动产生的现金流量净额(万元),558274,-348068,-234967,-222809,157871,-866365,-333097,223410,-258297,130504,61821,483848,87728,928157,413575,-35369,-11721,-265021,-174962,15609,-697037,-122837,632485,-308235, 
 收回投资所收到的现金(万元),--,47040,--,313157,--,124453,57125,--,--,--,--,--,--,--,--,45284,--,--,--,--,26749,--,--,--, 
 取得投资收益所收到的现金(万元),23477,121944,60511,41395,27740,143289,100076,61031,18320,142932,123110,108346,55733,107054,72462,52739,23013,96392,--,47772,14104,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,--,--,83,42,50, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,200,--,4000,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,78,1,0,1,7,4,1,1,196,184,4,0,24,17,4,1,18,--,46,65,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),23477,169062,60512,354552,27740,267750,157204,61032,18321,143128,123294,108349,55733,107079,72479,98026,23015,96610,8,51818,40918,83,42,50, 
