 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),110391,72777,42572,159443,107459,73042,34108,126236,120687,112538,110023, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2,2,--,--,89,--,0,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),642,8,336,2430,342,563,540,1381,2969,3575,4122, 
 经营活动现金流入小计(万元),111036,72787,42908,161873,107890,73605,34648,127617,123656,116113,114145, 
 购买商品、接受劳务支付的现金(万元),79049,49989,20822,99010,66851,53595,21063,74931,81950,76808,77194, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),16376,12038,6828,18530,14011,9732,5409,17888,15912,13435,12983, 
 支付的各项税费(万元),7182,4604,3446,10359,5970,4174,2813,11518,7984,9883,7180, 
 支付的其他与经营活动有关的现金(万元),9645,6472,7805,11396,10027,4436,6923,10485,11672,9776,9981, 
 经营活动现金流出小计(万元),112252,73103,38901,139296,96859,71937,36209,114822,117518,109902,107338, 
 经营活动产生的现金流量净额(万元),-1217,-316,4007,22577,11031,1668,-1561,12795,6138,6211,6807, 
 收回投资所收到的现金(万元),7000,5200,--,2000,2000,1500,--,--,--,--,32, 
 取得投资收益所收到的现金(万元),50,34,--,30,20,20,--,15,15,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),26,11,--,28,27,--,2,13,227,1392,1049, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),285,151,70,247,329,256,29,387,215,15731,40511, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),7360,5397,70,2305,2375,1776,31,415,456,17123,41592, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),844,344,317,2895,1795,1276,240,4587,7427,2766,15427, 
 投资所支付的现金(万元),38900,5200,--,2600,2600,2600,--,--,--,--,2009, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,6074, 
 支付的其他与投资活动有关的现金(万元),--,--,--,0,--,--,--,--,0,33,10545, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),39744,5544,317,5496,4395,3876,240,4587,7427,2800,34055, 
 投资活动产生的现金流量净额(万元),-32385,-147,-246,-3191,-2020,-2100,-209,-4172,-6971,14323,7537, 
 吸收投资收到的现金(万元),54276,54276,--,100,--,--,--,--,--,2574,13583, 
 其中：子公司吸收少数股东投资收到的现金(万元),300,300,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),14250,8950,5000,38390,27890,20390,15500,103940,51285,34700,139110, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),1900,2829,3018,5000,5000,3267,167,--,893,961,7646, 
 筹资活动现金流入小计(万元),70425,66054,8018,43490,32890,23658,15667,103940,52178,38235,160339, 
 偿还债务支付的现金(万元),13950,10450,7500,49385,32100,22600,15000,107140,42690,88320,129160, 
 分配股利、利润或偿付利息所支付的现金(万元),5412,5316,5230,7715,7244,7144,5951,3772,7789,1209,12341, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),8178,7425,--,4700,2136,667,--,2811,--,--,--, 
 筹资活动现金流出小计(万元),27540,23192,12730,61801,41481,30411,20951,113723,50479,89529,141501, 
 筹资活动产生的现金流量净额(万元),42885,42863,-4712,-18310,-8590,-6753,-5284,-9783,1699,-51295,18838, 
 汇率变动对现金及现金等价物的影响(万元),-19,-8,-1,17,1,10,-3,48,-8,14,33, 
 现金及现金等价物净增加额(万元),9265,42392,-952,1093,422,-7175,-7057,-1113,859,-30747,33215, 
 加:期初现金及现金等价物余额(万元),12469,12469,12469,11376,11376,11376,11376,12489,11630,42377,9162, 
 期末现金及现金等价物余额(万元),21734,54861,11517,12469,11798,4201,4319,11376,12489,11630,42377, 
 净利润(万元),--,10834,--,20076,--,9398,--,16034,13682,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-1446,--,1787,--,-344,--,1716,3819,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1041,--,2029,--,1015,--,1838,1509,--,--, 
 无形资产摊销(万元),--,123,--,245,--,122,--,245,245,--,--, 
 长期待摊费用摊销(万元),--,99,--,205,--,106,--,266,176,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,16,--,-8,--,-2,--,0,-135,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,-145,--,484,--,278,--,1262,858,--,--, 
 投资损失(万元),--,-2,--,-12,--,-17,--,-15,-15,--,--, 
 递延所得税资产减少(万元),--,158,--,-467,--,-118,--,-344,-562,--,--, 
 递延所得税负债增加(万元),--,-2,--,-5,--,-2,--,-5,-6,--,--, 
 存货的减少(万元),--,-3446,--,-6241,--,-3931,--,-6995,-6660,--,--, 
 经营性应收项目的减少(万元),--,-11854,--,-2551,--,-4705,--,-9877,-7090,--,--, 
 经营性应付项目的增加(万元),--,4309,--,7035,--,-132,--,8670,317,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-316,--,22577,--,1668,--,12795,6138,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,5800,--,5800,--,5800,--,--,--,--,--, 
 现金的期末余额(万元),21734,54861,11517,12469,11798,4201,4319,11376,12489,11630,42377, 
 现金的期初余额(万元),12469,12469,12469,11376,11376,11376,11376,12489,11630,42377,9162, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),9265,42392,-952,1093,422,-7175,-7057,-1113,859,-30747,33215, 

