 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),32770,20578,9398,36143,26581,17654,9174,33140,32803,34134, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2663,2103,1255,3037,2830,1894,128,4118,2056,2824, 
 收到的其他与经营活动有关的现金(万元),1239,323,169,1501,602,154,118,1468,1127,615, 
 经营活动现金流入小计(万元),36673,23004,10822,40681,30013,19701,9419,38726,35986,37573, 
 购买商品、接受劳务支付的现金(万元),31546,19596,9264,30160,22011,14694,7916,28388,27139,29733, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1383,924,470,1685,1289,869,444,1731,1754,1700, 
 支付的各项税费(万元),1055,860,677,481,834,347,685,534,1163,745, 
 支付的其他与经营活动有关的现金(万元),2960,2480,1045,3587,2993,1834,982,3894,3957,4241, 
 经营活动现金流出小计(万元),36944,23861,11456,35912,27127,17745,10026,34547,34013,36419, 
 经营活动产生的现金流量净额(万元),-272,-857,-634,4769,2886,1957,-607,4179,1972,1154, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,0,12,12,12,12,0,1,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,12,12,12,12,0,1,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),95,10,2,584,542,581,580,860,53,175, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),95,10,2,584,542,581,580,860,53,175, 
 投资活动产生的现金流量净额(万元),-95,-10,-2,-572,-530,-569,-568,-860,-52,-175, 
 吸收投资收到的现金(万元),18820,18820,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,1000,300, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,4552,--,--, 
 筹资活动现金流入小计(万元),18820,18820,0,0,0,0,0,4552,1000,300, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,1000,300,--, 
