 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),69805,195784,138898,85377,42245,116128,84946,47551,20167,64539,44276,25785,8750,27705,19583,11143,5332,30739,27568,17081,6416,26400,23897,17273,8714,31176,29747,20490,10417,51357,28783,37459,22765,10184, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 收到的税费返还(万元),67,327,259,155,90,157,167,31,22,119,86,72,34,84,64,47,25,--,--,--,--,--,--,--,--,4,--,--,--,--,0,--,--,--, 
 收到的其他与经营活动有关的现金(万元),2531,5165,3247,1876,654,4970,2376,2017,279,4866,7029,2586,633,2741,2174,1132,839,7355,6731,5845,405,2612,2266,1763,675,1737,987,773,663,779,346,935,172,457, 
 经营活动现金流入小计(万元),72403,201277,142405,87408,42988,121255,87490,49599,20468,69525,51391,28442,9417,30531,21822,12322,6197,38094,34299,22925,6821,29012,26163,19036,9389,32917,30734,21263,11080,52136,29129,38395,22937,10641, 
 购买商品、接受劳务支付的现金(万元),12682,47718,37706,30214,13742,35377,26172,12240,4736,16954,19056,11044,3858,14212,10927,7307,4370,14848,17431,9658,1841,7549,9880,7628,5067,12897,18044,12541,4876,27757,16170,21129,12881,7030, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7071,24337,18394,13386,7136,18501,13271,8036,4045,12519,8923,5430,2484,8207,6863,4735,2273,7385,5573,3707,1975,6407,4895,3201,1663,4408,3345,2130,1144,3181,1591,2053,1203,501, 
 支付的各项税费(万元),10127,28022,19857,12276,5316,13953,11012,6841,3187,8428,6103,3667,1149,3776,3161,2640,584,1910,1587,1430,604,4385,3152,1844,649,4469,3631,2854,1242,6023,2930,4851,2174,367, 
 支付的其他与经营活动有关的现金(万元),31438,55863,27062,8986,4530,16008,12802,8523,3517,15522,8618,3597,762,7462,5322,4146,2954,4989,3071,1966,969,4393,3112,1880,1048,4658,2526,1601,786,4601,2241,4086,1756,851, 
 经营活动现金流出小计(万元),61318,155940,103020,64862,30723,83839,63257,35640,15485,53422,42700,23737,8253,33657,26273,18829,10182,29133,27662,16761,5389,22735,21039,14552,8426,26432,27545,19126,8049,41562,22932,32120,18014,8749, 
 经营活动产生的现金流量净额(万元),11085,45337,39385,22546,12264,37416,24233,13959,4983,16103,8691,4705,1164,-3127,-4451,-6506,-3985,8961,6637,6165,1432,6277,5124,4483,963,6485,3189,2137,3031,10574,6196,6275,4923,1892, 
 收回投资所收到的现金(万元),40600,147800,102300,58300,21700,139180,130082,96204,53930,126234,87818,26148,--,--,--,--,--,12000,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 取得投资收益所收到的现金(万元),303,1057,703,403,156,746,708,567,324,855,529,203,--,379,379,--,--,8,8,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),11,1042,934,34,10,162,162,158,12,178,150,150,--,6,44,20,0,36,1,3,3,49,158,158,24,31,1,--,--,6,6,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--, 
