 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),99335,338934,243243,162153,99388,307539,233616,143675,92173,250253,170749,110728,50662,245126,170089,113779,56236,196149,--,206215,191013, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),217,333,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),3364,15415,7178,3638,1445,14347,4798,2556,411,8484,6198,3586,2819,6280,5019,2380,1243,18123,--,5308,2121, 
 经营活动现金流入小计(万元),102917,354683,250421,165790,100833,321886,238414,146232,92584,258737,176947,114314,53481,251406,175108,116159,57480,214272,--,211522,193134, 
 购买商品、接受劳务支付的现金(万元),47258,146856,98229,50171,28348,130146,100758,63349,30394,114194,84330,52091,24416,100404,73793,47985,19651,84535,--,111637,102041, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),17668,53130,37377,25663,14204,51464,39582,27647,13778,46329,33803,22211,12146,35988,26089,16495,8388,28373,--,31355,27067, 
 支付的各项税费(万元),5908,36401,25622,16458,6697,35048,24302,17846,9029,36830,26717,17781,7400,33533,28188,17078,6809,25481,--,25253,19171, 
 支付的其他与经营活动有关的现金(万元),4580,20577,16440,11774,8314,10427,7653,4382,2730,8517,7462,4829,2561,10925,7726,4973,3038,11387,--,7640,4748, 
 经营活动现金流出小计(万元),75413,256964,177668,104066,57563,227085,172294,113224,55931,205870,152313,96913,46524,180849,135796,86531,37886,149776,--,175885,153026, 
 经营活动产生的现金流量净额(万元),27503,97718,72753,61724,43271,94801,66120,33008,36653,52867,24634,17401,6957,70557,39312,29628,19594,64497,39935,35638,40108, 
 收回投资所收到的现金(万元),97147,747879,593456,409113,208954,572669,401752,300178,130391,568686,413549,342748,139957,237900,129182,74031,25051,5000,--,--,--, 
 取得投资收益所收到的现金(万元),261,9358,6738,5138,2450,9823,7247,4435,2115,4875,2215,1664,642,451,256,140,34,25,--,--,3, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,4,2,2,2,0,--,--,--,1,0,0,0,3,--,--,--,-1,--,0,43, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),97408,757241,600196,414252,211406,582492,408999,304613,132506,573563,415765,344413,140600,238354,129438,74171,25084,5025,--,0,47, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),17542,82004,53748,31162,13544,43631,32981,20378,5470,13949,9071,4400,1807,9112,6702,4955,1902,25443,--,23678,27614, 
 投资所支付的现金(万元),115361,759220,588471,431257,218751,586014,412015,287897,159691,696879,528898,388954,158768,306205,149257,90227,37207,5521,--,3971,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,26422,24447,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),70,941,932,784,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),132973,868587,667599,463203,232295,629645,444997,308274,165161,710828,537968,393354,160574,315317,155959,95182,39109,30964,--,27648,27614, 
 投资活动产生的现金流量净额(万元),-35565,-111346,-67403,-48951,-20889,-47153,-35998,-3661,-32655,-137265,-122203,-48941,-19974,-76963,-26521,-21011,-14025,-25939,-20928,-27648,-27568, 
 吸收投资收到的现金(万元),--,15869,--,--,--,630,630,--,--,11864,11864,--,--,130738,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,28730,31074,31399,31753,1400,--,--,--,--,--,--,--,1772,--,--,--,12000,--,24000,11000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,44599,31074,31399,31753,2030,630,0,0,11864,11864,0,0,132510,0,0,0,12000,--,24000,11000, 
 偿还债务支付的现金(万元),--,1400,--,--,--,--,--,--,--,--,--,--,--,7772,6000,6000,6000,30000,--,14380,7110, 
 分配股利、利润或偿付利息所支付的现金(万元),71,34821,34689,34467,--,30234,30226,30016,--,21440,21440,21440,--,11430,11005,11005,9819,24323,--,9501,13908, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,941,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,337,--,--,--,436,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),71,36558,34689,34467,0,30670,30226,30016,0,21440,21440,21440,0,19202,17005,17005,15819,54323,--,23881,21018, 
