 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),28146,15669,8246,30547,21360,13306,--,31359,31567,16451,29969,24392,25146, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),978,728,301,496,483,327,--,357,199,123,276,992,666, 
 收到的其他与经营活动有关的现金(万元),683,637,71,207,195,176,--,159,194,246,608,412,4294, 
 经营活动现金流入小计(万元),29807,17034,8618,31251,22038,13809,--,31875,31961,16820,30854,25795,30107, 
 购买商品、接受劳务支付的现金(万元),19320,11434,4884,19592,15643,8836,--,15882,15394,9184,17018,12652,15228, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3900,2647,1094,4158,3016,2094,--,3878,4003,2187,3498,2913,2510, 
 支付的各项税费(万元),1181,865,319,2580,1635,1056,--,2507,3076,1398,2458,2110,2412, 
 支付的其他与经营活动有关的现金(万元),1284,554,613,952,685,408,--,918,993,442,961,1104,5600, 
 经营活动现金流出小计(万元),25685,15501,6910,27282,20979,12394,--,23184,23465,13212,23936,18779,25750, 
 经营活动产生的现金流量净额(万元),4121,1534,1708,3969,1059,1415,2004,8691,8495,3609,6917,7017,4356, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5,5,--,3,--,--,--,1,112,--,20,78,136, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
