 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),9914899,7234680,4716685,2086200,9315658,6867783,4268621,2124681,9915768,8003131,5122463,2267037,10833496,8575871,5793345,2535502,10760871,8022094,4891570,2338739,9000102,6055080,3994131,2026670,8953850,6171121,3969223,1952112,8402234,6203204,4148468,2127196,6003648,4250977,2878137,1337957,3640900,2288816,1280590,573468,4390866,3642319,2417427,1054568,4357086,3179517,1169055,516197,3590665,1563578,997543,424615, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 收到的税费返还(万元),5351,6546,5449,2907,5651,3443,1929,901,6881,5909,3675,55,5545,3094,2413,1050,5754,1492,1000,432,8897,2891,1964,1282,14497,6308,4177,1401,17230,8488,4354,6204,8981,3812,1486,824,6667,5411,4858,638,768,1599,100,971,2373,--,0,--,250,--,0,--, 
 收到的其他与经营活动有关的现金(万元),71798,57478,44302,10499,72660,7457,3206,2142,9412,27922,19496,3445,83635,20077,36447,9167,51010,11857,981,310,36052,14608,41113,8633,22197,10215,8179,2636,32320,6032,5288,4343,14335,4149,3935,6395,9155,17913,17868,8414,39054,16860,13683,3949,26018,1753,1051,2626,2721,741,500,959, 
 经营活动现金流入小计(万元),9992048,7298704,4766437,2099606,9393968,6878683,4273756,2127724,9932061,8036962,5145634,2270537,10922677,8599042,5832205,2545719,10817634,8035443,4893551,2339480,9045051,6072580,4037207,2036585,8990544,6187644,3981580,1956148,8451784,6217725,4158110,2137743,6026963,4258939,2883559,1345177,3656721,2312141,1303315,582521,4430688,3660777,2431209,1059487,4385476,3181270,1170106,518823,3593635,1564319,998043,425575, 
 购买商品、接受劳务支付的现金(万元),9062116,6599131,4661749,2091941,9170730,6409177,4125384,2219984,9143618,7411088,4859547,2098903,10120989,7787711,5255002,2354400,10320167,7605002,4698975,2268935,8693126,6112834,3965089,2078149,8760486,5987814,3837111,2083379,7730379,5536606,3853308,2037304,6296385,4436622,2827112,1366169,3327244,2044767,998177,407902,3876717,3309730,2246728,1071141,4131858,3025838,1125691,497866,3077192,1317352,872520,363297, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--, 
