 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),166458,106795,184019,160771,264966,170920,98937, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),19658,13350,7084,6054,8615,5535,5860, 
 收到的其他与经营活动有关的现金(万元),3803,2480,880,1863,3763,543,1013, 
 经营活动现金流入小计(万元),189920,122625,191983,168688,277344,176997,105810, 
 购买商品、接受劳务支付的现金(万元),144783,92420,145456,133486,213477,122613,87492, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),25438,16319,30093,22104,28086,17841,10756, 
 支付的各项税费(万元),779,676,1642,1728,2480,586,357, 
 支付的其他与经营活动有关的现金(万元),10547,6216,11343,7127,4781,5544,3032, 
 经营活动现金流出小计(万元),181546,115631,188534,164446,248825,146584,101636, 
 经营活动产生的现金流量净额(万元),8374,6994,3449,4242,28519,30413,4173, 
 收回投资所收到的现金(万元),--,--,11,--,1004,1965,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),4,4,69,70,7,130,5, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),4,4,80,70,1011,2095,5, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),16895,13178,18387,12917,16009,16549,5566, 
