 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-09-30, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),-179705,-140579,--,-373765,--,-304205,7278,253970,-260690,22366,-49216,69740,-426783,-41818,--,98842,--, 
 收取利息、手续费及佣金的现金(万元),160253,107603,49034,247208,171837,119489,54550,302913,225018,150114,54460,125528,45101,89342,43336,62454,42667, 
 拆入资金净增加额(万元),55878,50000,20000,135000,134585,-10000,-20112,-47700,84536,85000,-215,58000,44900,9700,9900,--,--, 
 回购业务资金净增加额(万元),214716,237918,166283,-358764,63039,-63783,-205177,-178943,277871,337776,264731,143884,423301,-44641,--,--,152695, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),82814,68472,29489,12281,20024,32022,6171,21515,121279,3815,44514,8259,7803,5402,4840,3649,10259, 
 经营活动现金流入小计(万元),314894,338565,275324,-225532,551814,-68022,-22952,750108,1675781,2046085,441160,681594,128621,17985,58076,164945,205621, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),50997,21215,11285,45862,36522,26295,13741,95152,71646,42264,15348,32369,13307,19497,8909,21750,21933, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),74838,56333,17594,90502,77490,60399,15168,74841,63369,47969,13282,45325,26820,46479,29431,40161,31733, 
 支付的各项税费(万元),19172,14858,5367,39833,31206,22544,8225,57645,45914,30977,17205,12244,8876,9558,7271,6005,5228, 
 支付的其他与经营活动有关的现金(万元),88402,36420,19136,59779,62199,26626,10982,57004,45306,39444,11516,51054,8984,26473,36464,20473,15580, 
 经营活动现金流出小计(万元),313246,147874,274392,460260,932626,192908,88326,356744,226234,654018,295292,434003,80335,213199,214436,164826,250658, 
 经营活动产生的现金流量净额(万元),1648,190690,933,-685791,-380813,-260931,-111278,393365,1449547,1392067,145868,247591,48286,-195214,-156360,119,-45037, 
 收回投资所收到的现金(万元),12644,2120,2101,11686,11041,9766,36186,8408,7128,5450,5000,3128,--,--,--,2303,2303, 
 取得投资收益所收到的现金(万元),4163,4,12,9251,4702,1,3965,3654,3914,3654,--,4621,4621,4128,4128,3924,3924, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),-12294,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),28,7,--,11,0,3,--,11626,2,11973,519,124,14,33,7,128,3, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),4541,2131,2113,20949,15744,9771,40151,23689,11044,21077,5519,7873,4635,4160,4135,6355,6230, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5291,3591,1153,9697,6785,3915,1968,9262,6078,9165,2639,16240,10348,14824,7553,17420,10177, 
 投资所支付的现金(万元),37240,14908,18296,74813,25343,19836,39028,21593,36035,9001,5645,10714,300,800,--,11650,5100, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,11423,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,1830,--,4533,--,2,--,1500,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),42531,29922,21279,84510,36661,23751,40998,30855,43613,18166,8284,26954,10648,15624,7553,29070,15277, 
 投资活动产生的现金流量净额(万元),-37990,-27791,-19166,-63561,-20917,-13980,-847,-7166,-32568,2911,-2765,-19081,-6013,-11464,-3418,-22715,-9047, 
