 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),7116,46421,36954,22603,14039,44990,31625,19519,5704,41565,27892,18977,5097,53699,35039,19003,8749,46422,32261,19683,8268,37545,24238,17095,6990,25835,18386,15157,26039,19706,23460, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,--,9, 
 收到的其他与经营活动有关的现金(万元),263,2001,2256,1489,549,3641,2773,1625,944,2963,3180,1710,825,1530,1141,731,114,897,438,319,114,954,787,813,196,1111,425,416,886,1673,843, 
 经营活动现金流入小计(万元),7378,48422,39211,24092,14588,48630,34398,21144,6649,44528,31072,20687,5923,55229,36180,19734,8863,47319,32698,20003,8382,38499,25025,17908,7185,26946,18811,15573,26928,21379,24313, 
 购买商品、接受劳务支付的现金(万元),8006,30039,22007,15426,7193,21870,12722,9411,4363,25319,18955,11143,6229,30764,21790,14969,7404,30045,22759,14295,7030,21851,15020,10249,5500,16839,13193,9650,14906,9906,16920, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2114,6393,4767,3493,2057,6226,4892,3440,1818,5655,4541,3127,1912,5353,4161,2925,1703,4676,3512,2484,1480,3912,2950,2053,1152,3080,2262,1626,2746,2179,1882, 
 支付的各项税费(万元),1418,4677,3768,2890,1659,5526,3607,2964,1899,3983,3099,2247,894,3364,2577,979,406,3708,2657,1804,920,2945,2022,1572,387,3379,2211,1500,2922,2871,1965, 
 支付的其他与经营活动有关的现金(万元),648,1884,1330,722,361,1755,1284,803,500,1397,1804,631,626,1082,806,531,273,825,711,447,202,799,499,318,171,799,519,331,760,473,316, 
 经营活动现金流出小计(万元),12186,42994,31872,22531,11270,35376,22504,16618,8579,36354,28399,17148,9661,40562,29334,19403,9785,39254,29639,19029,9631,29507,20492,14191,7211,24097,18185,13108,21333,15430,21084, 
 经营活动产生的现金流量净额(万元),-4808,5428,7338,1562,3318,13255,11894,4526,-1930,8174,2673,3540,-3738,14667,6846,330,-923,8065,3060,973,-1249,8992,4534,3717,-25,2849,626,2465,5595,5949,3229, 
 收回投资所收到的现金(万元),43000,6439,6259,153,52,14381,14292,13820,5130,32090,21080,14080,5220,60050,--,29300,21300,52582,--,--,--,17860,10150,5400,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),344,3360,1919,1160,0,2175,1542,1541,8,333,323,315,5,1220,727,407,316,471,449,120,101,411,404,394,--,--,--,--,343,392,466, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),4,11,--,111,--,5,--,--,--,7,--,--,--,3,1,1,1,1,1,1,1,11,--,--,--,0,0,--,0,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,111,111,--,--,--,-18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),2,380,--,--,--,0,--,--,--,15000,15000,15000,--,--,1000,160,320,--,80,450,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),43349,10301,8289,1424,52,16561,15817,15361,5138,47430,36403,29395,5225,61272,1728,29868,21937,53054,529,571,101,18282,10554,5794,0,0,0,0,343,392,466, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),498,9102,7990,5920,2654,18341,16758,13452,5506,19742,11985,7455,1560,12511,10008,4664,1759,9967,6980,3626,1463,4315,2834,2196,582,3252,1651,1472,1475,2642,2340, 
 投资所支付的现金(万元),--,56377,48247,30217,125,18003,5910,5460,4630,68987,23985,16735,5930,77050,9000,29400,21300,52582,2960,1200,750,23210,13510,5950,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,-0,-0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,574,--,--,--,--,--,--,--,15600,--,--,--,--,--,--,--,134,134,134,134,--,--,--,--,--,--, 
