 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),26893,80458,61323,40558,22638,95214,67483,45002,23326,66577,41878,27611,14802,60248,41008,26574,--,44597,31881,19683,--,41815,37817,33705,20467,18052, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,181,--,--,--,136,--,--,--,91,91,--,--,2,2,--,--,18,--,--,--,--,--,38,98, 
 收到的其他与经营活动有关的现金(万元),690,508,454,307,89,229,1418,605,558,186,390,371,75,111,87,38,--,115,59,46,--,107,133,926,71,8, 
 经营活动现金流入小计(万元),27583,80966,61959,40866,22727,95443,69038,45607,23884,66763,42359,28073,14877,60359,41097,26614,--,44712,31958,19729,--,41921,37950,34632,20576,18158, 
 购买商品、接受劳务支付的现金(万元),15610,53665,43450,28826,15966,51836,35143,23773,11494,40522,31459,21241,10624,42406,32743,20135,--,30519,23034,14467,--,26295,25049,23587,13389,15703, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4089,15878,10355,7136,3654,14181,9762,6645,3459,11273,4695,3248,1778,5660,3976,2649,--,4386,3158,2240,--,4017,3018,2050,1164,647, 
 支付的各项税费(万元),2339,6794,5198,3491,1925,8525,7334,4664,2648,5235,3066,2119,1161,5273,3449,2284,--,3912,2681,1594,--,3886,3652,3108,2186,1703, 
 支付的其他与经营活动有关的现金(万元),680,1711,1522,930,437,1895,1880,786,434,1904,1317,948,400,1708,943,531,--,842,877,417,--,561,540,413,256,168, 
 经营活动现金流出小计(万元),22718,78048,60525,40384,21982,76437,54119,35869,18034,58934,40536,27555,13963,55047,41111,25599,--,39659,29751,18718,--,34760,32260,29159,16995,18220, 
