 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),77233,237688,147697,96733,47624,124244,122016,77158,33734,131010,101357,69661,32118,165151,119046,81754,42586,160965,160808,134637,87898,45853,72313,47821,38964, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),41,192,178,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),10977,55885,24790,19826,16666,4053,17468,12078,11934,666,1063,332,10312,1197,197,72,15017,183,1353,247,139,15,75,206,275, 
 经营活动现金流入小计(万元),88251,293765,172666,116597,64290,128298,139484,89235,45667,131676,102420,69994,42430,166348,119243,81826,57603,161148,162160,134884,88037,45898,72389,48027,39239, 
 购买商品、接受劳务支付的现金(万元),78849,294039,178866,123510,70088,146137,139593,90073,45086,95018,88701,72733,38814,153516,108191,76143,48190,163024,140573,112584,67392,35917,51416,37088,39030, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4641,19932,16268,9900,4556,18767,9877,8657,5045,14940,6362,6362,4593,13904,10993,7665,3385,12775,10781,9076,6136,3236,4879,4257,3104, 
 支付的各项税费(万元),1023,7291,3928,3293,900,7492,3634,1844,397,7267,5952,5952,4738,3800,2584,1603,439,3404,3991,2618,3411,2095,2076,2531,1478, 
 支付的其他与经营活动有关的现金(万元),16640,38357,16862,11710,6379,10541,16819,9403,1965,3262,9257,4146,12326,4004,3295,2150,13230,3392,3096,2644,2152,1383,1979,1334,1550, 
 经营活动现金流出小计(万元),101154,359618,215924,148412,81923,182937,169922,109977,52492,120487,110272,89192,60471,175224,125063,87561,65244,182595,158440,126922,79090,42630,60350,45209,45162, 
 经营活动产生的现金流量净额(万元),-12903,-65853,-43258,-31815,-17634,-54639,-30438,-20742,-6825,11189,-7851,-19198,-18041,-8876,-5821,-5734,-7641,-21448,3721,7962,8946,3238,12038,2818,-5923, 
 收回投资所收到的现金(万元),1730,--,--,--,--,5,5,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,443,2010,415, 
 取得投资收益所收到的现金(万元),18,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2,601,516,61,61,41,3,3,2,16,341,341,--,0,0,--,--,16,31,19,18,8,1,8,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),84,470,854,654,445,1476,506,191,113,529,415,278,149,327,177,100,33,267,246,225,178,126,148,36,14, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1834,1087,1370,715,505,1522,514,194,115,545,755,618,149,327,177,100,33,284,277,244,196,134,592,2055,429, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),4964,38889,40308,23918,34363,31196,14734,10152,6546,5147,1642,617,107,1354,579,454,8109,9165,4914,9768,16332,9778,12409,8215,2220, 
 投资所支付的现金(万元),1800,1730,4815,4815,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,--,--,--,478,2010,380, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,5147,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1511, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,8000,8000,8000,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),6764,45766,45123,28733,34363,31196,14734,10152,6546,5147,1642,617,107,9354,8579,8454,8109,9165,4919,9768,16332,9778,12887,10225,4110, 
 投资活动产生的现金流量净额(万元),-4930,-44679,-43753,-28018,-33857,-29675,-14220,-9959,-6431,-4602,-887,2,42,-9027,-8402,-8354,-8076,-8882,-4642,-9524,-16136,-9644,-12295,-8170,-3681, 
 吸收投资收到的现金(万元),--,6538,11900,11900,7970,112431,112431,--,--,19502,19502,19502,19502,--,--,--,--,--,--,--,6120,--,--,--,4638, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,1965,--,930,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),18437,137460,96860,66200,12600,150250,109350,83450,14300,91270,62000,42800,15550,115580,76350,43550,17500,140235,107475,82075,54440,21515,38975,39950,12500, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),3373,1600,18841,13607,4788,900,--,--,25000,3000,--,--,--,12000,--,--,--,--,6000,6000,5523,5000,58,2700,2204, 
 筹资活动现金流入小计(万元),21810,145598,127600,91707,25358,263581,221781,83450,39300,113772,81502,62302,35052,127580,76350,43550,17500,140235,113475,88075,66083,26515,39033,42650,19342, 
 偿还债务支付的现金(万元),11743,56927,66790,52582,5313,93150,70528,39290,15776,109000,68128,42440,15000,118000,82400,35350,19662,117660,86736,61739,41215,18150,33400,26848,8251, 
 分配股利、利润或偿付利息所支付的现金(万元),2841,12347,8710,4626,2088,8161,5462,3166,1323,7121,5901,3954,1739,7358,5547,3976,1845,6735,6107,5224,3320,1549,2666,2804,1222, 
 其中：子公司支付给少数股东的股利、利润(万元),--,135,426,--,--,66,66,66,--,46,--,--,--,55,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,4630,3288,3262,2782,7710,7374,5896,17,4552,2978,2253,34,2172,458,458,36,2913,4344,4472,2983,1584,1307,2531,75, 
 筹资活动现金流出小计(万元),14584,73903,78788,60470,10182,109020,83364,48353,17116,120672,77007,48647,16773,127530,88405,39784,21543,127308,97186,71435,47517,21283,37372,32183,9548, 
 筹资活动产生的现金流量净额(万元),7226,71695,48812,31237,15176,154561,138418,35097,22184,-6900,4495,13655,18279,50,-12055,3766,-4043,12927,16289,16640,18566,5232,1661,10467,9795, 
 汇率变动对现金及现金等价物的影响(万元),--,-1,--,--,--,--,--,--,--,0,--,--,0,0,-0,0,-0,-0,-0,-1,-1,--,--,-0,--, 
 现金及现金等价物净增加额(万元),-10607,-38839,-38199,-28597,-36316,70247,93760,4397,8928,-314,-4244,-5542,279,-17853,-26277,-10323,-19759,-17402,15367,15077,11375,-1175,1405,5115,190, 
 加:期初现金及现金等价物余额(万元),55505,84904,85024,85024,85024,14657,14657,14657,14657,14971,14971,14971,14971,32823,32823,32823,32823,50226,34858,19782,8406,8406,7001,1886,1696, 
 期末现金及现金等价物余额(万元),44898,46065,46825,56427,48708,84904,108416,19054,23585,14657,10727,9429,15250,14971,6546,22501,13064,32823,50226,34858,19782,7231,8406,7001,1886, 
 净利润(万元),--,7173,--,3149,--,5098,--,3129,--,3153,--,1624,--,3980,3030,2133,--,4164,5463,5865,--,--,--,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,4565,--,-618,--,5337,--,869,--,3429,--,658,--,1610,1153,680,--,1280,934,436,--,--,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,4669,--,8425,--,4265,--,1998,--,4176,--,2186,--,4336,3289,2183,--,4083,3583,3042,--,--,--,--,--, 
 无形资产摊销(万元),--,472,--,260,--,341,--,110,--,144,--,61,--,122,91,61,--,122,122,122,--,--,--,--,--, 
 长期待摊费用摊销(万元),--,11,--,0,--,9,--,5,--,7,--,--,--,--,--,--,--,--,12,12,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,63,--,26,--,-1,--,-2,--,9,--,0,--,--,--,--,--,4,-7,-3,--,--,--,--,--, 
 固定资产报废损失(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,2,1,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,10822,--,4928,--,6020,--,3027,--,6330,--,3576,--,6910,5217,3707,--,6486,6077,5442,--,--,--,--,--, 
 投资损失(万元),--,-16,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,-1226,--,--,--,-851,--,-28,--,-514,--,-2,--,-263,-195,-110,--,-196,-143,96,--,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,33000,--,-50010,--,-62113,--,-40734,--,3318,--,-15626,--,-25345,-21919,-14757,--,-24379,-17194,-8687,--,--,--,--,--, 
 经营性应收项目的减少(万元),--,-99770,--,16056,--,-40901,--,-6236,--,-33794,--,-5193,--,-19941,-15145,-7110,--,-20891,-13906,-7594,--,--,--,--,--, 
 经营性应付项目的增加(万元),--,-29490,--,-15008,--,19056,--,15434,--,37602,--,-7943,--,39402,33338,14097,--,10998,13244,8955,--,--,--,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,3873,--,934,--,9101,--,1685,--,-12670,--,1461,--,-19690,-14682,-6618,--,-3119,5536,277,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,-65853,--,-31815,--,-54639,--,-20742,--,11189,--,-19198,--,-8876,-5821,-5734,--,-21448,3721,7962,--,--,--,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,13108,--,--,--,--,--,8380,--,--,--,--,--, 
