 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),70419,43722,73531,55954,34994,61301,47120,57219,36664,16175, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),596,385,799,800,799,280,280,327,386,463, 
 收到的其他与经营活动有关的现金(万元),2080,265,909,1150,107,1314,936,698,507,508, 
 经营活动现金流入小计(万元),73096,44372,75239,57903,35900,62894,48335,58244,37557,17145, 
 购买商品、接受劳务支付的现金(万元),52982,33354,51935,38719,22449,44087,34182,38198,23603,9882, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),10311,5804,9534,7097,5140,8050,6131,6547,4463,2786, 
 支付的各项税费(万元),1908,1234,2860,2000,1533,2524,2027,2315,1083,1142, 
 支付的其他与经营活动有关的现金(万元),1796,1122,3046,2060,1255,2409,1718,2671,1692,1283, 
 经营活动现金流出小计(万元),66997,41514,67375,49877,30377,57069,44058,49732,30840,15094, 
 经营活动产生的现金流量净额(万元),6099,2858,7864,8026,5523,5825,4278,8512,6717,2052, 
 收回投资所收到的现金(万元),1600,--,250,--,120,4892,1249,--,--,4, 
 取得投资收益所收到的现金(万元),5,--,--,--,--,--,0,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),9,9,6,94,--,17,17,--,34,35, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,48,5600,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1614,9,304,5694,120,4909,1266,0,34,38, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),4270,3004,3373,1840,1636,3479,1825,3144,1902,2037, 
 投资所支付的现金(万元),21900,--,--,--,--,4350,4350,1044,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,232, 
 支付的其他与投资活动有关的现金(万元),--,--,--,5600,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),26170,3004,3373,7440,1636,7829,6175,4188,1902,2270, 
 投资活动产生的现金流量净额(万元),-24555,-2995,-3069,-1746,-1516,-2920,-4909,-4188,-1868,-2231, 
 吸收投资收到的现金(万元),40024,40024,--,--,--,1071,1071,--,131,457, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,50,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),13087,11324,14947,9969,4104,14655,10887,11852,12835,11258, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),2398,1668,279,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),55509,53016,15226,9969,4104,15725,11957,11852,12966,11715, 
 偿还债务支付的现金(万元),18894,9332,13776,10496,6544,14523,7958,13209,15297,10680, 
 分配股利、利润或偿付利息所支付的现金(万元),2552,2529,2824,2506,78,3841,2245,2254,1480,683, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),2406,1402,853,618,925,769,180,453,--,--, 
 筹资活动现金流出小计(万元),23852,13262,17453,13620,7547,19133,10384,15916,16776,11363, 
 筹资活动产生的现金流量净额(万元),31656,39754,-2227,-3651,-3444,-3408,1573,-4064,-3810,351, 
 汇率变动对现金及现金等价物的影响(万元),-256,-87,73,15,5,-15,-4,0,--,--, 
 现金及现金等价物净增加额(万元),12944,39530,2641,2645,568,-517,939,260,1038,172, 
 加:期初现金及现金等价物余额(万元),4066,4066,1424,1674,1424,1941,1941,1681,643,471, 
 期末现金及现金等价物余额(万元),17009,43595,4066,4319,1992,1424,2880,1941,1681,643, 
 净利润(万元),--,3842,8092,--,3244,6487,--,6857,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,1508,1138,--,743,1355,--,921,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,971,1404,--,664,1132,--,960,--,--, 
 无形资产摊销(万元),--,39,73,--,36,61,--,45,--,--, 
 长期待摊费用摊销(万元),--,46,86,--,42,45,--,55,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-8,-0,--,--,1,--,2,--,--, 
 固定资产报废损失(万元),--,2,1,--,1,0,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,160,298,--,51,221,--,178,--,--, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,-131,-33,--,-6,-67,--,-58,--,--, 
 递延所得税负债增加(万元),--,40,63,--,21,57,--,35,--,--, 
 存货的减少(万元),--,-1991,-5201,--,-2197,-1291,--,-859,--,--, 
 经营性应收项目的减少(万元),--,-1110,-4629,--,-1697,-6139,--,-1861,--,--, 
 经营性应付项目的增加(万元),--,-508,6572,--,4620,3964,--,2238,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,2858,7864,--,5523,5825,--,8512,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),17009,43595,4066,4319,1992,1424,2880,1941,1681,643, 
 现金的期初余额(万元),4066,4066,1424,1674,1424,1941,1941,1681,643,471, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),12944,39530,2641,2645,568,-517,939,260,1038,172, 

