 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),34345,23399,8513,32388,22214,14394,7592,27294,25863,13617,23032,20722,18184, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),393,393,--,165,168,165,--,231,136,--,174,132,--, 
 收到的其他与经营活动有关的现金(万元),140,89,1241,994,724,605,295,976,858,135,575,1051,373, 
 经营活动现金流入小计(万元),34878,23880,9754,33547,23105,15165,7887,28501,26857,13752,23781,21905,18557, 
 购买商品、接受劳务支付的现金(万元),19988,14375,6696,18464,11944,7569,4015,13442,13506,7517,12258,10340,9657, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4983,3549,1966,5222,3652,1803,1399,4364,4206,2069,3734,3387,2723, 
 支付的各项税费(万元),3628,2506,1297,3333,2802,1561,849,2234,3163,1472,2308,2164,1724, 
 支付的其他与经营活动有关的现金(万元),3049,890,2069,2609,2701,1008,648,2044,1742,1159,1938,1511,1368, 
 经营活动现金流出小计(万元),31647,21321,12027,29628,21100,11942,6911,22085,22616,12217,20239,17402,15471, 
 经营活动产生的现金流量净额(万元),3231,2559,-2273,3919,2006,3223,977,6416,4241,1536,3542,4503,3086, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),6,6,--,0,96,82,0,131,0,0,2,29,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),6,6,0,0,96,82,0,131,0,0,2,29,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3283,2185,1033,3392,1874,1129,649,2005,2289,1404,4035,1652,1661, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3283,2185,1033,3392,1874,1129,649,2005,2289,1404,4035,1652,1661, 
 投资活动产生的现金流量净额(万元),-3276,-2179,-1033,-3391,-1778,-1047,-649,-1874,-2288,-1404,-4033,-1623,-1661, 
 吸收投资收到的现金(万元),28401,28401,28401,--,--,--,--,80,--,--,--,--,8414, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,80,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,665, 
 筹资活动现金流入小计(万元),28401,28401,28401,0,0,0,0,80,0,0,0,0,9078, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),5620,5620,-5,5400,5400,4655,--,1800,2100,--,3500,2022,1478, 
 其中：子公司支付给少数股东的股利、利润(万元),20,20,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),5620,5620,-5,5400,5400,4655,0,1800,2100,0,3500,2022,1478, 
 筹资活动产生的现金流量净额(万元),22781,22781,28405,-5400,-5400,-4655,0,-1720,-2100,0,-3500,-2022,7600, 
 汇率变动对现金及现金等价物的影响(万元),-52,-40,--,-61,-45,2,--,-2,-19,3,15,2,-27, 
 现金及现金等价物净增加额(万元),22683,23121,25099,-4933,-5217,-2476,328,2820,-167,135,-3976,860,8999, 
 加:期初现金及现金等价物余额(万元),5836,5836,5836,10770,10770,10770,10770,7950,8117,8117,12093,11233,2234, 
 期末现金及现金等价物余额(万元),28520,28958,30936,5836,5553,8293,11098,10770,7950,8252,8117,12093,11233, 
 净利润(万元),--,6785,--,8951,--,4532,--,6448,5962,--,5692,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,6,--,184,--,44,--,29,101,--,50,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,459,--,839,--,397,--,788,528,--,475,--,--, 
 无形资产摊销(万元),--,31,--,58,--,27,--,55,55,--,26,--,--, 
 长期待摊费用摊销(万元),--,337,--,573,--,276,--,476,384,--,331,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,21,--,0,--,0,--,10,20,--,-0,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,40,--,61,--,-2,--,2,19,--,-15,--,--, 
 投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,37,--,-96,--,-31,--,-23,-11,--,-21,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-652,--,-6003,--,-1560,--,246,-548,--,-429,--,--, 
 经营性应收项目的减少(万元),--,-3391,--,-5813,--,-1058,--,-2149,-231,--,-3027,--,--, 
 经营性应付项目的增加(万元),--,-1114,--,5165,--,598,--,534,-2038,--,458,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,2559,--,3919,--,3223,--,6416,4241,--,3542,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),28520,28958,30936,5836,5553,8293,11098,10770,7950,8252,8117,12093,11233, 
 现金的期初余额(万元),5836,5836,5836,10770,10770,10770,10770,7950,8117,8117,12093,11233,2234, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),22683,23121,25099,-4933,-5217,-2476,328,2820,-167,135,-3976,860,8999, 

