 报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),8736,30834,22368,13805,7352,25319,19868,13610,6939,23683,18056,12033,6258,20284,15690,11036,4756,24873,17806,11811,5146,23904,--,10700,5014,22206,22983,19174,14424, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),220,1840,1497,648,373,467,352,113,26,1008,595,517,384,635,514,332,150,505,445,392,219,796,--,618,460,965,381,175,278, 
 收到的其他与经营活动有关的现金(万元),279,495,453,319,202,795,539,437,304,2771,799,134,95,235,21,14,355,643,404,393,295,701,--,175,105,573,431,311,476, 
 经营活动现金流入小计(万元),9235,33168,24317,14771,7927,26581,20758,14160,7270,27463,19450,12684,6737,21154,16225,11382,5261,26021,18655,12596,5661,25400,--,11493,5579,23743,23795,19661,15177, 
 购买商品、接受劳务支付的现金(万元),4585,16021,11312,7705,3387,11846,9126,7160,2675,9569,8346,6233,2338,10844,7929,6086,4173,13003,8652,6982,4512,9899,--,5567,3840,8076,8261,6283,6664, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2366,9008,6733,4456,2197,8159,6167,3711,1967,7373,4970,3333,1608,7199,5423,3679,1650,7797,5694,3432,1923,7528,--,3666,1454,7161,6096,5242,3400, 
 支付的各项税费(万元),304,1597,1219,892,351,354,290,221,70,457,449,235,175,652,561,484,299,1392,1384,1083,425,1960,--,803,443,2155,2600,1185,762, 
 支付的其他与经营活动有关的现金(万元),584,3139,2350,1639,1595,2989,2587,2429,347,3207,1979,1429,1202,3210,2785,1837,126,3348,2323,1472,869,3493,--,1491,1391,3415,3118,2315,1637, 
 经营活动现金流出小计(万元),7840,29765,21614,14692,7530,23348,18169,13521,5058,20606,15744,11230,5323,21904,16699,12085,6248,25540,18053,12969,7729,22879,--,11527,7128,20807,20075,15025,12462, 
 经营活动产生的现金流量净额(万元),1396,3404,2703,79,397,3233,2589,639,2211,6857,3706,1454,1414,-750,-474,-703,-988,482,602,-372,-2068,2521,3377,-35,-1549,2936,3720,4636,2715, 
 收回投资所收到的现金(万元),--,--,--,--,--,1200,1200,1200,--,1000,1000,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15,18, 
 取得投资收益所收到的现金(万元),7,12,12,12,12,28,28,28,13,30,15,15,15,19,19,19,19,26,26,26,26,15,--,15,15,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,80,1,1,--,18,27,--,--,1,1,1,--,--,--,--,2,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),7,92,13,13,12,1246,1255,1228,13,1031,1016,1016,15,19,19,19,20,26,26,26,26,15,--,15,15,0,0,15,18, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),396,3436,2592,1822,663,2365,1703,974,356,2771,2130,1375,830,3031,2677,710,556,3063,2399,1955,1662,3590,--,2479,918,8889,8846,5644,2026, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,1200,--,--,--,1000,--,--,--,--,--,--,--,--,--,--,2,--,--,--,300, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,131,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
