 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),16077,90783,61637,45777,18925,79522,58405,39098,18046,70713,50183,31905,14690,64328,43517,28288,21802,59582,40542,24563,11361,44619,32462,20971,8856,32961,20855,11170,5099,20922,14191,9485,4222,19263,13133,7736,15744,9844,13086,12828, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,82,3,0,--,--,--,4,4,93,--,266,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到的其他与经营活动有关的现金(万元),249,1389,1468,898,71,1305,1309,672,660,2324,2039,1592,107,1183,6718,5116,4306,4797,3033,547,744,2272,2473,1724,1666,1099,541,394,241,900,592,460,108,262,470,64,1393,433,972,312, 
 经营活动现金流入小计(万元),16326,92172,63105,46675,18996,80827,59714,39770,18706,73037,52222,33497,14797,65511,50235,33404,26191,64382,43575,25110,12105,46891,34939,22700,10614,34060,21662,11564,5340,21822,14783,9945,4330,19524,13603,7800,17137,10277,14057,13140, 
 购买商品、接受劳务支付的现金(万元),6494,23547,15960,11236,7161,21700,19367,12144,4314,23177,22818,10527,6479,38176,28048,18532,13540,33104,19206,12158,5411,11315,9654,5532,2871,8441,5292,2986,1258,4394,3027,1803,303,9078,7903,5094,4711,3690,4318,2371, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),4026,21284,14333,11326,4424,15949,11794,7710,3933,9647,7104,5028,2065,9358,6952,4652,3205,8701,6469,4190,2363,7138,4995,3072,1495,3880,2505,1224,557,2136,1410,1015,411,1309,1001,662,1091,795,926,572, 
 支付的各项税费(万元),1851,14887,9216,7532,3418,10444,4439,3952,1477,8824,5907,4612,1948,6305,3436,2610,2264,5166,3296,2408,1043,5622,4612,2946,1709,4889,3805,2660,1469,4008,3290,1772,1137,3369,2554,1471,2721,1901,2611,2114, 
 支付的其他与经营活动有关的现金(万元),3585,19838,17909,13604,4286,17851,14096,9005,5750,15574,9430,4828,1987,6585,9882,6713,6855,14593,12171,6256,2948,14228,7177,4870,2169,9275,5682,3626,1308,6364,3691,2569,1536,5978,3100,2835,4967,4156,4418,3132, 
 经营活动现金流出小计(万元),15956,79556,57417,43698,19290,65943,49696,32811,15475,57221,45259,24995,12479,60424,48318,32508,25864,61564,41142,25012,11766,38303,26438,16419,8243,26485,17284,10495,4592,16903,11418,7159,3387,19734,14558,10062,13490,10542,12273,8189, 
 经营活动产生的现金流量净额(万元),370,12616,5689,2977,-293,14884,10018,6959,3231,15816,6963,8502,2318,5088,1917,896,326,2818,2433,98,339,8588,8501,6280,2371,7575,4378,1069,747,4920,3365,2786,944,-210,-955,-2263,3647,-265,1785,4952, 
 收回投资所收到的现金(万元),6850,13730,7180,9830,1300,9450,5400,5300,2600,38726,36194,35977,--,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 取得投资收益所收到的现金(万元),164,856,724,364,219,977,665,526,122,793,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,202,3,3,2,43,9,9,0,16,16,16,16,36,36,36,--,--,0,--,--,941,900,900,900,460,460,--,--,160,160,--,--,95,147,0,0,0,0,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,122,--,122,--,--,0,0,0,0,0,0, 
 收到的其他与投资活动有关的现金(万元),--,556,--,--,--,16110,--,--,--,--,--,--,--,--,21,--,--,12014,--,--,--,--,--,--,--,--,--,--,--,--,122,--,--,--,0,0,0,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 投资活动现金流入小计(万元),7014,15344,7906,10196,1521,26580,6074,5834,2722,39535,36210,35993,16,62,57,36,0,12014,0,0,0,941,900,900,900,460,460,0,0,282,282,122,--,95,147,0,0,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1036,3963,1983,1559,315,21350,14052,1823,745,12745,5408,4668,2518,8360,8191,4543,1093,23751,5455,5773,4276,2460,3404,2524,235,3972,3508,3264,2693,3884,1765,1132,10,1174,1284,688,434,44,754,1313, 
 投资所支付的现金(万元),15796,40229,10805,3550,1100,31830,10305,6547,2600,11450,5000,5440,9,--,480,--,--,--,0,--,--,--,556,671,671,--,--,19098,676,1150,--,--,--,--,0,0,0,0,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,1582,--,--,--,--,-1164,--,--,576,--,--,--,17526,17746,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,22,--,--,--,--,--,8,--,--,--,--,--,--,--,--,--,--,40891,--,--,0,0,0,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 投资活动现金流出小计(万元),16831,44192,12788,5109,1415,53180,24358,8370,3345,24195,10408,10108,2527,9942,8693,4543,1093,23751,4291,5773,4284,3036,3960,3195,907,21498,21254,22362,3369,5034,1765,42023,10,1174,1284,688,434,44,754,1313, 
 投资活动产生的现金流量净额(万元),-9817,-28848,-4882,5087,106,-26601,-18284,-2536,-623,15340,25803,25885,-2511,-9880,-8636,-4508,-1093,-11738,-4291,-5773,-4284,-2095,-3060,-2295,-7,-21038,-20794,-22362,-3369,-4751,-1483,-41901,-10,-1079,-1138,-688,-434,-44,-754,-1313, 
 吸收投资收到的现金(万元),366,843,285,251,60,545,447,384,--,25377,25744,25684,275,9023,4023,4023,--,998,--,--,--,26,26,--,--,--,--,--,--,50958,50958,50958,--,--,0,0,0,0,0,440, 
 其中：子公司吸收少数股东投资收到的现金(万元),366,843,285,251,60,545,507,384,--,20468,20468,--,--,5000,--,--,--,998,--,--,--,26,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 取得借款收到的现金(万元),10130,13600,13100,5100,5100,9000,9000,7000,5000,11000,11000,10000,6000,9000,5000,--,--,9037,5037,3037,37,6676,2574,730,733,7540,7500,6500,2000,5000,4000,2000,--,7500,5350,4500,4500,3500,5500,3000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到其他与筹资活动有关的现金(万元),--,--,556,--,--,49,5588,49,48,--,--,--,--,--,--,--,--,--,0,--,--,--,20,7,6,--,--,--,--,--,--,--,50958,--,0,0,0,0,0,0, 
 筹资活动现金流入小计(万元),10496,14443,13941,5351,5160,9594,15035,7433,5048,36377,36744,35684,6275,18023,9023,4023,0,10035,5037,3037,37,6702,2621,737,739,7540,7500,6500,2000,55958,54958,52958,50958,7500,5350,4500,4500,3500,5500,3440, 
 偿还债务支付的现金(万元),--,12115,12110,7100,5100,12022,12000,10000,6000,10085,10010,9007,5029,10325,5420,3341,57,6510,2363,265,189,7480,7305,6180,2051,5710,4624,3530,530,5515,5500,4500,2000,6315,4151,3300,4715,3500,4000,3700, 
 分配股利、利润或偿付利息所支付的现金(万元),15624,3235,3098,3022,188,2777,2741,2708,14,2944,2870,2098,86,327,251,163,106,289,197,103,46,3964,3931,155,57,1640,3090,2972,33,2421,2365,2329,573,2346,2263,2183,1448,1361,2362,1413, 
 其中：子公司支付给少数股东的股利、利润(万元),15513,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付其他与筹资活动有关的现金(万元),42,76,76,76,--,115,115,115,3,160,160,160,--,22,--,--,--,14,--,--,--,7,7,--,9,68,123,84,2,394,1329,900,832,158,94,51,27,2,44,25, 
 筹资活动现金流出小计(万元),15666,15426,15284,10198,5288,14913,14856,12823,6017,13190,13040,11265,5116,10674,5670,3505,163,6813,2560,368,235,11452,11243,6335,2117,7418,7836,6585,565,8330,9194,7729,3405,8819,6508,5534,6190,4863,6406,5138, 
 筹资活动产生的现金流量净额(万元),-5170,-983,-1343,-4847,-128,-5319,179,-5390,-968,23187,23704,24418,1160,7349,3352,518,-163,3222,2477,2669,-198,-4750,-8623,-5599,-1378,123,-336,-85,1435,47629,45764,45229,47554,-1319,-1158,-1034,-1690,-1363,-906,-1698, 
 汇率变动对现金及现金等价物的影响(万元),-279,3113,3283,2937,436,2252,3764,2763,2379,2034,2158,-188,-656,-723,-443,61,40,123,47,-229,-155,26,-25,-150,88,-328,-142,--,--,--,--,--,--,--,0,0,0,0,0,0, 
