 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),59723,32344,13553,75205,50635,36912,16282,78892,41917,89500,79974,73879, 
 客户存款和同业存放款项净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,0,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),456,423,54,512,309,203,34,340,219,962,1550,879, 
 收到的其他与经营活动有关的现金(万元),884,841,116,843,633,532,100,971,149,941,711,1593, 
 经营活动现金流入小计(万元),61062,33608,13722,76561,51577,37648,16415,80203,42285,91404,82236,76351, 
 购买商品、接受劳务支付的现金(万元),45410,26254,9782,48802,32043,23729,6139,51335,25153,62445,60992,59198, 
 客户贷款及垫款净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),11120,7594,3969,13544,10164,6944,3537,13530,7200,14072,12838,10664, 
 支付的各项税费(万元),4291,2652,1282,2906,2110,1159,845,3280,1617,3863,2480,2097, 
 支付的其他与经营活动有关的现金(万元),2772,1380,942,1938,1952,882,1007,2340,1431,3149,2664,1734, 
 经营活动现金流出小计(万元),63593,37880,15975,67191,46268,32713,11528,70484,35401,83529,78974,73693, 
 经营活动产生的现金流量净额(万元),-2531,-4272,-2253,9370,5308,4935,4887,9719,6884,7875,3261,2658, 
 收回投资所收到的现金(万元),--,0,--,--,--,--,--,15,--,--,--,56, 
 取得投资收益所收到的现金(万元),--,0,--,--,--,--,--,--,--,--,--,--, 
