 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-09-30,2005-12-31,2004-12-31, 
 销售商品、提供劳务收到的现金(万元),20458,13157,5216,49973,31874,20950,12602,68440,38722,30193,13365,41037,21476,12725,5653,26745,17617,11403,4349,18447,12977,8534,4132,18626,13848,9232,3385,18484,12828,8163,3686,14377,9088,5501,2376,13351,9777,7058,2490,16527,12859,8690,3623,16161,12005,7509,14511,10430,13236,10128, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 收到的税费返还(万元),75,19,--,138,138,33,33,130,130,78,69,285,243,27,27,76,31,--,--,18,12,12,--,79,52,52,--,8,8,--,--,118,93,59,38,367,198,90,61,1,1,0,--,56,25,25,1,1,27,5, 
 收到的其他与经营活动有关的现金(万元),2882,1493,776,26518,9286,8803,7090,2983,2333,1029,428,2134,394,284,212,1462,731,446,151,269,156,108,73,620,580,417,261,386,332,272,50,555,175,144,24,305,238,184,115,994,252,169,153,218,385,73,108,41,486,124, 
 经营活动现金流入小计(万元),23414,14668,5992,76628,41298,29785,19725,71553,41186,31300,13862,43456,22113,13036,5892,28284,18379,11849,4501,18734,13146,8655,4205,19325,14479,9701,3646,18878,13167,8435,3736,15050,9356,5705,2437,14022,10213,7332,2666,17522,13112,8859,3776,16434,12415,7607,14620,10472,13749,10258, 
 购买商品、接受劳务支付的现金(万元),10721,7308,3182,25748,18638,15109,11085,41118,20091,19711,7877,26359,10574,7663,3643,13564,8296,5638,1981,8897,6915,4163,2040,9880,7764,5089,2022,8465,6090,3672,1683,7828,5517,3633,1854,6576,5568,3952,1594,10149,7401,5005,3098,10331,7720,5258,8961,6996,7854,5701, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 支付给职工以及为职工支付的现金(万元),8437,5693,3060,12201,9604,6939,4086,11621,9043,6041,3363,10105,7568,4936,2762,7152,5231,3306,1745,5654,4227,2808,1461,5649,4337,2973,1450,4701,3329,2227,1106,3176,2420,1609,795,3065,2385,1650,891,3698,2856,1738,842,2903,2092,1220,2436,1987,1548,1056, 
 支付的各项税费(万元),2693,1825,941,5124,4652,4169,1354,3685,2969,2020,734,2990,2464,1586,753,2229,1732,1373,443,1739,1350,991,418,1270,983,645,334,1156,850,641,388,941,674,300,120,1119,833,427,242,1869,1867,914,379,1040,818,411,1226,1034,940,778, 
 支付的其他与经营活动有关的现金(万元),3925,3153,1232,13686,8265,2583,1334,7739,4891,2404,1806,5036,3666,2185,907,2428,2076,1006,292,1418,1148,774,458,1245,1032,641,285,1094,840,605,381,760,909,563,412,1121,802,471,214,1150,684,909,426,1024,735,517,931,769,748,507, 
 经营活动现金流出小计(万元),25776,17979,8415,56758,41159,28801,17859,64162,36995,30176,13780,44489,24273,16369,8065,25374,17335,11323,4461,17708,13640,8735,4377,18044,14116,9349,4091,15415,11109,7146,3558,12705,9520,6105,3181,11881,9587,6500,2942,16867,12807,8565,4746,15298,11364,7406,13554,10786,11089,8043, 
 经营活动产生的现金流量净额(万元),-2361,-3311,-2424,19870,139,984,1866,7392,4191,1125,81,-1034,-2160,-3333,-2173,2910,1043,526,40,1026,-494,-81,-172,1280,363,352,-445,3463,2059,1289,179,2346,-164,-400,-744,2141,626,832,-276,655,305,294,-970,1136,1050,202,1066,-314,2660,2215, 
 收回投资所收到的现金(万元),400,400,400,1000,300,300,--,30110,15800,6900,900,44750,21200,11800,7800,39100,27400,17700,9700,25000,25000,8000,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,235,251,0,0, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,374,66,37,2,464,291,193,155,1071,781,282,179,93,93,17,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,60,--,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),63,2,1,8218,6557,7310,2,10,8,8,4,78,38,38,--,227,222,222,222,298,--,--,--,0,0,0,--,3,3,--,--,0,340,0,--,0,0,--,--,3,0,0,--,--,--,0,13,--,0,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,12500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,306,306,--,--,314,314,--,--,322,322,322,--,339,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 投资活动现金流入小计(万元),463,402,401,21718,6857,7610,2,30494,15874,6945,906,45292,21529,12030,7955,40398,28403,18204,10101,25696,25398,8017,0,314,314,0,0,324,324,322,0,340,340,0,--,0,0,--,--,3,0,0,--,--,--,0,308,--,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),4387,3252,891,8573,5862,5007,4598,51827,37858,32199,10911,22625,19682,10028,4465,10229,5921,3049,1583,2798,1056,687,542,660,371,232,92,2736,365,305,168,663,1083,964,234,2216,1385,523,383,8314,5161,3959,1517,2659,1009,935,2090,1419,2234,1026, 
 投资所支付的现金(万元),50,--,--,27556,26376,26376,17703,60503,50280,34980,3900,32100,23800,8000,8000,35200,26200,22200,9700,39700,39700,17700,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,1420,--,--,0,135,--,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,2198,2198,2198,--,27655,21955,--,--,3554,3554,3554,--,--,--,--,--,3419,3419,3419,4870,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1249,1249,1249,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,80,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 投资活动现金流出小计(万元),4437,3252,891,36129,32238,31383,22301,114528,90336,69377,14811,82380,65437,18028,12465,48983,35675,28803,11283,42498,40756,18387,542,5329,5040,4901,4961,2736,365,305,168,663,1083,964,234,2216,1385,523,383,8314,5161,3959,2936,2659,1009,935,2225,1499,2234,1026, 
 投资活动产生的现金流量净额(万元),-3975,-2851,-490,-14411,-25381,-23773,-22299,-84034,-74462,-62433,-13905,-37088,-43908,-5997,-4511,-8585,-7272,-10599,-1182,-16802,-15358,-10371,-542,-5015,-4726,-4900,-4961,-2412,-40,17,-168,-323,-744,-964,-234,-2216,-1385,-523,-383,-8310,-5161,-3959,-2936,-2659,-1009,-935,-1916,-1248,-2233,-1026, 
 吸收投资收到的现金(万元),50,20,--,--,--,--,--,70450,67535,67535,62550,--,--,--,--,5752,5752,5752,--,25230,25230,25230,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,16081,14454,0,0,--,0,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,10898,9983,9983,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 取得借款收到的现金(万元),25500,21500,4150,92150,91150,66150,57150,72860,65010,47010,15000,54300,45300,26100,9100,25000,18000,17000,13000,14000,13000,10000,10000,13000,10000,9000,8000,13150,8000,8000,7000,10150,8131,6000,5000,18220,15300,12800,8800,12277,9450,8450,8450,11800,11331,8150,10800,9800,9500,3400, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 收到其他与筹资活动有关的现金(万元),12650,11550,5800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,3350,1661,1661,--,0,--,0,--,21,725,326,100,--,0,373, 
 筹资活动现金流入小计(万元),38200,33070,9950,92150,91150,66150,57150,143310,132545,114545,77550,54300,45300,26100,9100,30752,23752,22752,13000,39230,38230,35230,10000,13000,10000,9000,8000,13150,8000,8000,7000,10150,8131,6000,5000,21570,16961,14461,8800,12277,9450,8450,8450,27901,26509,8476,10900,9800,9500,3773, 
 偿还债务支付的现金(万元),33750,29550,11150,106830,73200,40700,21200,45410,41910,19400,14200,15100,8000,8000,4000,14000,13000,13000,9000,17000,13000,13000,10000,11150,8000,7000,6000,13150,10000,10000,9000,11200,7350,4850,3820,18178,13421,12916,5914,9462,6900,6050,2450,11700,8200,5500,10030,8330,7010,2200, 
 分配股利、利润或偿付利息所支付的现金(万元),3109,2149,1110,5954,4612,3094,1590,9343,7779,3319,873,2126,1302,683,324,1938,1685,350,149,649,473,335,173,1701,1513,1321,178,535,374,240,112,1494,1343,1178,160,730,545,371,159,2082,1747,1532,234,2210,2021,1821,940,564,710,716, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 支付其他与筹资活动有关的现金(万元),3800,3500,1500,2,2,2,2,1205,201,186,--,50,50,50,50,460,460,140,2,165,50,--,--,30,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,1827,228,228,228,1263,274,137,606,12,1057,10, 
 筹资活动现金流出小计(万元),40659,35199,13760,112786,77814,43796,22792,55958,49890,22905,15073,17276,9352,8733,4374,16398,15144,13490,9152,17814,13523,13335,10173,12881,9513,8321,6178,13685,10374,10240,9112,12694,8693,6028,3980,18908,13966,13286,6073,13371,8875,7810,2912,15173,10495,7457,11576,8906,8778,2926, 
 筹资活动产生的现金流量净额(万元),-2459,-2129,-3810,-20636,13336,22354,34358,87352,82655,91640,62477,37024,35948,17367,4726,14355,8608,9262,3848,21416,24707,21895,-173,119,487,679,1822,-535,-2374,-2240,-2112,-2544,-562,-28,1020,2662,2995,1175,2727,-1094,575,640,5538,12729,16014,1019,-676,894,722,847, 
 汇率变动对现金及现金等价物的影响(万元),0,0,-0,3,3,3,3,3,7,5,4,1,4,-10,-5,2,4,8,8,-10,-4,-1,9,18,9,-1,1,-9,-9,-9,-3,-8,-1,-2,-1,-1,-3,-5,-5,-197,--,0,--,--,--,0,0,--,0,0, 
 现金及现金等价物净增加额(万元),-8795,-8290,-6723,-15175,-11903,-433,13928,10713,12392,30337,48658,-1097,-10116,8027,-1963,8682,2384,-803,2714,5629,8852,11443,-879,-3597,-3866,-3870,-3583,507,-365,-943,-2105,-530,-1471,-1394,41,2587,2234,1479,2063,-8946,-4281,-3025,1632,11206,16056,286,-1526,-668,1149,2036, 
 加:期初现金及现金等价物余额(万元),14146,14146,17636,29321,29321,29321,29321,18608,18608,18608,28774,19705,20066,20066,20066,11023,11023,11023,11023,5394,5394,5394,5394,8991,8991,8991,8991,8484,8484,8484,8484,9013,9013,9013,9013,6426,6426,6426,6426,15373,15373,16909,16909,4167,4167,4167,5693,5693,4544,2508, 
 期末现金及现金等价物余额(万元),5352,5856,10913,14146,17418,28888,43249,29321,31000,48945,77432,18608,9950,28093,18103,19705,13407,10220,13737,11023,14246,16837,4515,5394,5125,5121,5408,8991,8119,7541,6379,8484,7542,7619,9054,9013,8660,7905,8490,6426,11092,13884,18541,15373,20223,4453,4167,5025,5693,4544, 
 净利润(万元),--,-7470,--,-27845,--,5552,--,7009,--,2551,--,6661,--,1500,--,2175,--,946,--,1087,--,612,--,872,--,556,--,792,--,461,--,541,--,341,--,456,--,312,0,873,0,1272,--,2097,--,1155,2094,--,1971,1534, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 资产减值准备(万元),--,281,--,11436,--,740,--,1002,--,280,--,565,--,167,--,337,--,237,--,145,--,54,--,114,--,89,--,98,--,43,--,163,--,64,--,141,--,16,--,100,--,36,--,16,--,15,37,--,36,13, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,815,--,1554,--,716,--,1484,--,755,--,1562,--,756,--,1403,--,642,--,1046,--,521,--,1085,--,526,--,967,--,483,--,925,--,427,--,867,--,428,0,754,0,350,--,545,--,262,488,--,412,358, 
 无形资产摊销(万元),--,1882,--,14571,--,4505,--,6278,--,2542,--,1355,--,267,--,392,--,195,--,378,--,185,--,355,--,173,--,267,--,128,--,243,--,115,--,219,--,130,--,159,--,79,--,134,--,64,48,--,27,33, 
 长期待摊费用摊销(万元),--,692,--,7682,--,5927,--,9494,--,4338,--,2965,--,1196,--,1541,--,428,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,--,--,0,12,--,0,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-1,--,-3099,--,-4036,--,5,--,6,--,-39,--,-23,--,-69,--,-61,--,-4,--,--,--,-0,--,-0,--,--,--,--,--,0,--,0,--,0,--,--,--,9,--,-13,--,--,--,0,13,--,2,4, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,2,--,2,--,--,--,--,--,0,--,--,--,--,--,--,--,4,--,--,--,-1,--,--,--,16,--,0,--,1,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,0,--,--,--,0,51,--,-41,-9, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,--,--,0,0,--,0,0, 
 财务费用(万元),--,2004,--,6395,--,3172,--,4537,--,1910,--,2172,--,718,--,867,--,342,--,645,--,336,--,734,--,382,--,544,--,249,--,640,--,324,--,730,--,371,--,943,--,496,--,722,--,334,507,--,446,238, 
