 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),114137,579343,442728,262555,116266,443781,309077,240655,110949,532354,416172,277093,114126,590485,427993,258392,100465,612201,459333,298590,135334,687719,517582,345498,172136,679913,504353,321369,124812,635521,469166,314846,137866,588201,435112,283335,135823,702393,563162,397526,162517,598147,406568,278682,119635,419255,300624,188155,64430, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,--,0,0,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,--,0,0,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,--,0,0,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,--,0,0,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,--,0,0,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,--,0,0,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,--,0,0,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,--,0,0,0,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,--,0,0,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,--,0,0,0,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,1472,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,0,0,0,0,0,0,0,0, 
 收到的其他与经营活动有关的现金(万元),438,4766,3419,2818,821,3889,10750,8029,5304,7831,9724,8690,8574,12820,25368,18647,18392,9522,8308,5786,5538,8429,8053,6539,243,4398,3998,916,318,4518,1045,850,156,1944,1792,1367,228,2303,1387,535,220,3843,3669,3262,285,859,524,310,188, 
 经营活动现金流入小计(万元),114575,584110,446148,265373,117087,447670,319827,248684,116253,541656,425895,285783,122699,603304,453361,277039,118857,621723,467641,304376,140872,696148,525635,352037,172379,684310,508351,322286,125130,640040,470212,315697,138022,590145,436905,284701,136051,704696,564550,398061,162737,601990,410237,281944,119920,420114,301148,188464,64618, 
 购买商品、接受劳务支付的现金(万元),93025,525901,397954,256484,119315,375766,264390,181599,90902,491505,383280,262378,140506,376395,260478,202729,97617,573114,443243,303242,137260,618843,477141,325058,160751,609054,451894,281447,118915,540058,391666,256022,126033,455658,330479,212610,103977,572329,445856,304142,148927,475781,328816,218970,124232,292329,208703,147005,57573, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,--,0,0,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,--,0,0,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,--,0,0,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,--,0,0,0,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,0,0,--,0,0,0,--, 
 支付给职工以及为职工支付的现金(万元),8144,29784,22702,15191,8012,30203,22410,15268,7942,30400,23555,15746,8972,28412,21644,14449,7769,29607,20808,13902,7822,25944,18948,12099,6440,26129,18748,12616,6766,22633,17046,11787,6617,21451,15749,10845,6175,19002,13079,8787,5517,14661,11154,7333,3740,12504,9318,6288,3287, 
 支付的各项税费(万元),1387,6243,3653,1369,1084,14206,9268,9366,1757,9527,3862,2102,1079,18978,11937,10956,7614,12426,5824,5152,2576,12393,7622,4894,1305,14010,10790,5987,3742,29355,24899,19449,10689,31794,18723,17474,6426,49860,46232,33746,13751,59337,47523,34193,14879,28664,16265,8166,5037, 
 支付的其他与经营活动有关的现金(万元),1792,7288,7196,4643,1551,4499,17356,13832,11709,14568,13990,9672,3872,15141,30422,12310,8070,9832,6314,2380,2319,6451,4227,3176,1771,8030,6147,3179,1605,12247,10797,4905,2613,8417,6454,3353,2165,11390,7828,4839,2196,6384,5173,2903,1571,10942,15361,6388,1761, 
 经营活动现金流出小计(万元),104348,569217,431504,277686,129962,424675,313424,220065,112311,546000,424686,289898,154429,438926,324481,240445,121069,624980,476189,324675,149978,663632,507938,345228,170267,657222,487578,303229,131028,604292,444408,292163,145952,517320,371404,244283,118742,652580,512996,351514,170390,556163,392667,263398,144422,344438,249648,167846,67658, 
