 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),35735,22678,49649,38620,56187,26395,36124,42801,43672, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1167,622,2160,1893,1576,887,1900,1523,1303, 
 收到的其他与经营活动有关的现金(万元),1204,1009,1341,1296,591,292,599,791,517, 
 经营活动现金流入小计(万元),38106,24310,53150,41808,58353,27573,38623,45115,45492, 
 购买商品、接受劳务支付的现金(万元),19208,12846,31484,25482,28892,13293,25938,23322,20971, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5127,4586,7654,5074,6974,3481,4922,4660,4420, 
 支付的各项税费(万元),3439,1532,2820,3070,2947,1195,1457,3152,2922, 
 支付的其他与经营活动有关的现金(万元),1617,1488,3892,1855,4733,2141,2865,3452,6170, 
 经营活动现金流出小计(万元),29391,20452,45850,35480,43546,20109,35182,34587,34484, 
 经营活动产生的现金流量净额(万元),8715,3857,7300,6328,14807,7464,3440,10528,11008, 
 收回投资所收到的现金(万元),1500,1500,--,--,1000,--,1830,2192,600, 
 取得投资收益所收到的现金(万元),2,--,--,--,41,--,7,0,40, 
