 报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),30629,21942,41867,26842,18719,37159,37260,36414,22047, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),817,621,953,580,403,967,492,921,253, 
 经营活动现金流入小计(万元),31446,22562,42820,27421,19121,38126,37751,37335,22300, 
 购买商品、接受劳务支付的现金(万元),21565,15430,25075,16766,12338,21209,24272,24963,14433, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5298,3588,6343,4653,3136,5734,5587,4700,3431, 
 支付的各项税费(万元),2774,2273,4040,3076,2180,3842,3308,2948,1993, 
 支付的其他与经营活动有关的现金(万元),3318,1859,3512,2615,1868,2822,3436,2965,2395, 
 经营活动现金流出小计(万元),32954,23149,38970,27110,19522,33607,36603,35576,22252, 
 经营活动产生的现金流量净额(万元),-1508,-587,3850,311,-401,4519,1149,1760,48, 
 收回投资所收到的现金(万元),--,--,3000,3000,3000,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,10,10,10,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),14,5,1,1,1,0,7,65,56, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,8, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),14,5,3011,3011,3010,0,7,65,64, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),803,461,926,664,359,1931,900,1174,1687, 
 投资所支付的现金(万元),16000,--,3000,3000,3000,--,--,117,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,164, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),16803,461,3926,3664,3359,1931,900,1291,1851, 
 投资活动产生的现金流量净额(万元),-16789,-456,-916,-653,-349,-1930,-892,-1226,-1787, 
 吸收投资收到的现金(万元),21616,21616,--,--,--,--,--,--,4871, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),2875,2875,4800,3800,2750,3290,6107,5881,4790, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),15,15,--,--,--,915,1105,--,708, 
 筹资活动现金流入小计(万元),24506,24506,4800,3800,2750,4205,7212,5881,10369, 
 偿还债务支付的现金(万元),4550,2300,4150,3150,3150,4197,6566,5575,5485, 
 分配股利、利润或偿付利息所支付的现金(万元),881,846,1366,1256,815,1174,716,972,574, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,41,12,--,--, 
 支付其他与筹资活动有关的现金(万元),929,308,36,36,23,312,--,740,19, 
 筹资活动现金流出小计(万元),6360,3455,5552,4442,3988,5683,7281,7287,6077, 
 筹资活动产生的现金流量净额(万元),18146,21051,-752,-642,-1238,-1478,-69,-1406,4292, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,0,-0,--, 
 现金及现金等价物净增加额(万元),-152,20008,2182,-984,-1988,1110,187,-873,2553, 
 加:期初现金及现金等价物余额(万元),6108,6108,3926,3926,3926,2815,2628,3501,947, 
 期末现金及现金等价物余额(万元),5956,26116,6108,2942,1938,3926,2815,2628,3501, 
 净利润(万元),--,1590,4807,--,1287,4262,3576,--,--, 
