 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,104963,514816,831953,459545,1306034,1321327,160371,--,--,--,--,--,12605,--,404537,273399,--,--,63034,--,--,--,229619,--, 
 收取利息、手续费及佣金的现金(万元),334391,1432676,1075799,677797,334448,1667175,1296887,856265,426274,3104458,2454574,1684094,548821,1125416,689249,431542,227938,708439,493180,605489,717542,877004,982877,635046,971737, 
 拆入资金净增加额(万元),30000,350000,270000,200000,30000,440000,--,350000,--,--,--,--,--,63000,51000,--,104000,637000,767000,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),203447,--,114074,--,--,--,--,737959,371523,--,--,1171471,1357345,323609,--,--,--,132227,--,334294,604406,--,--,39662,94000, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),74019,86767,187156,61727,9878,217748,152795,108265,546872,1067287,1215423,944772,248862,835592,116111,50699,101028,97357,148299,71065,39918,79837,56892,441556,167340, 
 经营活动现金流入小计(万元),1133777,1993771,2212336,2343235,966292,4440248,3696967,3369405,2316863,7705549,8451741,11962280,4296214,5015079,1902491,1125635,780691,1575023,1408479,1073882,1361866,1002382,3934805,1345883,5222119, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),55776,217935,129107,92525,37389,249387,156422,140538,54676,603544,428325,314564,99252,253955,147682,70574,37703,127056,100863,104837,136436,134552,148221,111463,198841, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),146733,404743,316220,231559,154765,430832,332507,218675,158587,493915,360961,241294,139396,270314,198828,133064,84367,240098,178260,228051,248854,235180,190170,131630,135134, 
 支付的各项税费(万元),58778,254688,196179,151502,65643,371867,325172,226884,132333,631624,540767,254659,101456,153767,96739,89331,28838,116278,90593,71750,127894,139621,154486,197731,225818, 
 支付的其他与经营活动有关的现金(万元),335850,787529,803993,478651,502498,497719,1283704,498076,896462,169714,1891194,481363,263297,293534,162414,167550,495616,70434,146504,141898,111520,176956,256659,122583,294738, 
 经营活动现金流出小计(万元),839589,4288050,2626664,2295850,1206168,5167285,5241839,2861391,2806524,7935347,8883254,7761438,3890808,4417430,1703298,789732,713500,2293268,2377581,1079708,2512365,2770991,1149951,2730146,959135, 
 经营活动产生的现金流量净额(万元),294188,-2294280,-414328,47385,-239876,-727038,-1544872,508014,-489661,-229798,-431512,4200843,405405,597649,199193,335903,67191,-718245,-969102,-5826,-1150499,-1768609,2784854,-1384263,4262983, 
 收回投资所收到的现金(万元),9427,8969,11309,4876,--,4958,4428,2000,--,1572,--,--,61914,--,64300,--,32647,500,87555,3724,--,--,982,--,--, 
 取得投资收益所收到的现金(万元),--,17808,15309,15100,--,21933,26024,20625,--,15666,16668,7229,8583,--,1155,382,151,6893,8834,9428,10030,11515,373,100,100, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,200,--,96,--,207,--,196,--,231,--,61,--,380,160,138,--,294,138,256,189,93,104,20,721, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),52,--,128,--,48,--,165,--,0,--,92,--,6,--,--,--,15,--,--,--,--,16800,--,--,--, 
