 报告日期,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),181529,68447,127958,88051,44183, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),6528,327,3017,1529,1206, 
 经营活动现金流入小计(万元),188058,68773,130975,89580,45389, 
 购买商品、接受劳务支付的现金(万元),92052,30442,78816,47331,19806, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),13600,6651,11173,7328,3927, 
 支付的各项税费(万元),16347,5897,13276,9027,3619, 
 支付的其他与经营活动有关的现金(万元),48716,15348,35051,20410,14269, 
 经营活动现金流出小计(万元),170716,58337,138316,84095,41621, 
 经营活动产生的现金流量净额(万元),17342,10436,-7342,5485,3768, 
 收回投资所收到的现金(万元),--,--,--,--,--, 
 取得投资收益所收到的现金(万元),111,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),26,26,1,69,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),12400,--,350,200,250, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),12537,26,351,269,250, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),6983,6157,1746,7035,823, 
 投资所支付的现金(万元),--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),12200,3000,--,--,152, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),19183,9157,1746,7035,975, 
 投资活动产生的现金流量净额(万元),-6647,-9131,-1395,-6766,-725, 
 吸收投资收到的现金(万元),--,--,11052,2794,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,227,225,--, 
 取得借款收到的现金(万元),9560,7600,4700,3089,1380, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--, 
 筹资活动现金流入小计(万元),9560,7600,15752,5883,1380, 
 偿还债务支付的现金(万元),9854,7709,237,558,35, 
 分配股利、利润或偿付利息所支付的现金(万元),280,145,379,66,55, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),2200,--,--,--,--, 
 筹资活动现金流出小计(万元),12334,7854,616,623,91, 
 筹资活动产生的现金流量净额(万元),-2774,-254,15136,5260,1289, 
 汇率变动对现金及现金等价物的影响(万元),-479,-46,175,54,--, 
 现金及现金等价物净增加额(万元),7442,1005,6574,4032,4333, 
 加:期初现金及现金等价物余额(万元),16573,16573,9999,5967,1634, 
 期末现金及现金等价物余额(万元),24015,17578,16573,9999,5967, 
 净利润(万元),15818,5461,7259,5299,3351, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),960,644,745,21,237, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),748,330,477,299,111, 
 无形资产摊销(万元),69,33,63,17,0, 
 长期待摊费用摊销(万元),436,217,418,205,28, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),96,18,25,40,0, 
 固定资产报废损失(万元),--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),268,135,397,73,44, 
 投资损失(万元),-111,--,--,--,0, 
 递延所得税资产减少(万元),-161,391,-1125,-89,258, 
 递延所得税负债增加(万元),--,--,--,--,0, 
 存货的减少(万元),3681,8238,-7433,-17195,-4387, 
 经营性应收项目的减少(万元),-5530,-1135,-5616,-940,-6306, 
 经营性应付项目的增加(万元),449,-4808,-4256,14571,9021, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),619,910,1704,3182,1411, 
 经营活动产生现金流量净额(万元),17342,10436,-7342,5485,3768, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),24015,17578,16573,9999,5967, 
 现金的期初余额(万元),16573,16573,9999,5967,1634, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),7442,1005,6574,4032,4333, 

