 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),9905,5886,2481,18268,12925,8092,3665,20045,11379,6459, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,2,12,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1259,714,170,1873,1146,1008,75,880,1292,388, 
 经营活动现金流入小计(万元),11165,6600,2653,20153,14071,9100,3739,20925,12671,6848, 
 购买商品、接受劳务支付的现金(万元),3134,1639,596,5483,4383,2207,921,6372,3811,2445, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4750,3402,2008,6013,4481,3311,1813,4577,2814,1578, 
 支付的各项税费(万元),2156,1615,1332,1868,1438,983,865,1436,691,309, 
 支付的其他与经营活动有关的现金(万元),2396,1313,578,2519,1891,1435,618,2990,2600,1032, 
 经营活动现金流出小计(万元),12436,7969,4514,15883,12194,7935,4217,15375,9916,5364, 
 经营活动产生的现金流量净额(万元),-1272,-1369,-1861,4270,1877,1165,-477,5550,2754,1483, 
 收回投资所收到的现金(万元),450,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),46,46,--,23,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,7,1,1,--,--,0,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),8500,8500,--,5000,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),8996,8546,0,5029,1,1,0,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),392,180,305,267,307,128,172,122,124,19, 
 投资所支付的现金(万元),78,78,4578,--,--,--,12,550,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),8500,8500,--,5053,53,53,53,--,158,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),8970,8758,4883,5320,360,182,237,672,282,19, 
 投资活动产生的现金流量净额(万元),26,-211,-4883,-291,-359,-181,-237,-672,-282,-19, 
 吸收投资收到的现金(万元),16149,--,--,0,0,0,0,7068,84,82, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),16149,0,0,0,0,0,0,7068,84,82, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),228,228,--,216,216,216,--,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),228,228,--,216,216,216,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),712,68,20,297,177,106,40,--,--,--, 
 筹资活动现金流出小计(万元),940,296,20,513,393,322,40,0,0,0, 
 筹资活动产生的现金流量净额(万元),15209,-296,-20,-513,-393,-322,-40,7068,84,82, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),13964,-1877,-6764,3466,1125,662,-755,11947,2556,1547, 
 加:期初现金及现金等价物余额(万元),22702,22702,22702,19235,19235,19235,19235,7289,4732,3185, 
 期末现金及现金等价物余额(万元),36665,20825,15938,22702,20360,19898,18481,19235,7289,4732, 
 净利润(万元),--,--,57,4261,--,--,-376,780,896,-131, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,--,-3,81,--,--,-5,17,61,65, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,--,30,108,--,--,25,65,53,27, 
 无形资产摊销(万元),--,--,10,24,--,--,2,4,--,--, 
 长期待摊费用摊销(万元),--,--,39,213,--,--,37,145,85,17, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,-4,--,--,--,--,3,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,0,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,--,--,--,--,--,--,--,--, 
 投资损失(万元),--,--,-4,8,--,--,-3,--,--,--, 
 递延所得税资产减少(万元),--,--,1,-6,--,--,--,8,-14,-1, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,--,--,--,--,--,--,--,--,--, 
