 报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),25058,16457,7662,32571,22943,14018,6241,27092,20706,26656,11863,25437,19917,18005, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),97,97,60,222,158,151,103,173,152,242,143,175,182,292, 
 收到的其他与经营活动有关的现金(万元),125,91,60,228,96,73,34,812,230,833,556,282,302,2288, 
 经营活动现金流入小计(万元),25280,16645,7782,33021,23198,14241,6378,28077,21088,27731,12561,25894,20401,20586, 
 购买商品、接受劳务支付的现金(万元),7370,4411,2040,8414,5004,2986,1394,9513,6874,11881,6091,11491,9589,11719, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3425,2272,1191,4664,3428,2381,1147,4149,3132,3710,1780,3213,2697,1833, 
 支付的各项税费(万元),4506,2940,1393,5063,4120,2505,1028,3644,2881,3342,1796,2969,4069,1069, 
 支付的其他与经营活动有关的现金(万元),2350,1373,815,2903,2498,1945,941,3367,2555,2847,1419,2836,2145,1981, 
 经营活动现金流出小计(万元),17652,10996,5439,21045,15051,9818,4509,20673,15441,21780,11088,20509,18499,16601, 
 经营活动产生的现金流量净额(万元),7628,5649,2343,11977,8147,4423,1869,7404,5647,5951,1474,5384,1902,3985, 
 收回投资所收到的现金(万元),25000,24000,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),135,112,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),22,--,--,--,2,--,--,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,2,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),25157,24112,0,2,2,0,0,0,0,0,0,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1062,399,231,292,301,132,45,1036,1018,2331,1735,3514,3856,8681, 
 投资所支付的现金(万元),35000,29000,--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,2,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),36062,29401,231,292,301,132,45,1036,1018,2331,1735,3514,3856,8681, 
 投资活动产生的现金流量净额(万元),-10905,-5289,-231,-290,-300,-132,-45,-1036,-1018,-2331,-1735,-3514,-3856,-8681, 
 吸收投资收到的现金(万元),27406,27406,27406,--,--,--,--,--,--,--,--,--,--,7883, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,10000,--,38785,7000,13200,14200,16580, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),166,--,--,--,--,--,62,--,--,--,--,200,--,--, 
 筹资活动现金流入小计(万元),27572,27406,27406,0,0,0,62,10000,0,38785,7000,13400,14200,24463, 
 偿还债务支付的现金(万元),7500,7500,7500,2500,2000,2000,--,16000,3500,38975,7000,11210,11900,16225, 
 分配股利、利润或偿付利息所支付的现金(万元),13350,86,86,649,503,350,190,1469,1249,4718,616,1101,1087,4491, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),1478,1356,1324,67,42,22,21,82,50,190,33,53,242,309, 
 筹资活动现金流出小计(万元),22328,8942,8910,3216,2545,2371,211,17550,4799,43883,7649,12364,13229,21025, 
 筹资活动产生的现金流量净额(万元),5244,18464,18496,-3216,-2545,-2371,-149,-7550,-4799,-5098,-649,1036,971,3438, 
 汇率变动对现金及现金等价物的影响(万元),-161,-59,-11,262,31,30,-1,189,131,46,-36,107,-9,-3, 
 现金及现金等价物净增加额(万元),1807,18765,20597,8733,5334,1949,1674,-994,-40,-1431,-946,3012,-991,-1260, 
 加:期初现金及现金等价物余额(万元),11398,11398,11398,2666,2666,2666,2666,3660,3660,5091,5091,2079,3070,4330, 
 期末现金及现金等价物余额(万元),13205,30163,31995,11398,8000,4614,4340,2666,3620,3660,4145,5091,2079,3070, 
 净利润(万元),--,5447,--,9795,7235,4332,--,5669,4758,6403,--,4892,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-265,--,464,627,602,--,308,139,115,--,88,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1147,--,2238,1670,1063,--,2013,1508,2012,--,1985,--,--, 
